net                              old_status     old_mech             new_status    
+15V                             broken         M1                   partial       
+15V_LS                          broken         M3(2/3)              failed        
+170V_BUS                        zone_dependent M2+M2b               zone_dependent
+3V3                             broken         M1(+M4)              partial       
DC_BUS_RTN                       zone_dependent M2+M2b               zone_dependent
DISCHARGE_CTRL                   connected      OK                   connected     
GATE_HS                          broken         M1                   connected     
GATE_LS                          broken         M1+M3(2/3)           partial       
I_SENSE                          broken         M3(2/7)              failed        
OCP2_VREF_2V5                    broken         M3(2/3)              connected     
PWM_HS                           broken         M1                   connected     
PWM_LS                           broken         M1                   connected     
PWR_RTN                          zone_dependent M2+M2b               zone_dependent
RELAY_CTRL                       broken         M4                   failed        
RTD_CS_N                         broken         M1                   connected     
RTD_DRDY                         broken         M1                   failed        
RTD_HW_FAULT                     broken         M1                   partial       
RTD_SCK                          broken         M4                   failed        
RTD_SDI                          broken         M1                   connected     
RTD_SDO                          connected      OK                   connected     
SHUTDOWN                         broken         M3(2/6)              failed        
SW_NODE                          zone_dependent M2+M2b               zone_dependent
V_BUS_SENSE                      broken         M1                   partial       
WDT_KICK                         connected      OK                   failed        
WDT_RESET_N                      broken         M1                   failed        
a3                               connected      OK(1pad)             connected     
ac_l                             connected      OK(1pad)             connected     
ac_n                             zone_dependent M2+M2b               zone_dependent
b3                               connected      OK(1pad)             connected     
bias                             broken         M1                   failed        
boot                             connected      OK                   connected     
c3                               connected      OK(1pad)             connected     
cs_n                             broken         M1                   failed        
discharge.k_dis1-coil1           broken         M1                   failed        
discharge.k_dis1-coil2           broken         M1                   failed        
discharge.k_dis1-nc              broken         M3(2/4)              failed        
discharge.k_dis1-no              connected      OK                   failed        
discharge.k_dis2-coil1           broken         M1                   failed        
discharge.k_dis2-nc              broken         M3(2/4)              failed        
discharge.k_dis2-no              connected      OK                   failed        
discharge.q_dis_drv-g            broken         M3(2/3)              connected     
discharge.r_dis1a-p2             connected      OK                   failed        
discharge.r_dis2a-p2             connected      OK                   failed        
discharge.r_snub1-p2             connected      OK                   connected     
discharge.r_snub2-p2             broken         M4                   failed        
en                               broken         M3(2/4)              failed        
fb                               broken         M4                   connected     
gnd                              broken         M4(pour-vs-trace)    partial       
gpio18                           connected      OK(1pad)             connected     
gpio21                           connected      OK(1pad)             connected     
gpio35                           connected      OK(1pad)             connected     
gpio36                           connected      OK(1pad)             connected     
gpio37                           connected      OK(1pad)             connected     
hb-gnd                           broken         M1                   failed        
hb.gate_hs.driver-p1             connected      OK                   failed        
hb.gate_hs.driver-p1-1           broken         M3(2/4)              failed        
hb.gate_hs.driver-p2             broken         M3(2/4)              failed        
hb.power_loop.q_high-g           broken         M3(2/3)              failed        
i2c_scl_ui                       connected      OK                   connected     
i2c_sda_ui                       connected      OK                   connected     
ina                              broken         M1                   connected     
inb                              broken         M1                   connected     
input                            connected      OK                   failed        
io0                              broken         M3(2/3)              failed        
io13                             connected      OK(1pad)             connected     
io40                             connected      OK(1pad)             connected     
io41                             connected      OK(1pad)             connected     
io42                             connected      OK(1pad)             connected     
io45                             connected      OK(1pad)             connected     
io46                             connected      OK(1pad)             connected     
io48                             connected      OK(1pad)             connected     
nc3                              connected      OK(1pad)             connected     
nc_7                             connected      OK(1pad)             connected     
power_in.bypass_relay-coil1      broken         M3(2/3)+M1           failed        
power_in.bypass_relay-coil2      broken         M1                   failed        
power_in.ntc-no                  zone_dependent M2+M2b               zone_dependent
power_in.q_relay_drv-g           broken         M4                   failed        
refin_n                          broken         M1                   failed        
rtd_force_n                      connected      OK                   failed        
rtd_force_p                      connected      OK                   connected     
rtd_pan.high_window-out          connected      OK                   connected     
rtd_pan.low_window-out           connected      OK                   connected     
rtd_pan.r_high_top-inp           broken         M3(2/3)              connected     
rtd_pan.r_low_top-inn            broken         M1                   failed        
rtd_pan.rail_monitor-ina_p       broken         M1                   failed        
rtd_pan.rail_monitor-outa        broken         M1                   failed        
rtd_pan.rail_monitor-outb        connected      OK(1pad)             connected     
rtd_sense_n                      connected      OK                   connected     
rtd_sense_p                      connected      OK                   connected     
rx                               connected      OK(1pad)             connected     
s1                               broken         M4                   failed        
safety-line                      broken         M3(2/4)              failed        
safety-line-1                    broken         M3(2/3)+M1           failed        
safety-line-2                    connected      OK                   connected     
safety-line-3                    connected      OK                   connected     
safety.coil_thermal-line         broken         M4                   failed        
safety.coil_thermal.comp-inp     broken         M1                   failed        
safety.fault_any_or-a2           broken         M1                   connected     
safety.fault_any_or-y2           connected      OK                   failed        
safety.fault_any_or-y3           connected      OK(1pad)             connected     
safety.fault_or-a2               connected      OK                   connected     
safety.fault_or-b2               connected      OK                   connected     
safety.fault_or-y2               broken         M4                   failed        
safety.fault_or-y3               connected      OK(1pad)             connected     
safety.fault_or3-b2              connected      OK                   connected     
safety.fault_or3-y2              connected      OK                   connected     
safety.fault_or3-y3              connected      OK(1pad)             connected     
safety.latch-b2                  connected      OK                   connected     
safety.ocp-line                  connected      OK                   connected     
safety.ocp.comp-inn              broken         M3(2/3)              failed        
safety.ocp2-line                 broken         M3(2/3)              connected     
safety.ovp-line                  broken         M3(2/3)              failed        
safety.ovp.comp-inp              broken         M3(2/4)              failed        
safety.ovp.r_adc_top1-p2         connected      OK                   failed        
safety.ovp.r_adc_top2-p2         connected      OK                   failed        
safety.ovp.r_div_top1-p2         connected      OK                   failed        
safety.ovp.r_div_top2-p2         connected      OK                   failed        
safety.thermal-line              broken         M1                   failed        
safety.thermal.comp-inp          broken         M3(2/4)              failed        
safety.uvlo_logic-line           broken         M3(2/4)              failed        
safety.uvlo_logic.mon-ina_p      broken         M1                   failed        
safety.uvlo_logic.mon-outa       broken         M3(2/4)              failed        
safety.uvlo_logic.mon-outb       connected      OK(1pad)             connected     
sclk                             broken         M1                   failed        
sdi                              broken         M4                   failed        
sdo                              broken         M4                   failed        
sw                               broken         M1                   partial       
tank-out                         connected      OK                   failed        
tank.c_tank1-p2                  zone_dependent M2+M2b               zone_dependent
thermal.j_fan-p1                 connected      OK                   connected     
tx                               connected      OK(1pad)             connected     
usb_dn                           connected      OK(1pad)             connected     
usb_dp                           connected      OK(1pad)             connected     
vbias                            broken         M1                   failed        
vcc                              broken         M1                   partial       
w1_1                             zone_dependent M2+M2b               zone_dependent
w1_2                             zone_dependent M2+M2b               zone_dependent
y                                broken         M3(2/3)              failed        
y1                               connected      OK                   connected     

=== TRANSITION SUMMARY ===
     connected -> connected      :  48  ['DISCHARGE_CTRL', 'RTD_SDO', 'a3', 'ac_l', 'b3', '...']
        broken -> failed         :  47  ['+15V_LS', 'I_SENSE', 'RELAY_CTRL', 'RTD_DRDY', 'RTD_SCK', '...']
     connected -> failed         :  14  ['WDT_KICK', 'discharge.k_dis1-no', 'discharge.k_dis2-no', 'discharge.r_dis1a-p2', 'discharge.r_dis2a-p2', 'hb.gate_hs.driver-p1', 'input', 'rtd_force_n', 'safety.fault_any_or-y2', 'safety.ovp.r_adc_top1-p2', 'safety.ovp.r_adc_top2-p2', 'safety.ovp.r_div_top1-p2', 'safety.ovp.r_div_top2-p2', 'tank-out']
        broken -> connected      :  13  ['GATE_HS', 'OCP2_VREF_2V5', 'PWM_HS', 'PWM_LS', 'RTD_CS_N', 'RTD_SDI', 'discharge.q_dis_drv-g', 'fb', 'ina', 'inb', 'rtd_pan.r_high_top-inp', 'safety.fault_any_or-a2', 'safety.ocp2-line']
zone_dependent -> zone_dependent :   9  ['+170V_BUS', 'DC_BUS_RTN', 'PWR_RTN', 'SW_NODE', 'ac_n', 'power_in.ntc-no', 'tank.c_tank1-p2', 'w1_1', 'w1_2']
        broken -> partial        :   8  ['+15V', '+3V3', 'GATE_LS', 'RTD_HW_FAULT', 'V_BUS_SENSE', 'gnd', 'sw', 'vcc']
