type,rule,actual,required,itemA,netA,domA,itemB,netB,domB,crossing
creepage,HV to LV,4.28,8.0,PTH pad 1 [a] of U3,a,HV,PTH pad 3 [<no net>] of U3,<no net>,UNRESOLVED,HV-UNRESOLVED
creepage,HV to LV,4.6159,8.0,"Track [a] on F.Cu, length 6.1000 mm",a,HV,Pad 1 [+15V] of C15 on F.Cu,+15V,SELV,HV-SELV
creepage,HV to LV,5.9882,8.0,"Track [power_in.ntc-no] on F.Cu, length 22.9103 mm",power_in.ntc-no,HV,Pad 3 [+15V] of U4 on F.Cu,+15V,SELV,HV-SELV
creepage,HV to LV,4.48,8.0,Pad 15 [GATE_HS] of U7 on F.Cu,GATE_HS,HV,Pad 11 [+15V_LS] of U7 on F.Cu,+15V_LS,HV,HV-HV
creepage,HV to LV,0.175,8.0,"Track [RTD_SDI] on F.Cu, length 51.1000 mm",RTD_SDI,SELV,Pad 2 [+15V_LS] of U8 on F.Cu,+15V_LS,HV,HV-SELV
creepage,HV to LV,0.675,8.0,"Track [SHUTDOWN] on F.Cu, length 52.4000 mm",SHUTDOWN,SELV,Pad 2 [+15V_LS] of U8 on F.Cu,+15V_LS,HV,HV-SELV
creepage,HV to LV,1.5,8.0,Pad 1 [hb.gate_hs.driver-p1-1] of U8 on F.Cu,hb.gate_hs.driver-p1-1,HV,Pad 2 [+15V_LS] of U8 on F.Cu,+15V_LS,HV,HV-HV
creepage,HV to LV,3.21,8.0,Pad 14 [hb.gate_hs.driver-p2] of U7 on F.Cu,hb.gate_hs.driver-p2,HV,Pad 11 [+15V_LS] of U7 on F.Cu,+15V_LS,HV,HV-HV
creepage,HV to LV,0.0,8.0,"Track [inb] on F.Cu, length 82.4000 mm",inb,SELV,Pad 1 [+15V_LS] of C23 on F.Cu,+15V_LS,HV,HV-SELV
creepage,HV to LV,0.67,8.0,Pad 10 [input] of U7 on F.Cu,input,HV,Pad 11 [+15V_LS] of U7 on F.Cu,+15V_LS,HV,HV-HV
creepage,HV to LV,7.0039,8.0,"Track [a] on F.Cu, length 0.0364 mm",a,HV,Pad 1 [+170V_BUS] of R4 on F.Cu,+170V_BUS,HV,HV-HV
creepage,HV to LV,4.3389,8.0,PTH pad 2 [discharge.k_dis1-nc] of R12,discharge.k_dis1-nc,HV,PTH pad 1 [+170V_BUS] of U1,+170V_BUS,HV,HV-HV
creepage,HighVoltageIsolated to LV,0.2128,8.0,"Track [hb.gate_hs.driver-p1-1] on F.Cu, length 52.1845 mm",hb.gate_hs.driver-p1-1,HV,Pad 1 [+170V_BUS] of R51 on F.Cu,+170V_BUS,HV,HV-HV
creepage,HV to LV,3.95,8.0,PTH pad 1 [hb.power_loop.q_high-g] of U5,hb.power_loop.q_high-g,HV,PTH pad 2 [+170V_BUS] of U5,+170V_BUS,HV,HV-HV
creepage,HV to LV,0.1446,8.0,"Track [power_in.ntc-no] on F.Cu, length 0.2828 mm",power_in.ntc-no,HV,PTH pad 1 [+170V_BUS] of C4,+170V_BUS,HV,HV-HV
creepage,HV to LV,3.98,8.0,PTH pad 2 [power_in.ntc-no] of U1,power_in.ntc-no,HV,PTH pad 1 [+170V_BUS] of U1,+170V_BUS,HV,HV-HV
creepage,HV to LV,7.2793,8.0,Via [zcd] on F.Cu - B.Cu,zcd,HV,Pad 1 [+170V_BUS] of R4 on F.Cu,+170V_BUS,HV,HV-HV
creepage,HV to LV,1.0933,8.0,"Track [a] on F.Cu, length 27.7186 mm",a,HV,Pad 8 [+3V3] of U7 on F.Cu,+3V3,SELV,HV-SELV
creepage,HighVoltageIsolated to LV,2.1366,8.0,"Track [hb.gate_hs.driver-p1-1] on F.Cu, length 2.5456 mm",hb.gate_hs.driver-p1-1,HV,Pad 1 [+3V3] of R48 on F.Cu,+3V3,SELV,HV-SELV
creepage,HV to LV,2.1924,8.0,"Track [hb.power_loop.q_high-g] on F.Cu, length 0.1000 mm",hb.power_loop.q_high-g,HV,Pad 1 [+3V3] of R61 on F.Cu,+3V3,SELV,HV-SELV
creepage,HV to LV,0.0698,8.0,"Track [power_in.ntc-no] on F.Cu, length 22.9103 mm",power_in.ntc-no,HV,Pad 14 [+3V3] of U25 on F.Cu,+3V3,SELV,HV-SELV
creepage,HV to LV,7.02,8.0,Pad 15 [GATE_HS] of U7 on F.Cu,GATE_HS,HV,Pad 9 [DC_BUS_RTN] of U7 on F.Cu,DC_BUS_RTN,HV,HV-HV
creepage,HV to LV,0.85,8.0,Pad 1 [GATE_LS] of R28 on F.Cu,GATE_LS,HV,Pad 2 [DC_BUS_RTN] of R28 on F.Cu,DC_BUS_RTN,HV,HV-HV
creepage,HV to LV,4.7,8.0,Pad 1 [PWR_RTN] of R5 on F.Cu,PWR_RTN,HV,Pad 2 [DC_BUS_RTN] of R5 on F.Cu,DC_BUS_RTN,HV,HV-HV
creepage,HV to LV,0.1478,8.0,"Track [RTD_SDI] on F.Cu, length 2.1213 mm",RTD_SDI,SELV,PTH pad 2 [DC_BUS_RTN] of C3,DC_BUS_RTN,HV,HV-SELV
creepage,HV to LV,0.58,8.0,"Track [SHUTDOWN] on F.Cu, length 52.4000 mm",SHUTDOWN,SELV,Pad 2 [DC_BUS_RTN] of R5 on F.Cu,DC_BUS_RTN,HV,HV-SELV
creepage,HV to LV,3.95,8.0,PTH pad 2 [SW_NODE] of U6,SW_NODE,HV,PTH pad 3 [DC_BUS_RTN] of U6,DC_BUS_RTN,HV,HV-HV
creepage,HV to LV,6.345,8.0,"Track [cs_n] on B.Cu, length 0.1414 mm",cs_n,SELV,PTH pad 2 [DC_BUS_RTN] of C5,DC_BUS_RTN,HV,HV-SELV
creepage,HV to LV,7.0776,8.0,"Track [discharge.k_dis1-coil1] on B.Cu, length 21.6000 mm",discharge.k_dis1-coil1,SELV,PTH pad 2 [DC_BUS_RTN] of C5,DC_BUS_RTN,HV,HV-SELV
creepage,HV to LV,1.0326,8.0,"Track [discharge.k_dis1-coil2] on F.Cu, length 27.1529 mm",discharge.k_dis1-coil2,SELV,Pad 2 [DC_BUS_RTN] of R28 on F.Cu,DC_BUS_RTN,HV,HV-SELV
creepage,HV to LV,3.04,8.0,PTH pad 3 [discharge.k_dis2-no] of K3,discharge.k_dis2-no,HV,PTH pad 1 [DC_BUS_RTN] of K3,DC_BUS_RTN,HV,HV-HV
creepage,HV to LV,4.2595,8.0,"Track [gnd] on B.Cu, length 19.7990 mm",gnd,SELV,PTH pad 3 [DC_BUS_RTN] of U6,DC_BUS_RTN,HV,HV-SELV
creepage,HV to LV,0.9094,8.0,Pad 1 [hb.gate_hs.driver-p1-1] of U8 on F.Cu,hb.gate_hs.driver-p1-1,HV,Pad 2 [DC_BUS_RTN] of C23 on F.Cu,DC_BUS_RTN,HV,HV-HV
creepage,HV to LV,5.75,8.0,Pad 14 [hb.gate_hs.driver-p2] of U7 on F.Cu,hb.gate_hs.driver-p2,HV,Pad 9 [DC_BUS_RTN] of U7 on F.Cu,DC_BUS_RTN,HV,HV-HV
creepage,HV to LV,0.0,8.0,"Track [inb] on F.Cu, length 82.4000 mm",inb,SELV,Pad 2 [DC_BUS_RTN] of C23 on F.Cu,DC_BUS_RTN,HV,HV-SELV
creepage,HV to LV,0.67,8.0,Pad 10 [input] of U7 on F.Cu,input,HV,Pad 9 [DC_BUS_RTN] of U7 on F.Cu,DC_BUS_RTN,HV,HV-HV
creepage,HV to LV,5.115,8.0,"Track [safety.coil_thermal.comp-inp] on B.Cu, length 24.1000 mm",safety.coil_thermal.comp-inp,SELV,PTH pad 1 [DC_BUS_RTN] of K3,DC_BUS_RTN,HV,HV-SELV
creepage,HV to LV,5.844,8.0,"Track [sw] on B.Cu, length 89.0955 mm",sw,SELV,PTH pad 2 [DC_BUS_RTN] of C24,DC_BUS_RTN,HV,HV-SELV
creepage,HV to LV,4.475,8.0,PTH pad 2 [tank.c_tank1-p2] of C25,tank.c_tank1-p2,HV,"Track [DISCHARGE_CTRL] on F.Cu, length 37.3000 mm",DISCHARGE_CTRL,SELV,HV-SELV
creepage,HV to LV,7.7267,8.0,Pad 1 [discharge.k_dis2-nc] of R20 on F.Cu,discharge.k_dis2-nc,HV,Pad 1 [GATE_HS] of R23 on F.Cu,GATE_HS,HV,HV-HV
creepage,HighVoltageIsolated to LV,0.67,8.0,Pad 16 [hb.gate_hs.driver-p1-1] of U7 on F.Cu,hb.gate_hs.driver-p1-1,HV,Pad 15 [GATE_HS] of U7 on F.Cu,GATE_HS,HV,HV-HV
creepage,HighVoltageIsolated to LV,0.67,8.0,Pad 14 [hb.gate_hs.driver-p2] of U7 on F.Cu,hb.gate_hs.driver-p2,HV,Pad 15 [GATE_HS] of U7 on F.Cu,GATE_HS,HV,HV-HV
creepage,HV to LV,1.8,8.0,Pad 2 [hb.power_loop.q_high-g] of R23 on F.Cu,hb.power_loop.q_high-g,HV,Pad 1 [GATE_HS] of R23 on F.Cu,GATE_HS,HV,HV-HV
creepage,HV to LV,1.6685,8.0,"Track [a] on F.Cu, length 27.7186 mm",a,HV,Pad 2 [PWR_RTN] of R4 on F.Cu,PWR_RTN,HV,HV-HV
creepage,HV to LV,1.74,8.0,PTH pad 1 [a] of U3,a,HV,PTH pad 2 [PWR_RTN] of U3,PWR_RTN,HV,HV-HV
creepage,HV to LV,2.237,8.0,Pad 1 [discharge.k_dis1-nc] of R19 on F.Cu,discharge.k_dis1-nc,HV,PTH pad 2 [PWR_RTN] of C7,PWR_RTN,HV,HV-HV
creepage,HV to LV,3.04,8.0,PTH pad 4 [discharge.k_dis1-nc] of K2,discharge.k_dis1-nc,HV,PTH pad 1 [PWR_RTN] of K2,PWR_RTN,HV,HV-HV
creepage,HV to LV,3.04,8.0,PTH pad 4 [discharge.k_dis1-nc] of K2,discharge.k_dis1-nc,HV,PTH pad 1 [PWR_RTN] of K2,PWR_RTN,HV,HV-HV
creepage,HighVoltageIsolated to LV,2.001,8.0,"Track [hb.gate_hs.driver-p1-1] on F.Cu, length 0.1414 mm",hb.gate_hs.driver-p1-1,HV,PTH pad 1 [PWR_RTN] of C6,PWR_RTN,HV,HV-HV
creepage,HV to LV,0.2911,8.0,"Track [hb.power_loop.q_high-g] on F.Cu, length 1.1314 mm",hb.power_loop.q_high-g,HV,PTH pad 1 [PWR_RTN] of C5,PWR_RTN,HV,HV-HV
creepage,HV to LV,2.2533,8.0,"Track [power_in.ntc-no] on F.Cu, length 12.1622 mm",power_in.ntc-no,HV,PTH pad 3 [PWR_RTN] of L1,PWR_RTN,HV,HV-HV
creepage,HV to LV,6.36,8.0,Pad 1 [tank-out] of T1 on F.Cu,tank-out,HV,Pad 2 [PWR_RTN] of T1 on F.Cu,PWR_RTN,HV,HV-HV
creepage,HV to LV,1.095,8.0,"Track [w1_2] on F.Cu, length 7.3000 mm",w1_2,HV,PTH pad 3 [PWR_RTN] of L1,PWR_RTN,HV,HV-HV
creepage,HV to LV,0.85,8.0,Pad 1 [zcd] of R8 on F.Cu,zcd,HV,Pad 2 [PWR_RTN] of R8 on F.Cu,PWR_RTN,HV,HV-HV
creepage,HighVoltageIsolated to LV,0.9736,8.0,"Track [hb.gate_hs.driver-p1-1] on F.Cu, length 0.7000 mm",hb.gate_hs.driver-p1-1,HV,Pad 2 [RTD_HW_FAULT] of R48 on F.Cu,RTD_HW_FAULT,SELV,HV-SELV
creepage,HV to LV,6.5736,8.0,"Track [discharge.k_dis1-nc] on B.Cu, length 14.3000 mm",discharge.k_dis1-nc,HV,"Track [RTD_SCK] on B.Cu, length 0.0361 mm",RTD_SCK,SELV,HV-SELV
creepage,HV to LV,7.722,8.0,Pad 2 [a] of R9 on F.Cu,a,HV,"Track [RTD_SDI] on F.Cu, length 0.5657 mm",RTD_SDI,SELV,HV-SELV
creepage,HV to LV,4.6375,8.0,Via [discharge.k_dis1-nc] on F.Cu - B.Cu,discharge.k_dis1-nc,HV,"Track [RTD_SDI] on F.Cu, length 5.5000 mm",RTD_SDI,SELV,HV-SELV
creepage,HV to LV,1.725,8.0,"Track [discharge.k_dis1-nc] on B.Cu, length 14.3000 mm",discharge.k_dis1-nc,HV,Via [RTD_SDI] on F.Cu - B.Cu,RTD_SDI,SELV,HV-SELV
creepage,HV to LV,1.035,8.0,PTH pad 2 [discharge.k_dis2-nc] of R14,discharge.k_dis2-nc,HV,"Track [RTD_SDI] on F.Cu, length 51.1000 mm",RTD_SDI,SELV,HV-SELV
creepage,HighVoltageIsolated to LV,0.175,8.0,Pad 1 [hb.gate_hs.driver-p1-1] of U8 on F.Cu,hb.gate_hs.driver-p1-1,HV,"Track [RTD_SDI] on F.Cu, length 51.1000 mm",RTD_SDI,SELV,HV-SELV
creepage,HighVoltageIsolated to LV,0.0,8.0,Pad 2 [hb.gate_hs.driver-p2] of C17 on F.Cu,hb.gate_hs.driver-p2,HV,"Track [RTD_SDI] on F.Cu, length 14.9907 mm",RTD_SDI,SELV,HV-SELV
creepage,HV to LV,3.4681,8.0,Pad 2 [hb.power_loop.q_high-g] of R23 on F.Cu,hb.power_loop.q_high-g,HV,"Track [RTD_SDI] on F.Cu, length 14.9907 mm",RTD_SDI,SELV,HV-SELV
