# provenance: commit=11b344c65953c499384445661fc3df5065e06c5a dirty=false
rule,required_mm,actual_mm,deficit_mm,net_a,net_b,class_a,class_b,kind_a,kind_b,components,x_mm,y_mm
AC Mains to LV,6.0,1.8,4.2,ac_l,power_in.r_zcd_top1-p2,ACMains,Default,Pad,Pad,R6,143.8125,59.73
AC Mains to LV,6.0,2.6176,3.3824,hb.gate_hs.driver-p1-1,ac_n,HighVoltageIsolated,ACMains,Track,PTH pad,C1,50.05,195.25
AC Mains to LV,6.0,2.8707,3.1293,ac_n,hb.gate_hs.driver-p1-1,ACMains,HighVoltageIsolated,PTH pad,Track,C1,51.49,199.22
AC Mains to LV,6.0,3.9014,2.0986,hb.gate_hs.driver-p1-1,ac_n,HighVoltageIsolated,ACMains,Track,PTH pad,C1,54.95,195.25
AC Mains to LV,6.0,3.9571,2.0429,ac_n,rtd_pan.high_window-out,ACMains,Default,PTH pad,Track,C1,51.49,199.22
AC Mains to LV,6.0,3.9592,2.0408,ac_n,rtd_pan.rail_monitor-outa,ACMains,Default,PTH pad,Track,C1,51.49,199.22
AC Mains to LV,6.0,3.9592,2.0408,rtd_pan.rail_monitor-outa,ac_n,Default,ACMains,Track,PTH pad,C1,47.65,203.75
HV to LV,2.0,0.0006,1.9994,power_in.bypass_relay-coil2,a,Power,HighVoltage,Track,Track,,124.75,124.95
HV to LV,2.0,0.001,1.999,discharge.k_dis1-coil2,power_in.ntc-no,Power,HighVoltage,Track,Track,,145.57,141.7
HV to LV,2.0,0.01,1.99,discharge.k_dis1-nc,ina,HighVoltage,Default,Track,Via,,21.45,21.45
HV to LV,2.0,0.015,1.985,discharge.k_dis1-nc,safety-line-2,HighVoltage,Default,Track,Via,,167.05,28.75
HV to LV,2.0,0.021,1.979,a,power_in.bypass_relay-coil2,HighVoltage,Power,Track,Track,,125.65,125.45
HV to LV,2.0,0.021,1.979,a,power_in.bypass_relay-coil2,HighVoltage,Power,Track,Track,,125.15,124.95
HV to LV,2.0,0.021,1.979,a,power_in.bypass_relay-coil2,HighVoltage,Power,Track,Track,,125.15,124.95
HV to LV,2.0,0.021,1.979,discharge.k_dis1-coil2,power_in.ntc-no,Power,HighVoltage,Track,Track,,145.55,141.65
HV to LV,2.0,0.021,1.979,power_in.ntc-no,WDT_RESET_N,HighVoltage,Default,Track,Track,,142.65,138.25
HV to LV,2.0,0.021,1.979,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,144.75,137.85
HV to LV,2.0,0.021,1.979,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,144.75,137.85
HV to LV,2.0,0.021,1.979,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,162.85,190.75
HV to LV,2.0,0.021,1.979,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,162.85,190.75
HV to LV,2.0,0.021,1.979,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,162.85,190.75
HV to LV,2.0,0.0318,1.9682,PWR_RTN,WDT_RESET_N,HighVoltage,Default,Pad,Track,D2,100.11,47.35
HV to LV,2.0,0.045,1.955,PWR_RTN,cs_n,HighVoltage,FinePitch,PTH pad,Track,C7,122.72,244.66
HV to LV,2.0,0.065,1.935,y,zcd,Default,HighVoltage,Track,Via,,73.85,158.85
HV to LV,2.0,0.0698,1.9302,+3V3,power_in.ntc-no,Power,HighVoltage,Pad,Track,U25,119.21,159.035
AC Mains to HV,3.0,1.0713,1.9287,power_in.ntc-no,ac_n,HighVoltage,ACMains,Track,PTH pad,RV1,153.85,162.35
HV to LV,2.0,0.0761,1.9239,y,zcd,Default,HighVoltage,Track,Via,,73.65,158.85
HV to LV,2.0,0.0926,1.9074,discharge.k_dis1-nc,discharge.k_dis1-coil1,HighVoltage,Power,Track,Track,,163.45,103.75
HV to LV,2.0,0.0975,1.9025,power_in.ntc-no,+3V3,HighVoltage,Power,Track,Pad,R77,142.65,138.25
HighVoltageIsolated to LV,2.0,0.0981,1.9019,hb.gate_hs.driver-p1-1,safety.thermal.comp-inp,HighVoltageIsolated,Default,Via,Pad,U18,38.905,188.86
HV to LV,2.0,0.1023,1.8977,PWR_RTN,safety.thermal-line,HighVoltage,Default,PTH pad,Via,C4,86.46,178.34
HV to LV,2.0,0.1077,1.8923,+170V_BUS,safety.uvlo_logic-line,HighVoltage,Default,Pad,Track,C14,139.09,31.63
HV to LV,2.0,0.116,1.884,a,power_in.bypass_relay-coil2,HighVoltage,Power,Track,Track,,125.15,122.05
HV to LV,2.0,0.116,1.884,a,power_in.bypass_relay-coil2,HighVoltage,Power,Track,Track,,125.15,122.05
HV to LV,2.0,0.116,1.884,a,power_in.bypass_relay-coil2,HighVoltage,Power,Track,Track,,124.45,121.35
HV to LV,2.0,0.116,1.884,discharge.k_dis1-coil2,power_in.ntc-no,Power,HighVoltage,Track,Track,,145.55,141.65
HV to LV,2.0,0.116,1.884,discharge.k_dis1-coil2,power_in.ntc-no,Power,HighVoltage,Track,Track,,145.57,141.7
HV to LV,2.0,0.116,1.884,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,148.45,141.55
HV to LV,2.0,0.116,1.884,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,148.45,141.55
HV to LV,2.0,0.116,1.884,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,148.45,141.55
HV to LV,2.0,0.116,1.884,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,162.85,171.85
HV to LV,2.0,0.116,1.884,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,162.65,171.65
HV to LV,2.0,0.116,1.884,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,162.85,171.85
HV to LV,2.0,0.121,1.879,discharge.k_dis1-coil2,power_in.ntc-no,Power,HighVoltage,Track,Track,,145.45,141.75
HV to LV,2.0,0.121,1.879,power_in.ntc-no,i2c_sda_ui,HighVoltage,Default,Track,Pad,R77,140.15,140.75
HV to LV,2.0,0.121,1.879,WDT_RESET_N,power_in.ntc-no,Default,HighVoltage,Track,Track,,162.85,190.75
