<!-- provenance: commit=73c8db9aa517366d42d9645d3be8f84fe6198f10 dirty=UNKNOWN -->
netclass,group,net,layer,required_mm,actual_mm,length_mm,pct_of_min,pos_x,pos_y,uuid
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.0364,8.3,75.415,159.44,69cc9dc8-9254-4b1d-b606-f864739a24e6
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,27.7186,8.3,75.45,159.45,4e17cd03-7c05-460b-ac38-d7dddb53c5f0
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,6.1,8.3,95.05,139.85,44a3a1f1-787d-4db2-8eff-be670566ea91
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,14.7078,8.3,101.15,139.85,be7484d5-add1-4a9d-bb3e-38c35ea60425
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,2.6,8.3,111.55,129.45,3607cb56-c770-4632-ad38-36402099a362
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.2828,8.3,114.15,129.45,0374323a-73e7-4b70-82a3-b00b35612f69
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.2,8.3,114.35,129.25,983f2bbe-9463-41e2-a6e5-2abecf5e76bb
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1414,8.3,114.55,129.25,c6db2f88-3842-4034-b007-0f460dbaaad0
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1,8.3,114.65,129.15,e13bde92-cd78-4c36-a559-c631d39d891d
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1414,8.3,114.75,129.15,47f498d9-288f-4da6-b387-f882b7a34cd2
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1,8.3,114.85,129.05,921a2f58-785a-49e0-92cf-a1425591199c
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1414,8.3,114.95,129.05,74a459e3-cdba-41a3-80a8-09721bf985a6
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1,8.3,115.05,128.95,a1a2142c-b6f2-4d87-a6e5-aff98c7cba6a
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.2828,8.3,115.15,128.95,1ad33cf2-c322-4a86-ad3f-d7224db7413a
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1,8.3,115.35,128.75,f5e54bdd-fe61-46ed-8398-a58d4b2c500a
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.4243,8.3,115.45,128.75,dc69ae42-06a6-4492-85af-41a700d25cfe
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1,8.3,115.75,128.45,b6d19ec8-259c-45f1-a680-82c496fc7e4e
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.4243,8.3,115.85,128.45,796c9060-80fd-481a-b8be-01e6062aa61b
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1,8.3,116.15,128.15,863b2eb1-bc7c-4b30-8510-0e59671806cb
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.9899,8.3,116.25,128.15,e0c796ee-af98-44c3-b3f3-c171cf698231
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1,8.3,116.95,127.45,f7db90ad-aae1-4015-8397-fbaa97b783f3
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,1.2728,8.3,117.05,127.45,be9747cc-14f7-4566-b501-17349f224435
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1,8.3,117.95,126.55,229c94a1-f82e-4712-9588-42c8f5660f61
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1414,8.3,118.05,126.55,83ed87c3-6cea-4f62-9912-3f2861dd466c
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,5.8,8.3,118.15,126.45,a4bbce25-8a31-4708-9d32-76d14efc909a
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1414,8.3,123.95,126.45,965e2f85-647d-48ff-86da-164a5e10c25f
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,1.5,8.3,124.05,126.35,82c5d935-0ef9-467e-bb0f-4461ae09665b
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.1414,8.3,125.55,126.35,21d7c397-10e4-4564-b0f9-3bd2b8f56328
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.8,8.3,125.65,126.25,dd7148ff-bea9-4b24-a94c-c3bb1273d941
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.7071,8.3,125.65,125.45,0ebd5c20-1189-4022-945d-d97d7d9a6353
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,2.9,8.3,125.15,124.95,03c07dde-9421-4fa2-9183-4c547cf1a696
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.9899,8.3,125.15,122.05,09e8ce56-f91e-49ea-aa4c-aed532922428
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,2.9,8.3,124.45,121.35,e264fe47-5235-4ab4-a724-83bffc2e28cf
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.5657,8.3,124.45,118.45,5635ba3b-3c61-42bb-bcf7-c9a7f7d2d4db
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,2.0,8.3,124.05,118.05,3c3bf591-d629-4776-956f-49921a205a99
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,1.6971,8.3,124.05,116.05,3f697d45-9d24-4b33-ad59-80ff5053dcd3
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.8,8.3,122.85,114.85,2b1d0b7f-7581-46ab-b3ea-c844272ffd01
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,4.3841,8.3,122.85,114.05,ef9f312c-8c14-4e12-8192-e702968064f1
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,2.3,8.3,119.75,110.95,71d3871d-f033-4d01-8de9-4f1d0a592e18
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,1.2728,8.3,119.75,108.65,13950aca-833d-40e7-bf7f-aff455192d40
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.7,8.3,118.85,107.75,b16c3102-4dfc-445c-9a74-6229ecc021b3
HighVoltage,HV-group-A,a,F.Cu,3.0,0.25,0.0424,8.3,118.85,107.05,bbeefa8c-2378-43d2-b9cf-25a86391e4ff
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.0141,8.3,153.96,117.06,8a94b585-f0a2-4364-8920-a7de73d7da79
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,3.2527,8.3,153.95,117.05,0bd09c09-0160-424f-afe5-540813d1dab8
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,2.6,8.3,156.25,114.75,41e0ff05-6405-4259-92fb-9afd3cd4b2dc
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,7.6368,8.3,156.25,112.15,c4d96b4e-0364-468b-8a28-bdd8dfc56290
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,1.2,8.3,161.65,106.75,5b284c01-b474-4e66-ad94-6cc46c1f8fe9
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,2.5456,8.3,161.65,105.55,b749e2e2-5e07-42eb-a12e-129daf2f9d11
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.6,8.3,163.45,103.75,ae81837b-a6b2-4ac8-b731-3bc9f81adf02
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,8.9095,8.3,163.45,103.15,2193bddb-df7c-4171-863e-627f4e454150
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,56.0,8.3,157.15,96.85,a7ff3e45-99a4-4943-970e-fa78d0c86ff2
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,14.425,8.3,157.15,40.85,22f0f6af-0148-43c2-8546-d2fd74b53fa8
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,1.6,8.3,167.35,30.65,600ef415-0f93-4226-a2e8-aa42ee43e9bf
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.4243,8.3,167.35,29.05,53be55f6-8216-4d63-a99a-c577773ae57c
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,14.3,8.3,167.05,28.75,7ab06d53-6673-4ab1-9091-84ed2d18555d
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,8.061,8.3,152.75,28.75,6fccacf8-dcd2-4d7a-a6e7-89714b110a5f
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,81.2,8.3,147.05,23.05,ee3e58f1-2b93-4237-9bbc-e93352f5ad5f
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,1.9799,8.3,65.85,23.05,73b7d9bd-4a30-4ffa-b304-62e546ca275e
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,42.8,8.3,64.45,21.65,e9c204a4-1997-4b55-9c2d-ff3b6685ace5
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.2828,8.3,21.65,21.65,cc2eddde-80f2-40e5-a398-41f857efc439
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.4,8.3,21.45,21.45,890f9252-75e0-45d7-b35c-bcb77438170e
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.4243,8.3,21.05,21.45,ca2ae783-fa72-43e9-9894-397d8897023f
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,117.6,8.3,20.75,21.75,22ad345b-7000-4d4c-a5cd-9cd566db6772
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.4243,8.3,20.75,139.35,34f3155a-cfb9-47ae-adec-d82f032e9545
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.3,8.3,21.05,139.65,cd37d8ab-a609-447c-af32-b7bea8b7bff6
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.1414,8.3,21.05,139.95,91b04ebc-8422-43e5-8ed1-f4a45f5b1227
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.4,8.3,21.15,140.05,c093d457-7a24-4bc3-a4a8-94c5d3d3fa00
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.2828,8.3,21.15,140.45,f3d0246f-feca-4f06-b87b-dcbb34463172
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.1,8.3,21.35,140.65,3cdc680a-4330-4102-9859-ae0717841ae6
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.2828,8.3,21.35,140.75,a2e2dbde-0f91-48d3-8018-6ab4d1c8620a
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.1,8.3,21.55,140.95,eb87955e-b5ce-4722-a1f1-9470d305e467
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.2828,8.3,21.55,141.05,1501d124-6e46-4b27-8079-58b8e07bdd0b
HighVoltage,HV-group-A,discharge.k_dis1-nc,B.Cu,3.0,0.25,0.1,8.3,21.75,141.25,98d523e9-9fb1-4f04-b01d-d052d4601326
