# provenance: commit=PLACEHOLDER dirty=PLACEHOLDER
name,kind,refs,margin_mm,box_dist_mm,copper_dist_mm,domains,verdict
sep_courtyard_C1_C25_C1_C25,courtyard,"C1,C25",0.4,93.27,115.359,,CLEAN
sep_courtyard_C1_C26_C1_C26,courtyard,"C1,C26",0.4,83.6,85.59,,CLEAN
sep_courtyard_C1_C27_C1_C27,courtyard,"C1,C27",0.4,14.53,30.137,,CLEAN
sep_courtyard_C1_D5_C1_D5,courtyard,"C1,D5",0.4,130.26,132.039,,CLEAN
sep_courtyard_C1_F1_C1_F1,courtyard,"C1,F1",0.4,69.0,70.083,,CLEAN
sep_courtyard_C1_L1_C1_L1,courtyard,"C1,L1",0.4,72.75,76.118,,CLEAN
sep_courtyard_C1_R24_C1_R24,courtyard,"C1,R24",0.4,175.5,177.316,,CLEAN
sep_courtyard_C1_R6_C1_R6,courtyard,"C1,R6",0.4,136.62,163.534,,CLEAN
sep_courtyard_C1_RV1_C1_RV1,courtyard,"C1,RV1",0.4,90.81,105.6,,CLEAN
sep_courtyard_C1_U5_C1_U5,courtyard,"C1,U5",0.4,21.06,29.903,,CLEAN
sep_courtyard_C1_U6_C1_U6,courtyard,"C1,U6",0.4,35.2,51.7,,CLEAN
sep_courtyard_C10_C11_C10_C11,courtyard,"C10,C11",0.4,56.54,62.681,,CLEAN
sep_courtyard_C10_C12_C10_C12,courtyard,"C10,C12",0.4,13.9,20.094,,CLEAN
sep_courtyard_C10_C13_C10_C13,courtyard,"C10,C13",0.4,63.27,81.175,,CLEAN
sep_courtyard_C10_C15_C10_C15,courtyard,"C10,C15",0.4,115.41,115.915,,CLEAN
sep_courtyard_C10_C16_C10_C16,courtyard,"C10,C16",0.4,191.33,206.395,,CLEAN
sep_courtyard_C10_C18_C10_C18,courtyard,"C10,C18",0.4,82.83,83.351,,CLEAN
sep_courtyard_C10_C19_C10_C19,courtyard,"C10,C19",0.4,78.45,79.289,,CLEAN
sep_courtyard_C10_C20_C10_C20,courtyard,"C10,C20",0.4,81.75,112.024,,CLEAN
sep_courtyard_C10_C21_C10_C21,courtyard,"C10,C21",0.4,27.47,36.641,,CLEAN
sep_courtyard_C10_C28_C10_C28,courtyard,"C10,C28",0.4,62.39,63.004,,CLEAN
sep_courtyard_C10_C29_C10_C29,courtyard,"C10,C29",0.4,60.78,69.017,,CLEAN
sep_courtyard_C10_C30_C10_C30,courtyard,"C10,C30",0.4,54.07,54.647,,CLEAN
sep_courtyard_C10_C31_C10_C31,courtyard,"C10,C31",0.4,59.31,78.554,,CLEAN
sep_courtyard_C10_C32_C10_C32,courtyard,"C10,C32",0.4,82.83,83.359,,CLEAN
sep_courtyard_C10_C33_C10_C33,courtyard,"C10,C33",0.4,62.13,64.168,,CLEAN
sep_courtyard_C10_C34_C10_C34,courtyard,"C10,C34",0.4,25.31,33.076,,CLEAN
sep_courtyard_C10_C35_C10_C35,courtyard,"C10,C35",0.4,50.11,50.772,,CLEAN
sep_courtyard_C10_C36_C10_C36,courtyard,"C10,C36",0.4,56.49,57.116,,CLEAN
sep_courtyard_C10_C37_C10_C37,courtyard,"C10,C37",0.4,8.72,9.816,,CLEAN
sep_courtyard_C10_C38_C10_C38,courtyard,"C10,C38",0.4,174.19,193.71,,CLEAN
sep_courtyard_C10_C39_C10_C39,courtyard,"C10,C39",0.4,62.78,63.446,,CLEAN
sep_courtyard_C10_C40_C10_C40,courtyard,"C10,C40",0.4,70.53,71.383,,CLEAN
sep_courtyard_C10_C9_C10_C9,courtyard,"C10,C9",0.4,221.13,222.213,,CLEAN
sep_courtyard_C10_D1_C10_D1,courtyard,"C10,D1",0.4,61.97,87.196,,CLEAN
sep_courtyard_C10_D3_C10_D3,courtyard,"C10,D3",0.4,90.75,122.75,,CLEAN
sep_courtyard_C10_D4_C10_D4,courtyard,"C10,D4",0.4,161.42,177.655,,CLEAN
sep_courtyard_C10_J1_C10_J1,courtyard,"C10,J1",0.4,108.7,109.974,,CLEAN
sep_courtyard_C10_L2_C10_L2,courtyard,"C10,L2",0.4,113.45,116.481,,CLEAN
sep_courtyard_C10_Q1_C10_Q1,courtyard,"C10,Q1",0.4,186.46,204.513,,CLEAN
sep_courtyard_C10_Q2_C10_Q2,courtyard,"C10,Q2",0.4,29.63,36.493,,CLEAN
sep_courtyard_C10_R1_C10_R1,courtyard,"C10,R1",0.4,160.92,181.537,,CLEAN
sep_courtyard_C10_R10_C10_R10,courtyard,"C10,R10",0.4,161.53,166.557,,CLEAN
sep_courtyard_C10_R15_C10_R15,courtyard,"C10,R15",0.4,50.12,56.902,,CLEAN
sep_courtyard_C10_R16_C10_R16,courtyard,"C10,R16",0.4,111.68,112.2,,CLEAN
sep_courtyard_C10_R17_C10_R17,courtyard,"C10,R17",0.4,65.8,66.839,,CLEAN
sep_courtyard_C10_R18_C10_R18,courtyard,"C10,R18",0.4,51.67,52.185,,CLEAN
sep_courtyard_C10_R2_C10_R2,courtyard,"C10,R2",0.4,223.4,227.565,,CLEAN
sep_courtyard_C10_R21_C10_R21,courtyard,"C10,R21",0.4,72.98,74.014,,CLEAN
sep_courtyard_C10_R22_C10_R22,courtyard,"C10,R22",0.4,66.2,66.97,,CLEAN
sep_courtyard_C10_R25_C10_R25,courtyard,"C10,R25",0.4,117.4,141.674,,CLEAN
sep_courtyard_C10_R26_C10_R26,courtyard,"C10,R26",0.4,4.34,4.85,,CLEAN
sep_courtyard_C10_R29_C10_R29,courtyard,"C10,R29",0.4,161.53,180.569,,CLEAN
sep_courtyard_C10_R3_C10_R3,courtyard,"C10,R3",0.4,45.46,46.226,,CLEAN
sep_courtyard_C10_R31_C10_R31,courtyard,"C10,R31",0.4,82.03,82.74,,CLEAN
sep_courtyard_C10_R32_C10_R32,courtyard,"C10,R32",0.4,160.93,166.56,,CLEAN
sep_courtyard_C10_R33_C10_R33,courtyard,"C10,R33",0.4,1.49,2.01,,CLEAN
sep_courtyard_C10_R34_C10_R34,courtyard,"C10,R34",0.4,108.7,113.34,,CLEAN
sep_courtyard_C10_R35_C10_R35,courtyard,"C10,R35",0.4,142.5,154.106,,CLEAN
sep_courtyard_C10_R36_C10_R36,courtyard,"C10,R36",0.4,57.18,60.611,,CLEAN
sep_courtyard_C10_R37_C10_R37,courtyard,"C10,R37",0.4,71.08,71.673,,CLEAN
sep_courtyard_C10_R38_C10_R38,courtyard,"C10,R38",0.4,50.1,50.919,,CLEAN
sep_courtyard_C10_R39_C10_R39,courtyard,"C10,R39",0.4,82.83,117.283,,CLEAN
sep_courtyard_C10_R40_C10_R40,courtyard,"C10,R40",0.4,4.76,7.338,,CLEAN
sep_courtyard_C10_R41_C10_R41,courtyard,"C10,R41",0.4,114.94,138.035,,CLEAN
sep_courtyard_C10_R42_C10_R42,courtyard,"C10,R42",0.4,58.79,69.002,,CLEAN
sep_courtyard_C10_R43_C10_R43,courtyard,"C10,R43",0.4,60.88,69.42,,CLEAN
sep_courtyard_C10_R44_C10_R44,courtyard,"C10,R44",0.4,67.52,86.861,,CLEAN
sep_courtyard_C10_R45_C10_R45,courtyard,"C10,R45",0.4,221.73,223.359,,CLEAN
sep_courtyard_C10_R46_C10_R46,courtyard,"C10,R46",0.4,52.58,56.147,,CLEAN
sep_courtyard_C10_R47_C10_R47,courtyard,"C10,R47",0.4,63.55,84.34,,CLEAN
sep_courtyard_C10_R48_C10_R48,courtyard,"C10,R48",0.4,159.06,171.432,,CLEAN
sep_courtyard_C10_R49_C10_R49,courtyard,"C10,R49",0.4,52.32,52.919,,CLEAN
sep_courtyard_C10_R50_C10_R50,courtyard,"C10,R50",0.4,214.75,215.54,,CLEAN
sep_courtyard_C10_R52_C10_R52,courtyard,"C10,R52",0.4,140.57,153.628,,CLEAN
