# provenance: commit=760252f02d76facc1812d9dab1de4f15f27282b3 dirty=false
name,kind,refs,margin_mm,box_dist_mm,copper_dist_mm,domains,verdict
sep_courtyard_C1_C25_C1_C25,courtyard,"C1,C25",0.4,98.79,111.627,,CLEAN
sep_courtyard_C1_C26_C1_C26,courtyard,"C1,C26",0.4,111.05,132.624,,CLEAN
sep_courtyard_C1_C27_C1_C27,courtyard,"C1,C27",0.4,57.23,68.11,,CLEAN
sep_courtyard_C1_D5_C1_D5,courtyard,"C1,D5",0.4,96.84,110.987,,CLEAN
sep_courtyard_C1_F1_C1_F1,courtyard,"C1,F1",0.4,21.65,24.85,,CLEAN
sep_courtyard_C1_L1_C1_L1,courtyard,"C1,L1",0.4,21.89,34.13,,CLEAN
sep_courtyard_C1_R24_C1_R24,courtyard,"C1,R24",0.4,132.8,134.038,,CLEAN
sep_courtyard_C1_R6_C1_R6,courtyard,"C1,R6",0.4,109.84,135.123,,CLEAN
sep_courtyard_C1_RV1_C1_RV1,courtyard,"C1,RV1",0.4,78.05,88.357,,CLEAN
sep_courtyard_C1_U5_C1_U5,courtyard,"C1,U5",0.4,57.23,59.762,,CLEAN
sep_courtyard_C1_U6_C1_U6,courtyard,"C1,U6",0.4,87.51,91.948,,CLEAN
sep_courtyard_C10_C11_C10_C11,courtyard,"C10,C11",0.4,86.52,87.332,,CLEAN
sep_courtyard_C10_C12_C10_C12,courtyard,"C10,C12",0.4,81.2,81.76,,CLEAN
sep_courtyard_C10_C13_C10_C13,courtyard,"C10,C13",0.4,78.35,78.86,,CLEAN
sep_courtyard_C10_C15_C10_C15,courtyard,"C10,C15",0.4,74.55,75.046,,CLEAN
sep_courtyard_C10_C16_C10_C16,courtyard,"C10,C16",0.4,129.51,132.326,,CLEAN
sep_courtyard_C10_C18_C10_C18,courtyard,"C10,C18",0.4,37.91,41.703,,CLEAN
sep_courtyard_C10_C19_C10_C19,courtyard,"C10,C19",0.4,52.85,53.403,,CLEAN
sep_courtyard_C10_C20_C10_C20,courtyard,"C10,C20",0.4,65.43,68.412,,CLEAN
sep_courtyard_C10_C21_C10_C21,courtyard,"C10,C21",0.4,65.43,84.982,,CLEAN
sep_courtyard_C10_C28_C10_C28,courtyard,"C10,C28",0.4,72.81,77.49,,CLEAN
sep_courtyard_C10_C29_C10_C29,courtyard,"C10,C29",0.4,71.3,72.124,,CLEAN
sep_courtyard_C10_C30_C10_C30,courtyard,"C10,C30",0.4,83.49,84.339,,CLEAN
sep_courtyard_C10_C31_C10_C31,courtyard,"C10,C31",0.4,92.11,94.404,,CLEAN
sep_courtyard_C10_C32_C10_C32,courtyard,"C10,C32",0.4,12.35,12.86,,CLEAN
sep_courtyard_C10_C33_C10_C33,courtyard,"C10,C33",0.4,83.49,85.123,,CLEAN
sep_courtyard_C10_C34_C10_C34,courtyard,"C10,C34",0.4,67.57,71.29,,CLEAN
sep_courtyard_C10_C35_C10_C35,courtyard,"C10,C35",0.4,89.61,93.102,,CLEAN
sep_courtyard_C10_C36_C10_C36,courtyard,"C10,C36",0.4,67.57,72.56,,CLEAN
sep_courtyard_C10_C37_C10_C37,courtyard,"C10,C37",0.4,75.26,80.16,,CLEAN
sep_courtyard_C10_C38_C10_C38,courtyard,"C10,C38",0.4,163.57,172.649,,CLEAN
sep_courtyard_C10_C39_C10_C39,courtyard,"C10,C39",0.4,63.11,81.365,,CLEAN
sep_courtyard_C10_C40_C10_C40,courtyard,"C10,C40",0.4,41.91,49.268,,CLEAN
sep_courtyard_C10_C9_C10_C9,courtyard,"C10,C9",0.4,188.97,189.968,,CLEAN
sep_courtyard_C10_D1_C10_D1,courtyard,"C10,D1",0.4,89.41,114.251,,CLEAN
sep_courtyard_C10_D3_C10_D3,courtyard,"C10,D3",0.4,55.11,58.726,,CLEAN
sep_courtyard_C10_D4_C10_D4,courtyard,"C10,D4",0.4,194.56,195.67,,CLEAN
sep_courtyard_C10_J1_C10_J1,courtyard,"C10,J1",0.4,75.18,84.497,,CLEAN
sep_courtyard_C10_L2_C10_L2,courtyard,"C10,L2",0.4,87.51,113.499,,CLEAN
sep_courtyard_C10_Q1_C10_Q1,courtyard,"C10,Q1",0.4,165.1,172.027,,CLEAN
sep_courtyard_C10_Q2_C10_Q2,courtyard,"C10,Q2",0.4,67.09,84.254,,CLEAN
sep_courtyard_C10_R1_C10_R1,courtyard,"C10,R1",0.4,161.1,167.079,,CLEAN
sep_courtyard_C10_R10_C10_R10,courtyard,"C10,R10",0.4,188.97,189.677,,CLEAN
sep_courtyard_C10_R15_C10_R15,courtyard,"C10,R15",0.4,75.26,77.139,,CLEAN
sep_courtyard_C10_R16_C10_R16,courtyard,"C10,R16",0.4,97.54,104.128,,CLEAN
sep_courtyard_C10_R17_C10_R17,courtyard,"C10,R17",0.4,47.0,50.222,,CLEAN
sep_courtyard_C10_R18_C10_R18,courtyard,"C10,R18",0.4,86.51,88.916,,CLEAN
sep_courtyard_C10_R2_C10_R2,courtyard,"C10,R2",0.4,164.22,169.767,,CLEAN
sep_courtyard_C10_R21_C10_R21,courtyard,"C10,R21",0.4,51.36,52.677,,CLEAN
sep_courtyard_C10_R22_C10_R22,courtyard,"C10,R22",0.4,19.2,20.708,,CLEAN
sep_courtyard_C10_R25_C10_R25,courtyard,"C10,R25",0.4,144.94,153.252,,CLEAN
sep_courtyard_C10_R26_C10_R26,courtyard,"C10,R26",0.4,70.04,74.081,,CLEAN
sep_courtyard_C10_R29_C10_R29,courtyard,"C10,R29",0.4,157.15,163.008,,CLEAN
sep_courtyard_C10_R3_C10_R3,courtyard,"C10,R3",0.4,74.04,75.441,,CLEAN
sep_courtyard_C10_R31_C10_R31,courtyard,"C10,R31",0.4,14.81,15.32,,CLEAN
sep_courtyard_C10_R32_C10_R32,courtyard,"C10,R32",0.4,116.75,118.693,,CLEAN
sep_courtyard_C10_R33_C10_R33,courtyard,"C10,R33",0.4,85.95,90.019,,CLEAN
sep_courtyard_C10_R34_C10_R34,courtyard,"C10,R34",0.4,90.28,126.458,,CLEAN
sep_courtyard_C10_R35_C10_R35,courtyard,"C10,R35",0.4,85.44,111.51,,CLEAN
sep_courtyard_C10_R36_C10_R36,courtyard,"C10,R36",0.4,74.4,75.17,,CLEAN
sep_courtyard_C10_R37_C10_R37,courtyard,"C10,R37",0.4,40.4,46.383,,CLEAN
sep_courtyard_C10_R38_C10_R38,courtyard,"C10,R38",0.4,71.3,72.394,,CLEAN
sep_courtyard_C10_R39_C10_R39,courtyard,"C10,R39",0.4,70.59,89.072,,CLEAN
sep_courtyard_C10_R40_C10_R40,courtyard,"C10,R40",0.4,78.62,83.473,,CLEAN
sep_courtyard_C10_R41_C10_R41,courtyard,"C10,R41",0.4,65.08,75.421,,CLEAN
sep_courtyard_C10_R42_C10_R42,courtyard,"C10,R42",0.4,40.85,45.316,,CLEAN
sep_courtyard_C10_R43_C10_R43,courtyard,"C10,R43",0.4,31.54,40.811,,CLEAN
sep_courtyard_C10_R44_C10_R44,courtyard,"C10,R44",0.4,100.8,107.19,,CLEAN
sep_courtyard_C10_R45_C10_R45,courtyard,"C10,R45",0.4,200.37,200.875,,CLEAN
sep_courtyard_C10_R46_C10_R46,courtyard,"C10,R46",0.4,81.98,86.666,,CLEAN
