# provenance: commit=f204007097e76f96827c76257afb3f72c35f1fb9 dirty=false
kind,ra,rb,margin_mm,box_dist_mm,copper_dist_mm,domains,verdict
keepaway,C1,C10,8.0,169.7,182.272,uncl<->HV,CLEAN
domain,C1,C11,8.0,156.27,204.259,MAINS<->LV_CONTROL,CLEAN
domain,C1,C12,8.0,152.07,201.04,MAINS<->LV_CONTROL,CLEAN
domain,C1,C13,8.0,148.11,193.431,MAINS<->LV_CONTROL,CLEAN
domain,C1,C15,8.0,72.61,85.407,MAINS<->LV_CONTROL,CLEAN
domain,C1,C16,8.0,16.38,21.593,MAINS<->LV_CONTROL,CLEAN
domain,C1,C18,8.0,121.75,124.708,MAINS<->LV_CONTROL,CLEAN
domain,C1,C19,8.0,117.79,120.768,MAINS<->LV_CONTROL,CLEAN
domain,C1,C20,8.0,79.95,88.172,MAINS<->LV_CONTROL,CLEAN
domain,C1,C21,8.0,93.16,126.011,MAINS<->LV_CONTROL,CLEAN
domain,C1,C28,8.0,174.01,187.984,MAINS<->LV_CONTROL,CLEAN
domain,C1,C29,8.0,137.36,194.064,MAINS<->LV_CONTROL,CLEAN
domain,C1,C30,8.0,156.51,202.884,MAINS<->LV_CONTROL,CLEAN
domain,C1,C31,8.0,132.44,173.807,MAINS<->LV_CONTROL,CLEAN
domain,C1,C32,8.0,164.55,167.358,MAINS<->LV_CONTROL,CLEAN
domain,C1,C33,8.0,174.01,222.833,MAINS<->LV_CONTROL,CLEAN
domain,C1,C34,8.0,170.05,184.735,MAINS<->LV_CONTROL,CLEAN
domain,C1,C35,8.0,174.01,221.318,MAINS<->LV_CONTROL,CLEAN
domain,C1,C36,8.0,174.01,187.506,MAINS<->LV_CONTROL,CLEAN
domain,C1,C37,8.0,171.56,184.014,MAINS<->LV_CONTROL,CLEAN
domain,C1,C38,8.0,7.98,10.817,MAINS<->LV_CONTROL,GAP2-HOLDS
domain,C1,C39,8.0,121.31,122.469,MAINS<->LV_CONTROL,CLEAN
domain,C1,C40,8.0,160.59,161.863,MAINS<->LV_CONTROL,CLEAN
domain,C1,C6,8.0,16.38,21.046,DC_BUS<->LV_CONTROL,CLEAN
domain,C1,C9,8.0,56.87,61.114,DC_BUS<->LV_CONTROL,CLEAN
domain,C1,D1,8.0,129.74,153.367,MAINS<->LV_CONTROL,CLEAN
domain,C1,D3,8.0,71.95,77.346,MAINS<->LV_CONTROL,CLEAN
domain,C1,D4,8.0,25.66,27.839,DC_BUS<->LV_CONTROL,CLEAN
domain,C1,J1,8.0,76.82,86.681,MAINS<->LV_CONTROL,CLEAN
domain,C1,K1,8.0,30.3,50.651,MAINS<->LV_CONTROL,CLEAN
domain,C1,K2,8.0,146.02,174.411,MAINS<->LV_CONTROL,CLEAN
domain,C1,K3,8.0,159.97,166.121,MAINS<->LV_CONTROL,CLEAN
domain,C1,L2,8.0,111.92,120.611,MAINS<->LV_CONTROL,CLEAN
domain,C1,PS1,8.0,92.61,170.448,MAINS<->LV_CONTROL,CLEAN
domain,C1,Q1,8.0,20.72,31.718,DC_BUS<->LV_CONTROL,CLEAN
domain,C1,Q2,8.0,88.3,121.674,MAINS<->LV_CONTROL,CLEAN
domain,C1,R1,8.0,12.4,17.188,DC_BUS<->LV_CONTROL,CLEAN
domain,C1,R10,8.0,16.77,23.571,DC_BUS<->LV_CONTROL,CLEAN
domain,C1,R15,8.0,162.84,205.432,MAINS<->LV_CONTROL,CLEAN
domain,C1,R16,8.0,48.54,69.569,MAINS<->LV_CONTROL,CLEAN
domain,C1,R17,8.0,128.96,130.168,MAINS<->LV_CONTROL,CLEAN
domain,C1,R18,8.0,167.19,212.792,MAINS<->LV_CONTROL,CLEAN
domain,C1,R2,8.0,61.07,75.423,DC_BUS<->LV_CONTROL,CLEAN
domain,C1,R21,8.0,158.02,158.875,MAINS<->LV_CONTROL,CLEAN
domain,C1,R22,8.0,155.24,156.072,MAINS<->LV_CONTROL,CLEAN
domain,C1,R25,8.0,44.98,46.265,MAINS<->LV_CONTROL,CLEAN
domain,C1,R26,8.0,175.5,191.336,MAINS<->LV_CONTROL,CLEAN
domain,C1,R29,8.0,16.77,17.647,DC_BUS<->LV_CONTROL,CLEAN
domain,C1,R3,8.0,175.06,212.667,MAINS<->LV_CONTROL,CLEAN
domain,C1,R31,8.0,154.91,156.141,MAINS<->LV_CONTROL,CLEAN
domain,C1,R32,8.0,18.84,24.525,MAINS<->LV_CONTROL,CLEAN
domain,C1,R33,8.0,174.01,189.931,MAINS<->LV_CONTROL,CLEAN
keepaway,C1,R34,8.0,130.49,149.857,uncl<->HV,CLEAN
domain,C1,R35,8.0,126.85,149.098,MAINS<->LV_CONTROL,CLEAN
domain,C1,R36,8.0,150.52,193.831,MAINS<->LV_CONTROL,CLEAN
domain,C1,R37,8.0,134.9,135.706,MAINS<->LV_CONTROL,CLEAN
domain,C1,R38,8.0,163.64,212.625,MAINS<->LV_CONTROL,CLEAN
domain,C1,R39,8.0,46.37,50.225,MAINS<->LV_CONTROL,CLEAN
keepaway,C1,R40,8.0,175.5,215.142,uncl<->HV,CLEAN
domain,C1,R41,8.0,48.38,49.372,MAINS<->LV_CONTROL,CLEAN
keepaway,C1,R42,8.0,131.39,132.205,uncl<->HV,CLEAN
domain,C1,R43,8.0,115.34,116.793,MAINS<->LV_CONTROL,CLEAN
