test_id,check,vin_set_V,vin_meas_V,load_target_A,load_meas_A,input_limit_A,iin_A,vout_mean_V,vout_min_V,vout_max_V,bw_MHz,sample_rate_Msas,stimulus_timing,ambient_C,temp_locations_C,waveform_files,status,notes
DC-13V5-000,DC regulation,13.5,,,,,,,,,,,steady,,,,NOT RUN,
DC-13V5-005,DC regulation,13.5,,0.05,,,,,,,,,steady,,,,NOT RUN,
DC-13V5-010,DC regulation,13.5,,0.10,,,,,,,,,steady,,,,NOT RUN,
DC-13V5-025,DC regulation,13.5,,0.25,,,,,,,,,steady,,,,NOT RUN,
DC-13V5-050,DC regulation,13.5,,0.50,,,,,,,,,steady,,,,NOT RUN,
DC-15V0-000,DC regulation,15.0,,,,,,,,,,,steady,,,,NOT RUN,
DC-15V0-005,DC regulation,15.0,,0.05,,,,,,,,,steady,,,,NOT RUN,
DC-15V0-010,DC regulation,15.0,,0.10,,,,,,,,,steady,,,,NOT RUN,
DC-15V0-025,DC regulation,15.0,,0.25,,,,,,,,,steady,,,,NOT RUN,
DC-15V0-050,DC regulation,15.0,,0.50,,,,,,,,,steady,,,,NOT RUN,
DC-16V5-000,DC regulation,16.5,,,,,,,,,,,steady,,,,NOT RUN,
DC-16V5-005,DC regulation,16.5,,0.05,,,,,,,,,steady,,,,NOT RUN,
DC-16V5-010,DC regulation,16.5,,0.10,,,,,,,,,steady,,,,NOT RUN,
DC-16V5-025,DC regulation,16.5,,0.25,,,,,,,,,steady,,,,NOT RUN,
DC-16V5-050,DC regulation,16.5,,0.50,,,,,,,,,steady,,,,NOT RUN,
SU-15V0-000,Startup,15.0,,0.0,,,,,,,,,1ms ramp;t0+20ms capture,,,,NOT RUN,
SU-15V0-050,Startup,15.0,,0.5 clamp law,,,,,,,,,1ms ramp;t0+20ms capture,,,,NOT RUN,
SU-13V5-000,Startup,13.5,,0.0,,,,,,,,,1ms ramp;t0+20ms capture,,,,NOT RUN,
SU-13V5-050,Startup,13.5,,0.5 clamp law,,,,,,,,,1ms ramp;t0+20ms capture,,,,NOT RUN,
SU-16V5-000,Startup,16.5,,0.0,,,,,,,,,1ms ramp;t0+20ms capture,,,,NOT RUN,
SU-16V5-050,Startup,16.5,,0.5 clamp law,,,,,,,,,1ms ramp;t0+20ms capture,,,,NOT RUN,
STEP-15V0-UP,Load step 0.05-0.50A,15.0,,0.05 to 0.50,,,,,,,,,0.1A/us;3 pulses;10ms high,,,,NOT RUN,
STEP-15V0-DN,Load step 0.50-0.05A,15.0,,0.50 to 0.05,,,,,,,,,0.1A/us;3 pulses;10ms high,,,,NOT RUN,
PULSE-15V0-UP,Pulse 0.05-1.00A 10ms,15.0,,0.05 to 1.00,,,,,,,,,0.1A/us;3 pulses;10ms plateau,,,,NOT RUN,
PULSE-15V0-DN,Pulse 1.00-0.05A 10ms,15.0,,1.00 to 0.05,,,,,,,,,0.1A/us;3 pulses;10ms plateau,,,,NOT RUN,
STEP-13V5-UP,Load step 0.05-0.50A,13.5,,0.05 to 0.50,,,,,,,,,0.1A/us;3 pulses;10ms high,,,,NOT RUN,
STEP-13V5-DN,Load step 0.50-0.05A,13.5,,0.50 to 0.05,,,,,,,,,0.1A/us;3 pulses;10ms high,,,,NOT RUN,
PULSE-13V5-UP,Pulse 0.05-1.00A 10ms,13.5,,0.05 to 1.00,,,,,,,,,0.1A/us;3 pulses;10ms plateau,,,,NOT RUN,
PULSE-13V5-DN,Pulse 1.00-0.05A 10ms,13.5,,1.00 to 0.05,,,,,,,,,0.1A/us;3 pulses;10ms plateau,,,,NOT RUN,
STEP-16V5-UP,Load step 0.05-0.50A,16.5,,0.05 to 0.50,,,,,,,,,0.1A/us;3 pulses;10ms high,,,,NOT RUN,
STEP-16V5-DN,Load step 0.50-0.05A,16.5,,0.50 to 0.05,,,,,,,,,0.1A/us;3 pulses;10ms high,,,,NOT RUN,
PULSE-16V5-UP,Pulse 0.05-1.00A 10ms,16.5,,0.05 to 1.00,,,,,,,,,0.1A/us;3 pulses;10ms plateau,,,,NOT RUN,
PULSE-16V5-DN,Pulse 1.00-0.05A 10ms,16.5,,1.00 to 0.05,,,,,,,,,0.1A/us;3 pulses;10ms plateau,,,,NOT RUN,
RIP-13V5-000,Output ripple,13.5,,0.0,,,,,,,20,>=100,100ms window,,,,NOT RUN,
RIP-13V5-005,Output ripple,13.5,,0.05,,,,,,,20,>=100,100ms window,,,,NOT RUN,
RIP-13V5-050,Output ripple,13.5,,0.50,,,,,,,20,>=100,100ms window,,,,NOT RUN,
RIP-15V0-000,Output ripple,15.0,,0.0,,,,,,,20,>=100,100ms window,,,,NOT RUN,
RIP-15V0-005,Output ripple,15.0,,0.05,,,,,,,20,>=100,100ms window,,,,NOT RUN,
RIP-15V0-050,Output ripple,15.0,,0.50,,,,,,,20,>=100,100ms window,,,,NOT RUN,
RIP-16V5-000,Output ripple,16.5,,0.0,,,,,,,20,>=100,100ms window,,,,NOT RUN,
RIP-16V5-005,Output ripple,16.5,,0.05,,,,,,,20,>=100,100ms window,,,,NOT RUN,
RIP-16V5-050,Output ripple,16.5,,0.50,,,,,,,20,>=100,100ms window,,,,NOT RUN,
RIP-15V0-P1A,Output ripple 1A plateau,15.0,,1.00 plateau,,,,,,,20,>=100,10ms plateau,,,,NOT RUN,
