"Refs","Value","Footprint","Qty","DNP"
"C9","10uF 50V X7R","buck-reva:C_1210_3225Metric","1",""
"C10","100nF 50V X7R","buck-reva:C_0603_1608Metric","1",""
"C11","22uF 25V X7R","buck-reva:C_1210_3225Metric","1",""
"C12","22uF 25V X7R","buck-reva:C_1210_3225Metric","1",""
"C13","100nF 50V X7R","buck-reva:C_0603_1608Metric","1",""
"J1","VIN / GND","buck-reva:TerminalBlock_5.08mm_1x02","1",""
"J2","3V3 / GND","buck-reva:TerminalBlock_5.08mm_1x02","1",""
"L2","5.6uH","buck-reva:L_Bourns_SRP1265A","1",""
"R16","100k","buck-reva:R_0603_1608Metric","1",""
"R17","22.1k","buck-reva:R_0603_1608Metric","1",""
"U3","LMR51430XDDCR","buck-reva:SOT-23-6","1",""
