id	kind	rail	return	upstream	source_identity	protection	steady	start	pulse	dropout	fault	evidence
hot_raw	SOURCE	AUX15_SOURCE	HOT0	AC_PRE_RUN	UNKNOWN	AUX_BRANCH_FUSE_UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	CANDIDATE
hot_protected	SOURCE	AUX_PROTECTED	HOT0	AUX15_SOURCE	LTC4368_CANDIDATE	CUTOFF_CANDIDATE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	CANDIDATE
hot_logic5	SOURCE	HOT_LOGIC5	HOT0	AUX_PROTECTED	TPS54202_CANDIDATE	DOWNSTREAM_OF_CUTOFF	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	CANDIDATE
selv15	SOURCE	SELV15	SELV_GND	AC_PRE_RUN	UNKNOWN	SELV_BRANCH_FUSE_UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	CANDIDATE
selv3v3	SOURCE	SELV3V3	SELV_GND	SELV15	UNKNOWN	REGULATOR_UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	HISTORICAL
ls15	SOURCE	LS15	HV_RETURN	SELV15	UNKNOWN	ISOLATED_CONVERTER_UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	CANDIDATE
fan12	SOURCE	FAN12	FAN_RETURN	SELV15	UNKNOWN	FAN_BRANCH_UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	CANDIDATE
aux_ena_base	LOAD	AUX_PROTECTED	HOT0	NONE	REV38_DRIVER	NONE	4.77mA_NOMINAL_SCREEN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
aux_ena_pullup	LOAD	AUX_PROTECTED	HOT0	NONE	REV38_DRIVER	NONE	1.575mA_NOMINAL_SCREEN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
aux_pfc_inhibit_pullup	LOAD	AUX_PROTECTED	HOT0	NONE	REV38_PFC	NONE	0.158mA_NOMINAL_SCREEN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
aux_sense_fast	LOAD	AUX_PROTECTED	HOT0	NONE	REV38_AUX_WINDOW	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
aux_sense_ov	LOAD	AUX_PROTECTED	HOT0	NONE	REV38_AUX_WINDOW	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
aux_sense_supervisor	LOAD	AUX_PROTECTED	HOT0	NONE	REV38_HOT_RAILS	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
aux_relay	LOAD	AUX_PROTECTED	HOT0	NONE	REV38_AC_INPUT	NONE	31.60-34.92mA_IDEAL_NOMINAL	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
aux_pfc_controller	LOAD	AUX_PROTECTED	HOT0	NONE	REV38_PFC	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
aux_gate_driver	LOAD	AUX_PROTECTED	HOT0	NONE	REV38_DRIVER	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
logic_receiver	LOAD	HOT_LOGIC5	HOT0	NONE	REV38_RECEIVER	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
logic_watchdog	LOAD	HOT_LOGIC5	HOT0	NONE	REV38_WATCHDOG	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
logic_supervisors	LOAD	HOT_LOGIC5	HOT0	NONE	REV38_HOT_RAILS	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
logic_f2_detector	LOAD	HOT_LOGIC5	HOT0	NONE	REV38_F2	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
logic_aux_window	LOAD	HOT_LOGIC5	HOT0	NONE	REV38_AUX_WINDOW	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
logic_latches_bleeds	LOAD	HOT_LOGIC5	HOT0	NONE	REV38_INTEGRATED	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
selv15_legacy_management	LOAD	SELV15	SELV_GND	NONE	LEGACY_MAIN	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	HISTORICAL
selv15_legacy_interlock	LOAD	SELV15	SELV_GND	NONE	LEGACY_MAIN	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	HISTORICAL
selv3v3_mcu	LOAD	SELV3V3	SELV_GND	NONE	LEGACY_MAIN	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	HISTORICAL
selv3v3_sensors	LOAD	SELV3V3	SELV_GND	NONE	SENSORS	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
selv3v3_interlock	LOAD	SELV3V3	SELV_GND	NONE	INTERLOCK	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
ls15_gate_driver	LOAD	LS15	HV_RETURN	NONE	GATE_DRIVE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SOURCE_DERIVED
fan12_cooling	LOAD	FAN12	FAN_RETURN	NONE	COOLING	NONE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	CANDIDATE
