scenario,candidate,fault,vb_seconds_if_mains_isolated,vb_seconds_if_mains_attached,vd_seconds,vd_one_string_open_seconds,detached_1meg_seconds,detached_no_path_seconds,initial_vb_path_w_at_minus1pct_if_held,initial_vb_path_a_at_minus1pct_if_held,initial_joules_vb_direct,illustrative_deadline_s
sensitivity_400_to_80_120,passive_7k5,none,33.186,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,21.549,0.05387,223.040,120.000
sensitivity_400_to_80_120,passive_7k5,one_resistor_branch_open,1403.328,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,0.000,0.00000,223.040,120.000
sensitivity_400_to_80_120,passive_7k5,one_contact_stuck_open,33.186,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,21.549,0.05387,223.040,120.000
sensitivity_400_to_80_120,passive_7k5,common_hold_energized,33.186,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,21.549,0.05387,223.040,120.000
sensitivity_400_to_80_120,passive_7k5,aux_lost_nc_release_assumed,33.186,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,21.549,0.05387,223.040,120.000
sensitivity_400_to_80_120,one_nc_2x15k,none,38.186,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,21.549,0.05387,223.040,120.000
sensitivity_400_to_80_120,one_nc_2x15k,one_resistor_branch_open,69.839,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,10.774,0.02694,223.040,120.000
sensitivity_400_to_80_120,one_nc_2x15k,one_contact_stuck_open,1408.328,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,0.000,0.00000,223.040,120.000
sensitivity_400_to_80_120,one_nc_2x15k,common_hold_energized,1403.328,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,0.000,0.00000,223.040,120.000
sensitivity_400_to_80_120,one_nc_2x15k,aux_lost_nc_release_assumed,38.186,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,21.549,0.05387,223.040,120.000
sensitivity_400_to_80_120,two_nc_2x7k5,none,21.792,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,43.098,0.10774,223.040,120.000
sensitivity_400_to_80_120,two_nc_2x7k5,one_resistor_branch_open,38.186,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,21.549,0.05387,223.040,120.000
sensitivity_400_to_80_120,two_nc_2x7k5,one_contact_stuck_open,38.186,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,21.549,0.05387,223.040,120.000
sensitivity_400_to_80_120,two_nc_2x7k5,common_hold_energized,1403.328,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,0.000,0.00000,223.040,120.000
sensitivity_400_to_80_120,two_nc_2x7k5,aux_lost_nc_release_assumed,21.792,NO_RC_COMPLETION,16.071,32.143,162.553,UNBOUNDED,43.098,0.10774,223.040,120.000
sensitivity_450_to_34_60,passive_7k5,none,53.258,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,27.273,0.06061,282.285,60.000
sensitivity_450_to_34_60,passive_7k5,one_resistor_branch_open,2252.114,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,0.000,0.00000,282.285,60.000
sensitivity_450_to_34_60,passive_7k5,one_contact_stuck_open,53.258,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,27.273,0.06061,282.285,60.000
sensitivity_450_to_34_60,passive_7k5,common_hold_energized,53.258,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,27.273,0.06061,282.285,60.000
sensitivity_450_to_34_60,passive_7k5,aux_lost_nc_release_assumed,53.258,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,27.273,0.06061,282.285,60.000
sensitivity_450_to_34_60,one_nc_2x15k,none,58.258,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,27.273,0.06061,282.285,60.000
sensitivity_450_to_34_60,one_nc_2x15k,one_resistor_branch_open,109.056,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,13.636,0.03030,282.285,60.000
sensitivity_450_to_34_60,one_nc_2x15k,one_contact_stuck_open,2257.114,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,0.000,0.00000,282.285,60.000
sensitivity_450_to_34_60,one_nc_2x15k,common_hold_energized,2252.114,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,0.000,0.00000,282.285,60.000
sensitivity_450_to_34_60,one_nc_2x15k,aux_lost_nc_release_assumed,58.258,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,27.273,0.06061,282.285,60.000
sensitivity_450_to_34_60,two_nc_2x7k5,none,31.948,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,54.545,0.12121,282.285,60.000
sensitivity_450_to_34_60,two_nc_2x7k5,one_resistor_branch_open,58.258,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,27.273,0.06061,282.285,60.000
sensitivity_450_to_34_60,two_nc_2x7k5,one_contact_stuck_open,58.258,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,27.273,0.06061,282.285,60.000
sensitivity_450_to_34_60,two_nc_2x7k5,common_hold_energized,2252.114,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,0.000,0.00000,282.285,60.000
sensitivity_450_to_34_60,two_nc_2x7k5,aux_lost_nc_release_assumed,31.948,NO_RC_COMPLETION,25.792,51.584,260.872,UNBOUNDED,54.545,0.12121,282.285,60.000
