id,f2_closed,mains_isolated,fault,model_verdict,qualification_verdict,vd_s,vb_s,coupled_s,vb_path_if_held_at_max_v_w,reject_count,unknown_count
f2_open_mains_attached_none,false,false,none,Indeterminate,Indeterminate,,,,21.548822,0,20
f2_open_mains_attached_vd_string_open,false,false,vd_string_open,Indeterminate,Indeterminate,,,,21.548822,0,21
f2_open_mains_attached_vd_resistor_short,false,false,vd_resistor_short,Indeterminate,Indeterminate,,,,21.548822,0,21
f2_open_mains_attached_vb_resistor_open,false,false,vb_resistor_open,Indeterminate,Indeterminate,,,,10.774411,0,21
f2_open_mains_attached_vb_resistor_short,false,false,vb_resistor_short,Indeterminate,Indeterminate,,,,32.323232,0,21
f2_open_mains_attached_contact_stuck_open,false,false,contact_stuck_open,Indeterminate,Indeterminate,,,,0.000000,0,21
f2_open_mains_attached_contact_stuck_closed,false,false,contact_stuck_closed,Indeterminate,Indeterminate,,,,21.548822,0,21
f2_open_mains_attached_coil_stuck_energized,false,false,coil_stuck_energized,Indeterminate,Indeterminate,,,,0.000000,0,21
f2_open_mains_attached_vd_sense_open,false,false,vd_sense_open,Indeterminate,Indeterminate,,,,21.548822,0,21
f2_open_mains_attached_vb_sense_open,false,false,vb_sense_open,Indeterminate,Indeterminate,,,,21.548822,0,21
f2_open_mains_isolated_none,false,true,none,Indeterminate,Indeterminate,16.071313,33.770731,,21.548822,0,19
f2_open_mains_isolated_vd_string_open,false,true,vd_string_open,Indeterminate,Indeterminate,32.142625,33.770731,,21.548822,0,20
f2_open_mains_isolated_vd_resistor_short,false,true,vd_resistor_short,Indeterminate,Indeterminate,13.775411,33.770731,,21.548822,0,20
f2_open_mains_isolated_vb_resistor_open,false,true,vb_resistor_open,Indeterminate,Indeterminate,16.071313,66.541462,,10.774411,0,20
f2_open_mains_isolated_vb_resistor_short,false,true,vb_resistor_short,Indeterminate,Indeterminate,16.071313,22.847154,,32.323232,0,20
f2_open_mains_isolated_contact_stuck_open,false,true,contact_stuck_open,Rejected,Rejected,16.071313,inf,,0.000000,1,20
f2_open_mains_isolated_contact_stuck_closed,false,true,contact_stuck_closed,Indeterminate,Indeterminate,16.071313,32.770731,,21.548822,0,20
f2_open_mains_isolated_coil_stuck_energized,false,true,coil_stuck_energized,Rejected,Rejected,16.071313,inf,,0.000000,1,20
f2_open_mains_isolated_vd_sense_open,false,true,vd_sense_open,Indeterminate,Indeterminate,16.071313,33.770731,,21.548822,0,20
f2_open_mains_isolated_vb_sense_open,false,true,vb_sense_open,Indeterminate,Indeterminate,16.071313,33.770731,,21.548822,0,20
f2_closed_mains_attached_none,true,false,none,Indeterminate,Indeterminate,,,,21.548822,0,20
f2_closed_mains_attached_vd_string_open,true,false,vd_string_open,Indeterminate,Indeterminate,,,,21.548822,0,21
f2_closed_mains_attached_vd_resistor_short,true,false,vd_resistor_short,Indeterminate,Indeterminate,,,,21.548822,0,21
f2_closed_mains_attached_vb_resistor_open,true,false,vb_resistor_open,Indeterminate,Indeterminate,,,,10.774411,0,21
f2_closed_mains_attached_vb_resistor_short,true,false,vb_resistor_short,Indeterminate,Indeterminate,,,,32.323232,0,21
f2_closed_mains_attached_contact_stuck_open,true,false,contact_stuck_open,Indeterminate,Indeterminate,,,,0.000000,0,21
f2_closed_mains_attached_contact_stuck_closed,true,false,contact_stuck_closed,Indeterminate,Indeterminate,,,,21.548822,0,21
f2_closed_mains_attached_coil_stuck_energized,true,false,coil_stuck_energized,Indeterminate,Indeterminate,,,,0.000000,0,21
f2_closed_mains_attached_vd_sense_open,true,false,vd_sense_open,Indeterminate,Indeterminate,,,,21.548822,0,21
f2_closed_mains_attached_vb_sense_open,true,false,vb_sense_open,Indeterminate,Indeterminate,,,,21.548822,0,21
f2_closed_mains_isolated_none,true,true,none,Indeterminate,Indeterminate,,,33.463380,21.548822,0,19
f2_closed_mains_isolated_vd_string_open,true,true,vd_string_open,Indeterminate,Indeterminate,,,33.764897,21.548822,0,20
f2_closed_mains_isolated_vd_resistor_short,true,true,vd_resistor_short,Indeterminate,Indeterminate,,,33.364103,21.548822,0,20
f2_closed_mains_isolated_vb_resistor_open,true,true,vb_resistor_open,Indeterminate,Indeterminate,,,64.753384,10.774411,0,20
f2_closed_mains_isolated_vb_resistor_short,true,true,vb_resistor_short,Indeterminate,Indeterminate,,,22.775847,32.323232,0,20
f2_closed_mains_isolated_contact_stuck_open,true,true,contact_stuck_open,Rejected,Rejected,,,1763.843633,0.000000,1,20
f2_closed_mains_isolated_contact_stuck_closed,true,true,contact_stuck_closed,Indeterminate,Indeterminate,,,32.463380,21.548822,0,20
f2_closed_mains_isolated_coil_stuck_energized,true,true,coil_stuck_energized,Rejected,Rejected,,,1763.843633,0.000000,1,20
f2_closed_mains_isolated_vd_sense_open,true,true,vd_sense_open,Indeterminate,Indeterminate,,,33.463380,21.548822,0,20
f2_closed_mains_isolated_vb_sense_open,true,true,vb_sense_open,Indeterminate,Indeterminate,,,33.463380,21.548822,0,20
coil_overvoltage_15p75,false,true,none,Rejected,Rejected,16.071313,33.770731,,21.548822,1,19
detached_island_no_path,false,true,none,Rejected,Rejected,16.071313,33.770731,,21.548822,1,19
mains_live_deadline,false,false,none,Rejected,Rejected,,,,21.548822,1,20
equal_charged_restart,true,true,none,Rejected,Rejected,,,33.463380,21.548822,2,20
open_f2_sense_restart,false,true,vd_sense_open,Rejected,Rejected,16.071313,33.770731,,21.548822,2,21
