Ref,Val,Package,PosX,PosY,Rot,Side
"C1","GRM31C5C1H104JA01L","C_1206_3216Metric",40.000000,-52.200000,0.000000,top
"C2","GRM31C5C1H104JA01L","C_1206_3216Metric",54.000000,-47.500000,90.000000,top
"C3","C0603C104K5RACTU","C_0603_1608Metric",30.500000,-63.100000,180.000000,top
"C4","C0603C104K5RACTU","C_0603_1608Metric",40.000000,-60.800000,90.000000,top
"C5","C0603C104K5RACTU","C_0603_1608Metric",44.300000,-64.200000,0.000000,top
"D1","BAT54H,115","D_SOD-123F",33.500000,-55.500000,-90.000000,top
"D2","BAT54H,115","D_SOD-123F",40.000000,-56.000000,90.000000,top
"J1","NON_PURCHASED_BARE_LANDS","LitzPad_15A",52.500000,-6.000000,180.000000,top
"J2","B4B-XH-A(LF)(SN)","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",64.000000,-67.000000,90.000000,top
"R1","RC1206FR-071R5L","R_1206_3216Metric",40.000000,-49.200000,0.000000,top
"R2","ERA3AEB102V","R_0603_1608Metric",57.000000,-47.500000,-90.000000,top
"R3","ERA3AEB102V","R_0603_1608Metric",57.000000,-51.000000,-90.000000,top
"R4","RC1206FR-071KL","R_1206_3216Metric",36.000000,-54.800000,-90.000000,top
"R5","ERA3AEB3741V","R_0603_1608Metric",29.000000,-49.000000,-90.000000,top
"R6","ERA3AEB103V","R_0603_1608Metric",29.000000,-52.500000,-90.000000,top
"R7","ERA3AEB103V","R_0603_1608Metric",49.000000,-52.500000,-90.000000,top
"R8","ERA3AEB3741V","R_0603_1608Metric",49.000000,-56.000000,-90.000000,top
"T1","CST3015-100ED","CST3015_Datasheet2025",40.000000,-31.000000,0.000000,top
"U1","TLV3201AIDBVR","SOT-23-5",33.000000,-60.000000,180.000000,top
"U2","TLV3201AIDBVR","SOT-23-5",44.000000,-60.000000,180.000000,top
"U3","CD74HC4075M96","SOIC-14_3.9x8.7mm_P1.27mm",38.500000,-68.000000,0.000000,top
