Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C0603C104K5RACTU","C_0603_1608Metric",44.500000,-38.870000,-90.000000,top
"C2","C0603C104K5RACTU","C_0603_1608Metric",60.500000,-40.800000,0.000000,top
"C3","GRM32ER71H106KA12L","C_1210_3225Metric",60.000000,-52.000000,0.000000,top
"C4","GRM32ER71H106KA12L","C_1210_3225Metric",61.000000,-33.000000,0.000000,top
"D1","UF4007-E3/54","D_DO-41_SOD81_P10.16mm_Horizontal",63.000000,-22.000000,0.000000,top
"J1","B4B-XH-A(LF)(SN)","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",8.000000,-14.000000,-90.000000,top
"J2","61300211121","PinHeader_1x02_P2.54mm_Vertical",76.000000,-65.000000,0.000000,top
"J3","61300211121","PinHeader_1x02_P2.54mm_Vertical",72.000000,-29.000000,0.000000,top
"J4","61300211121","PinHeader_1x02_P2.54mm_Vertical",72.000000,-51.000000,0.000000,top
"J5","61300211121","PinHeader_1x02_P2.54mm_Vertical",8.000000,-38.000000,0.000000,top
"Q1","AO3400A","SOT-23",32.000000,-38.000000,0.000000,top
"R1","RC0603FR-071KL","R_0603_1608Metric",24.000000,-34.000000,0.000000,top
"R2","RC0603FR-07100KL","R_0603_1608Metric",27.500000,-38.000000,-90.000000,top
"R3","RC0603FR-0710KL","R_0603_1608Metric",36.000000,-40.000000,-90.000000,top
"R4","RC0603FR-0739KL","R_0603_1608Metric",43.500000,-45.000000,0.000000,top
"R5","RC1206FR-073R9L","R_1206_3216Metric",63.000000,-36.825000,0.000000,top
"R6","RC0603FR-072K2L","R_0603_1608Metric",68.000000,-30.300000,-90.000000,top
"R7","RC1206FR-073R9L","R_1206_3216Metric",63.000000,-43.175000,0.000000,top
"R8","RC0603FR-072K2L","R_0603_1608Metric",68.000000,-52.300000,-90.000000,top
"U1","UCC21550BDWKR","SOIC16W_Isolated",52.000000,-40.000000,0.000000,top
