Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C0603C104K5RACTU","C_0603_1608Metric",36.500000,-21.200000,0.000000,top
"C2","C0603C104K5RACTU","C_0603_1608Metric",36.500000,-39.200000,0.000000,top
"C3","C0603C104K5RACTU","C_0603_1608Metric",55.000000,-23.050000,0.000000,top
"C4","C0603C104K5RACTU","C_0603_1608Metric",70.000000,-40.000000,0.000000,top
"C5","C0603C104K5RACTU","C_0603_1608Metric",70.000000,-14.000000,0.000000,top
"C6","C0603C104K5RACTU","C_0603_1608Metric",53.000000,-42.050000,0.000000,top
"J1","B8B-XH-A(LF)(SN)","JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical",8.000000,-32.000000,90.000000,top
"J2","B8B-XH-A(LF)(SN)","JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical",92.000000,-32.000000,-90.000000,top
"R1","RC0603FR-0710KL","R_0603_1608Metric",18.000000,-17.000000,0.000000,top
"R2","RC0603FR-0710KL","R_0603_1608Metric",18.000000,-21.000000,0.000000,top
"R3","RC0603FR-0710KL","R_0603_1608Metric",18.000000,-25.000000,0.000000,top
"R4","RC0603FR-0710KL","R_0603_1608Metric",18.000000,-29.000000,0.000000,top
"R5","RC0603FR-0710KL","R_0603_1608Metric",18.000000,-33.000000,0.000000,top
"R6","RC0603FR-0710KL","R_0603_1608Metric",18.000000,-37.000000,0.000000,top
"R7","RC0603FR-0710KL","R_0603_1608Metric",18.000000,-41.000000,0.000000,top
"R8","RC0603FR-0710KL","R_0603_1608Metric",40.000000,-51.000000,90.000000,top
"R9","RC0603FR-071KL","R_0603_1608Metric",58.000000,-10.000000,90.000000,top
"R10","RC0603FR-0710KL","R_0603_1608Metric",43.000000,-51.000000,90.000000,top
"R11","RC0603FR-0710KL","R_0603_1608Metric",76.000000,-43.000000,90.000000,top
"U1","SN74LVC14ADR","SOIC-14_3.9x8.7mm_P1.27mm",31.000000,-25.000000,0.000000,top
"U2","SN74LVC14ADR","SOIC-14_3.9x8.7mm_P1.27mm",31.000000,-43.000000,0.000000,top
"U3","CD74HC30PWR","TSSOP-14_4.4x5mm_P0.65mm",49.000000,-25.000000,0.000000,top
"U4","SN74LVC1G74DCUR","VSSOP-8_2.3x2mm_P0.5mm",66.000000,-43.000000,0.000000,top
"U5","TPS3823-33DBVR","SOT-23-5",66.000000,-16.000000,0.000000,top
"U6","SN74LVC1G08DBVR","SOT-23-5",49.000000,-43.000000,0.000000,top
