Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C0603C104K5RACTU","C_0603_1608Metric",14.400000,-18.000000,180.000000,top
"C2","C0603C104K5RACTU","C_0603_1608Metric",14.500000,-15.800000,180.000000,top
"C3","C0603C102J5GACTU","C_0603_1608Metric",20.000000,-25.500000,0.000000,top
"C4","C0603C104K5RACTU","C_0603_1608Metric",20.000000,-38.350000,0.000000,top
"C5","C0603C104K5RACTU","C_0603_1608Metric",30.000000,-37.350000,180.000000,top
"C6","C0603C104K5RACTU","C_0603_1608Metric",30.000000,-46.350000,180.000000,top
"C7","C0603C104K5RACTU","C_0603_1608Metric",40.000000,-39.350000,180.000000,top
"C8","C0603C104K5RACTU","C_0603_1608Metric",43.000000,-30.500000,180.000000,top
"C9","C0603C104K5RACTU","C_0603_1608Metric",49.000000,-39.350000,180.000000,top
"J1","B4B-XH-A(LF)(SN)","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",16.250000,-33.000000,0.000000,top
"J2","FTSH-105-01-F-D","FTSH-105-01-F-D_2x5_P1.27mm",48.000000,-12.000000,0.000000,top
"R1","RG2012V-431-W-T1","R_0805_2012Metric",14.500000,-20.500000,-90.000000,top
"R2","RC0603JR-071ML","R_0603_1608Metric",15.700000,-27.000000,90.000000,top
"R3","RC0603JR-071ML","R_0603_1608Metric",24.300000,-27.000000,90.000000,top
"R4","RC0603FR-0733RL","R_0603_1608Metric",27.000000,-20.300000,180.000000,top
"R5","RC0603FR-0733RL","R_0603_1608Metric",27.000000,-22.000000,180.000000,top
"R6","RC0603FR-0733RL","R_0603_1608Metric",27.000000,-18.600000,180.000000,top
"R7","RC0603FR-0733RL","R_0603_1608Metric",27.000000,-16.900000,0.000000,top
"R8","BLM18AG121SN1D","L_0603_1608Metric",36.000000,-12.000000,0.000000,top
"R9","ERA-3AEB6192V","R_0603_1608Metric",25.500000,-39.000000,-90.000000,top
"R10","ERA-3AEB103V","R_0603_1608Metric",25.500000,-42.500000,-90.000000,top
"R11","ERA-3AEB5901V","R_0603_1608Metric",25.500000,-48.000000,-90.000000,top
"R12","ERA-3AEB103V","R_0603_1608Metric",25.500000,-51.500000,-90.000000,top
"R13","RC0603FR-07100KL","R_0603_1608Metric",33.500000,-32.000000,0.000000,top
"R14","RC0603FR-07100KL","R_0603_1608Metric",42.500000,-45.500000,-90.000000,top
"R15","ERA-3AEB1652V","R_0603_1608Metric",39.500000,-26.000000,-90.000000,top
"R16","ERA-3AEB103V","R_0603_1608Metric",39.500000,-29.500000,-90.000000,top
"R17","RC0603FR-0710KL","R_0603_1608Metric",46.000000,-31.000000,0.000000,top
"R18","RC0603FR-0710KL","R_0603_1608Metric",52.500000,-44.500000,90.000000,top
"U1","MAX31865AAP+","SSOP-20_3.9x8.7mm_P0.635mm",20.000000,-20.000000,0.000000,top
"U2","REF2025AIDDCR","SOT-23-5",20.000000,-41.000000,180.000000,top
"U3","TLV3201AIDBVR","SOT-23-5",30.000000,-40.000000,0.000000,top
"U4","TLV3201AIDBVR","SOT-23-5",30.000000,-49.000000,0.000000,top
"U5","SN74LVC1G08DBVR","SOT-23-5",40.000000,-42.000000,0.000000,top
"U6","TPS389001DSER","TPS389001DSER_WSON-6_DSE",43.000000,-28.000000,0.000000,top
"U7","SN74LVC1G38DBVR","SOT-23-5",49.000000,-42.000000,0.000000,top
