id	from	to	kind	contract
bus_to_legacy_voltage	rev38.vb	voltage.bus	bus_sense	DIRECT
hot_return_to_legacy_return	rev38.hot0	voltage.return	domain_join	DIRECT
hot0_to_selv	rev38.hot0	interlock.gnd	domain_join	DIRECT
ctrl_to_selv	gate.ctrl	interlock.gnd	control_return	UNKNOWN
pfc_run_to_inverter_permit	rev38.run	gate.permit	pfc_as_inverter	DIRECT
interlock_to_inverter	interlock.permit	gate.permit	stop_inverter	UNKNOWN
interlock_to_pfc	interlock.permit	rev38.run	stop_pfc	UNKNOWN
kelvin_hot_join	gate.hvreturn	rev38.hot0	kelvin	UNKNOWN
voltage_fault	voltage.fault	interlock.ovp	signal	UNKNOWN
current_fault	current.fault	interlock.ocp	signal	UNKNOWN
thermal_hs_fault	thermal.hs	interlock.hs	signal	UNKNOWN
thermal_coil_fault	thermal.coil	interlock.coil	signal	UNKNOWN
rtd_fault	rtd.fault	interlock.rtd	signal	UNKNOWN
cooling_fault	cooling.fault	interlock.hs	signal	UNKNOWN
global_sensor_live	global.live	interlock.live	global_live	UNKNOWN
f2_equal_voltage	f2.continuity	rev38.run	f2_equal	EQUAL_VD_VB
fan_off_discharge_heat	discharge.fanoff	rev38.vb	heat	OMITTED
programming_reset_stop	programming.ui	interlock.permit	service	UNKNOWN
