id	source	needle	board	ref	pin	net	domain	return	direction	vmax_v	fault_default	stop_timing	evidence
rev38.vb	zapote/power-entry/passive-reva/protection/interface-integration-38/elec/src/pfc_power.ato	f2.bank ~ VB_BANK	-	-	-	VB_BANK	HOT	HOT0	OUT	450	charged	UNKNOWN	source
rev38.hot0	zapote/power-entry/passive-reva/protection/interface-integration-38/elec/src/pfc_power.ato	bulk1.minus ~ HOT0	-	-	-	HOT0	HOT	HOT0	RETURN	0	live	UNKNOWN	source
rev38.vd	zapote/power-entry/passive-reva/protection/interface-integration-38/elec/src/pfc_power.ato	f2.diode ~ VD_LOCAL	-	-	-	VD_LOCAL	HOT	HOT0	OUT	450	charged	UNKNOWN	source
rev38.run	zapote/power-entry/passive-reva/protection/interface-integration-38/elec/src/power_entry_integrated_38.ato	driver.HOT_RUN_Q ~ receiver.HOT_RUN_Q	-	-	-	HOT_RUN_Q	HOT	HOT0	IN	5	LOW	UNKNOWN	source
voltage.bus	zapote/voltage-sense/source-build-04/elec/src/voltage_sense_unit.ato	input.p1 ~ bus	zapote/voltage-sense/candidate/section.kicad_pcb	J1	1	BUS_PLUS	LEGACY_HOT	BUS_RETURN	IN	250	UNKNOWN	UNKNOWN	digital
voltage.return	zapote/voltage-sense/source-build-04/elec/src/voltage_sense_unit.ato	input.p2 ~ gnd	zapote/voltage-sense/candidate/section.kicad_pcb	J1	2	BUS_RETURN	LEGACY_COMMON	BUS_RETURN	RETURN	0	UNKNOWN	UNKNOWN	digital
voltage.fault	zapote/voltage-sense/source-build-04/elec/src/voltage_sense_unit.ato	host.p3 ~ fault	zapote/voltage-sense/candidate/section.kicad_pcb	J2	3	OVP_FAULT	LEGACY_COMMON	BUS_RETURN	OUT	3.465	UNKNOWN	UNKNOWN	digital
gate.permit	zapote/gate-drive/source-build-09/elec/src/gate_drive_unit.ato	host.p3 ~ permit	zapote/gate-drive/candidate/section.kicad_pcb	J1	3	permit	CTRL	ctrl_gnd	IN	3.465	LOW	UNKNOWN	digital
gate.ctrl	zapote/gate-drive/source-build-09/elec/src/gate_drive_unit.ato	host.p4 ~ ctrl_gnd	zapote/gate-drive/candidate/section.kicad_pcb	J1	4	ctrl_gnd	CTRL	ctrl_gnd	RETURN	0	ISOLATED	UNKNOWN	digital
gate.hvreturn	zapote/gate-drive/source-build-09/elec/src/gate_drive_unit.ato	supply.p2 ~ hv_minus	zapote/gate-drive/candidate/section.kicad_pcb	J2	2	gate_l_kelvin	FLOATING_HOT	HV_RETURN	RETURN	0	UNKNOWN	UNKNOWN	digital
