unit	status	receipt
power_entry	candidate	zapote/power-entry/passive-reva/protection/interface-integration-38/STATUS.md
auxiliary	candidate	zapote/auxiliary/evidence/rail-readiness-receipt.md
discharge	candidate	zapote/discharge/evidence/qualification-receipt.md
inverter	candidate	zapote/inverter/evidence/measurement-readiness-receipt.md
cooling	candidate	zapote/thermal/cooker-envelope/readiness-receipt.md
programming_ui	missing	-
rtd	digital	zapote/rtd/unit/ACCEPTANCE.md
current	digital	zapote/current-sense/ACCEPTANCE.md
voltage	digital	zapote/voltage-sense/ACCEPTANCE.md
thermal	digital	zapote/thermal-sense/ACCEPTANCE.md
interlock	digital	zapote/interlock/ACCEPTANCE.md
gate_drive	digital	zapote/gate-drive/ACCEPTANCE.md
mcu	unbound	-
buck	unbound	-
