id,bus_v,c_nf,f_khz,f_res_khz,phase_deg,i1_rms_a,i1_sine_peak_a,cap_ac_rms_v,cap_abs_sine_peak_v,ideal_equal_share_a,ocp_45a_overlap,cap_9p5a_proxy_overlap
kit_reference_vessel,390,270,44,39.542,44.461,38.539,54.502,516.303,925.162,12.846,YES,YES
kit_no_vessel,390,270,44,32.838,88.165,16.468,23.290,220.623,507.008,5.489,NO,NO
kit_half_coupling_synthetic,390,270,44,35.727,75.454,24.547,34.714,328.847,660.060,8.182,NO,NO
cross_coil_cast_iron_synthetic,390,270,44,36.353,55.938,23.349,33.020,312.803,637.370,7.783,NO,NO
cross_coil_steel_synthetic,390,270,44,38.079,53.181,31.301,44.266,419.332,788.025,10.434,NO,YES
cross_coil_silargan_synthetic,390,270,44,41.440,34.512,58.301,82.450,781.051,1299.573,19.434,YES,YES
kit_reference_l_minus_10pct,390,270,44,41.681,25.229,48.846,69.079,654.386,1120.442,16.282,YES,YES
kit_reference_l_plus_10pct,390,270,44,37.702,56.160,30.069,42.525,402.836,764.696,10.023,NO,YES
kit_reference_vessel,390,270,47,39.542,57.869,28.719,40.614,360.183,704.375,9.573,NO,YES
kit_no_vessel,390,270,47,32.838,88.513,13.346,18.874,167.383,431.715,4.449,NO,NO
kit_half_coupling_synthetic,390,270,47,35.727,78.909,18.801,26.589,235.797,528.467,6.267,NO,NO
cross_coil_cast_iron_synthetic,390,270,47,36.353,63.434,18.644,26.367,233.830,525.685,6.215,NO,NO
cross_coil_steel_synthetic,390,270,47,38.079,62.886,23.804,33.664,298.545,617.206,7.935,NO,NO
cross_coil_silargan_synthetic,390,270,47,41.440,55.356,40.221,56.881,504.445,908.393,13.407,YES,YES
kit_reference_l_minus_10pct,390,270,47,41.681,46.322,37.290,52.737,467.687,856.409,12.430,YES,YES
kit_reference_l_plus_10pct,390,270,47,37.702,64.925,22.884,32.363,287.009,600.892,7.628,NO,NO
kit_reference_vessel,390,270,50,39.542,65.273,22.586,31.942,266.274,571.569,7.529,NO,NO
kit_no_vessel,390,270,50,32.838,88.742,11.293,15.970,133.134,383.279,3.764,NO,NO
kit_half_coupling_synthetic,390,270,50,35.727,80.969,15.342,21.697,180.869,450.787,5.114,NO,NO
cross_coil_cast_iron_synthetic,390,270,50,36.353,68.170,15.502,21.923,182.758,453.459,5.167,NO,NO
cross_coil_steel_synthetic,390,270,50,38.079,68.508,19.135,27.061,225.591,514.033,6.378,NO,NO
cross_coil_silargan_synthetic,390,270,50,41.440,65.213,29.663,41.950,349.705,689.558,9.888,NO,YES
kit_reference_l_minus_10pct,390,270,50,41.681,57.862,28.725,40.623,338.641,673.911,9.575,NO,YES
kit_reference_l_plus_10pct,390,270,50,37.702,70.025,18.446,26.086,217.460,502.535,6.149,NO,NO
kit_reference_vessel,390,300,44,37.513,54.334,31.483,44.524,379.599,731.834,10.494,NO,YES
kit_no_vessel,390,300,44,31.153,88.370,14.631,20.691,176.403,444.471,4.877,NO,NO
kit_half_coupling_synthetic,390,300,44,33.893,77.734,20.763,29.363,250.340,549.034,6.921,NO,NO
cross_coil_cast_iron_synthetic,390,300,44,34.487,60.908,20.269,28.665,244.391,540.621,6.756,NO,NO
cross_coil_steel_synthetic,390,300,44,36.125,60.033,26.089,36.895,314.557,639.851,8.696,NO,NO
cross_coil_silargan_synthetic,390,300,44,39.314,50.831,44.688,63.198,538.810,956.993,14.896,YES,YES
