id	kind	origin	article	coil	pan	return_net	values	raw_path	raw_sha256	reviewer
coil_no_pan	coil	NONE	UNKNOWN	UNKNOWN	NONE	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
coil_reference_cold	coil	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
coil_reference_hot	coil	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
coil_weak_pan	coil	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
coil_offset	coil	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
coil_lift	coil	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
coil_live_removal	coil	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
bus_startup	bus	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
bus_loaded_ripple	bus	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
bus_surge	bus	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
bus_f2_open	bus	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
gate_permit	stop	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
gate_pwm	stop	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
gate_rail15_loss	stop	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
gate_3v3_loss	stop	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
fault_f2_open	fault	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
fault_direct_bank	fault	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
part_local_cap	part	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
part_switch	part	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
part_tank_cap	part	NONE	UNKNOWN	UNKNOWN	UNKNOWN	HOT0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
