id,status,reason,run_ms,e_start_j,e_source_j,e_end_j,e_coil_j,e_pan_j,e_vd_bleed_j,e_vb_bleed_j,e_residual_j,unallocated_device_cap_switch_loss,vd_end_v,vb_end_v,vb_min_v,vd_max_v,vb_max_v,i_peak_a,vc_peak_v,local_c_start_j,diode_path_ms,gate_off_ms,last_current_above_ms
reference_permit_stop,CONDITIONAL,ideal fixed-topology waveform only,1.000000,172.102290750,0.000000000,171.667378934,0.086854177,0.347416707,0.000303574,0.000337305,-0.000000054,UNMODELED,389.500933,389.500933,389.464431,390.000000,390.000000,67.351578,963.780436,0.035743500,0.241805,0.520000,0.538935
reference_pwm_stop,CONDITIONAL,ideal fixed-topology waveform only,1.000000,172.102290750,0.000000000,171.667378934,0.086854177,0.347416707,0.000303574,0.000337305,-0.000000054,UNMODELED,389.500933,389.500933,389.464431,390.000000,390.000000,67.351578,963.780436,0.035743500,0.241805,0.520000,0.538935
reference_gate_rail_loss,CONDITIONAL,ideal fixed-topology waveform only,1.000000,172.102290750,0.000000000,171.667378934,0.086854177,0.347416707,0.000303574,0.000337305,-0.000000054,UNMODELED,389.500933,389.500933,389.464431,390.000000,390.000000,67.351578,963.780436,0.035743500,0.241805,0.520000,0.538935
reference_command_timeout_proxy,CONDITIONAL,ideal fixed-topology waveform only,1.000000,172.102290750,0.000000000,171.667378934,0.086854177,0.347416707,0.000303574,0.000337305,-0.000000054,UNMODELED,389.500933,389.500933,389.464431,390.000000,390.000000,67.351578,963.780436,0.035743500,0.241805,0.520000,0.538935
reference_aux_loss_proxy,CONDITIONAL,ideal fixed-topology waveform only,1.000000,172.102290750,0.000000000,171.667378934,0.086854177,0.347416707,0.000303574,0.000337305,-0.000000054,UNMODELED,389.500933,389.500933,389.464431,390.000000,390.000000,67.351578,963.780436,0.035743500,0.241805,0.520000,0.538935
reverse_bias_permit_stop,CONDITIONAL,ideal fixed-topology waveform only,1.000000,172.102290750,0.000000000,171.640610680,0.092207849,0.368831396,0.000303525,0.000337250,-0.000000050,UNMODELED,389.470629,389.470629,389.435010,390.000000,390.000000,72.318572,1078.735811,0.035743500,0.245905,0.520000,0.538895
zero_bias_permit_stop,CONDITIONAL,ideal fixed-topology waveform only,1.000000,172.096587000,0.000000000,171.654584605,0.088272299,0.353089197,0.000303551,0.000337279,-0.000000070,UNMODELED,389.486453,389.486453,389.450390,390.000000,390.000000,67.333802,1004.129909,0.035743500,0.243960,0.520000,0.538920
full_bias_permit_stop,CONDITIONAL,ideal fixed-topology waveform only,1.000000,172.119402000,0.000000000,171.684986124,0.086754973,0.347019892,0.000303606,0.000337340,-0.000000064,UNMODELED,389.520899,389.520899,389.483967,390.005166,390.005166,67.336544,1004.789149,0.035743500,0.250008,0.520000,0.538955
no_pan_permit_stop,CONDITIONAL,ideal fixed-topology waveform only,1.000000,172.102290750,0.000000000,172.076287117,0.025361454,0.000000000,0.000304142,0.000337935,-0.000000102,UNMODELED,389.961323,389.961323,389.928402,390.001442,390.001442,37.014516,654.637815,0.035743500,0.273090,0.520000,0.541365
weak_pan_permit_stop,CONDITIONAL,ideal fixed-topology waveform only,1.000000,172.102290750,0.000000000,172.001552883,0.050047974,0.050047974,0.000304032,0.000337813,-0.000000074,UNMODELED,389.878235,389.878235,389.846217,390.000000,390.000000,54.440979,873.450081,0.035743500,0.264380,0.520000,0.540150
f2_open_vd_dead_vb_charged_inhibit_violation,CONDITIONAL,ideal fixed-topology waveform only,1.000000,170.393447250,0.000000000,169.932076922,0.092206606,0.368826426,0.000000000,0.000337243,-0.000000053,UNMODELED,0.000000,389.465672,389.429525,0.000000,390.000000,72.318393,1078.733152,0.035743500,0.245905,0.520000,0.538895
f2_opening_unmodeled,INDETERMINATE,F2 opening current and interconnect/arc/snubber energy unmodeled,0.000000,172.105282750,0.000000000,172.105282750,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,UNMODELED,390.000000,390.000000,390.000000,390.000000,390.000000,10.000000,195.000000,0.035743500,0.000000,0.520000,na
f2_unequal_reclose_unmodeled,REJECTED,unequal-voltage F2 reclose requires interconnect R/L model,na,na,na,na,na,na,na,na,na,UNMODELED,na,na,na,na,na,na,na,na,na,na,na
