id,status,reason,run_ms,e_start_j,e_source_j,e_end_j,e_coil_j,e_pan_j,e_vd_bleed_j,e_vb_bleed_j,e_residual_j,unallocated_device_cap_switch_loss,vd_end_v,vb_end_v,vb_min_v,vd_max_v,vb_max_v,i_peak_a,vc_peak_v,local_c_start_j,diode_path_ms,gate_off_ms,last_current_above_ms
bias_zero,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.096587000,3.600000000,174.152779089,0.308504555,1.234018218,0.000611797,0.000679774,0.000006433,UNMODELED,392.264733,392.264733,389.848392,392.294806,392.294806,67.339840,1004.211499,0.035743500,0.886700,na,na
bias_half,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.102290750,3.600000000,174.165606026,0.307079898,1.228319591,0.000611843,0.000679825,0.000006433,UNMODELED,392.279178,392.279178,389.872768,392.309255,392.309255,67.361651,963.951761,0.035743500,0.884550,na,na
low_l_stiff_proxy,REJECTED,tank capacitor voltage exceeds declared screen ceiling,2.000000,172.103811750,69.332541930,125.466772349,57.984258258,57.984258258,0.000520699,0.000578555,0.000034439,UNMODELED,327.857629,327.857629,327.355298,390.000000,390.000000,590.276950,5433.101887,0.035743500,0.077460,na,na
low_l_limited_proxy,REJECTED,tank capacitor voltage exceeds declared screen ceiling,2.000000,172.103811750,3.508888887,79.364818276,48.123502052,48.123502052,0.000430115,0.000477905,0.000029763,UNMODELED,260.593454,260.593454,260.559595,390.000000,390.000000,566.542440,5214.373000,0.035743500,0.077648,na,na
low_l_source_off,REJECTED,tank capacitor voltage exceeds declared screen ceiling,2.000000,172.103811750,0.000000000,76.925873031,47.588535276,47.588535276,0.000425210,0.000472456,0.000029497,UNMODELED,256.544863,256.544863,256.540056,390.000000,390.000000,565.296127,5203.140168,0.035743500,0.077698,na,na
no_pan_proxy,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.102290750,3.600000000,175.628090625,0.072907083,0.000000000,0.000614573,0.000682859,0.000004390,UNMODELED,393.961463,393.961463,389.984756,393.961463,393.961463,37.017709,654.702315,0.035743500,0.987100,na,na
weak_pan_proxy,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.102290750,3.600000000,175.389582055,0.155708895,0.155708895,0.000614094,0.000682327,0.000005516,UNMODELED,393.675241,393.675241,389.931231,393.682328,393.682328,54.446820,873.535217,0.035743500,0.963850,na,na
pwm_loss,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.102290750,3.600000000,175.265669381,0.087065290,0.348261159,0.000613356,0.000681506,-0.000000059,UNMODELED,393.562083,393.562083,389.872768,393.562083,393.562083,67.361651,963.957499,0.035743500,0.241805,0.520000,0.538940
permit_loss,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.102290750,3.600000000,175.265669381,0.087065290,0.348261159,0.000613356,0.000681506,-0.000000059,UNMODELED,393.562083,393.562083,389.872768,393.562083,393.562083,67.361651,963.957499,0.035743500,0.241805,0.520000,0.538940
gate_rail_loss,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.102290750,3.600000000,175.265669381,0.087065290,0.348261159,0.000613356,0.000681506,-0.000000059,UNMODELED,393.562083,393.562083,389.872768,393.562083,393.562083,67.361651,963.957499,0.035743500,0.241805,0.520000,0.538940
f2_opening_with_source,INDETERMINATE,F2 opening current and interconnect/arc/snubber energy unmodeled,0.000000,172.105282750,0.000000000,172.105282750,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,UNMODELED,390.000000,390.000000,390.000000,390.000000,390.000000,10.000000,195.000000,0.035743500,0.000000,0.520000,na
f2_open_post_state,CONDITIONAL,ideal fixed-topology waveform only,0.200000,172.102290750,0.360000000,172.266889170,0.039053377,0.156213506,0.000067247,0.000067539,0.000000089,UNMODELED,429.111568,389.758652,389.716493,429.111568,390.000000,67.351427,963.772558,0.035743500,0.081600,na,na
source_loss,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.102290750,0.900000000,171.474279409,0.305346715,1.221386861,0.000608272,0.000675858,0.000006365,UNMODELED,389.236489,389.236489,389.233778,390.536267,390.536267,67.361651,963.951761,0.035743500,0.884650,na,na
wrong_midpoint,REJECTED,historical PWR_RTN midpoint is absent; tank return must be HOT0,na,na,na,na,na,na,na,na,na,UNMODELED,na,na,na,na,na,na,na,na,na,na,na
missing_loaded_l,REJECTED,invalid numeric input at column 11,na,na,na,na,na,na,na,na,na,UNMODELED,na,na,na,na,na,na,na,na,na,na,na
over_declared_ceiling,REJECTED,initial bus exceeds declared voltage screen ceiling,na,na,na,na,na,na,na,na,na,UNMODELED,na,na,na,na,na,na,na,na,na,na,na
unequal_f2_reclose,REJECTED,unequal-voltage F2 reclose requires interconnect R/L model,na,na,na,na,na,na,na,na,na,UNMODELED,na,na,na,na,na,na,na,na,na,na,na
