reference,source_instance,quantity,mpn,value,footprint,datasheet,role,status
U1,bridge,1,TEA2209T/1,,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,https://www.nxp.com/docs/en/data-sheet/TEA2209T.pdf,PCB component,candidate; unqualified
U2,holder,1,0031.2510,,Fuse:Fuseholder_Cylinder-5x20mm_Schurter_FUP_0031.2510_Horizontal_Closed,,PCB component,candidate; unqualified
U3,cmc,1,B82726S2163N030,,temper:CMC_B82726S,,PCB component,candidate; unqualified
U4,ntc,1,SL32 10015,,temper:SL32_10015,,PCB component,candidate; unqualified
U5,bypass,1,RT33K012,,temper:Relay_SPST_Schrack-RT33K012,,PCB component,candidate; unqualified
U6,x2,1,B32922C3224M289,0.22uF,Capacitor_THT:C_Rect_L18.0mm_W7.0mm_P15.00mm_FKS3_FKP3,,PCB component,candidate; unqualified
U7,mov,1,V150LA10AP,,Varistor:RV_Disc_D15.5mm_W5.2mm_P7.5mm,,PCB component,candidate; unqualified
U8,l_boost,1,760800301,,Inductor_THT_Wurth:L_Wurth_WE-TORPFC-T75,https://www.we-online.com/components/products/datasheet/760800301.pdf,PCB component,candidate; unqualified
U9,q_boost,1,STW65N65DM2AG,,Package_TO_SOT_THT:TO-247-3_Vertical,,PCB component,candidate; unqualified
U10,d_boost,1,C3D20065D,,Package_TO_SOT_THT:TO-247-3_Vertical,,PCB component,candidate; unqualified
U11,pfc,1,UCC28180D,,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,PCB component,candidate; unqualified
U12,shunt,1,HCSM2818FT10L0,10mohm,temper:HCSM2818FT10L0,,PCB component,candidate; unqualified
U13,r_gate,1,RC1206FR-0710RL,10ohm,Resistor_SMD:R_1206_3216Metric,,PCB component,candidate; unqualified
U14,r_gate_pd,1,RC1206FR-0710KL,10kohm,Resistor_SMD:R_1206_3216Metric,,PCB component,candidate; unqualified
U15,r_relay_gate,1,RC1206FR-071KL,1kohm,Resistor_SMD:R_1206_3216Metric,,PCB component,candidate; unqualified
U16,r_relay_pd,1,RC1206FR-07100KL,100kohm,Resistor_SMD:R_1206_3216Metric,,PCB component,candidate; unqualified
U17,r_relay_drop,1,RC2512FR-0791RL,91ohm,Resistor_SMD:R_2512_6332Metric,,PCB component,candidate; unqualified
U18,r_isense,1,RC1206FR-07220RL,220ohm,Resistor_SMD:R_1206_3216Metric,,PCB component,candidate; unqualified
U19,r_freq,1,RC1206FR-0716K2L,16.2kohm,Resistor_SMD:R_1206_3216Metric,,PCB component,candidate; unqualified
U20,r_vtop,1,CRCW2512200KFKEG,200kohm,Resistor_SMD:R_2512_6332Metric,,PCB component,candidate; unqualified
U21,r_vtop2,1,CRCW2512200KFKEG,200kohm,Resistor_SMD:R_2512_6332Metric,,PCB component,candidate; unqualified
U22,r_vtop3,1,CRCW2512200KFKEG,200kohm,Resistor_SMD:R_2512_6332Metric,,PCB component,candidate; unqualified
U23,r_vtop4,1,CRCW2512200KFKEG,200kohm,Resistor_SMD:R_2512_6332Metric,,PCB component,candidate; unqualified
U24,r_vtop5,1,CRCW2512200KFKEG,200kohm,Resistor_SMD:R_2512_6332Metric,,PCB component,candidate; unqualified
