 time            v(out)          i(Lboost)       v(anode)       
 5.00000000e-11  3.89617856e+02  2.32317770e+01  3.90436887e+02 
 5.00001401e-11  3.89617856e+02  2.32317770e+01  3.90436889e+02 
 5.00004203e-11  3.89617856e+02  2.32317770e+01  3.90436892e+02 
 5.00009808e-11  3.89617856e+02  2.32317770e+01  3.90436898e+02 
 5.00021017e-11  3.89617856e+02  2.32317770e+01  3.90436910e+02 
 5.00043436e-11  3.89617856e+02  2.32317770e+01  3.90436932e+02 
 5.00088272e-11  3.89617857e+02  2.32317770e+01  3.90436969e+02 
 5.00177946e-11  3.89617857e+02  2.32317770e+01  3.90437025e+02 
 5.00259284e-11  3.89617857e+02  2.32317770e+01  3.90437059e+02 
 5.00368891e-11  3.89617858e+02  2.32317770e+01  3.90437088e+02 
 5.00473267e-11  3.89617858e+02  2.32317769e+01  3.90437104e+02 
 5.00609495e-11  3.89617859e+02  2.32317769e+01  3.90437115e+02 
 5.00753705e-11  3.89617860e+02  2.32317769e+01  3.90437121e+02 
 5.00947507e-11  3.89617861e+02  2.32317769e+01  3.90437125e+02 
 5.01176575e-11  3.89617862e+02  2.32317769e+01  3.90437127e+02 
 5.01508005e-11  3.89617864e+02  2.32317768e+01  3.90437128e+02 
 5.01969571e-11  3.89617866e+02  2.32317768e+01  3.90437130e+02 
 5.02802500e-11  3.89617870e+02  2.32317767e+01  3.90437134e+02 
 5.04468360e-11  3.89617878e+02  2.32317765e+01  3.90437143e+02 
 5.07800079e-11  3.89617895e+02  2.32317760e+01  3.90437159e+02 
 5.14108959e-11  3.89617926e+02  2.32317753e+01  3.90437190e+02 
 5.26726718e-11  3.89617988e+02  2.32317737e+01  3.90437253e+02 
 5.51962237e-11  3.89618113e+02  2.32317706e+01  3.90437377e+02 
 6.02433276e-11  3.89618362e+02  2.32317644e+01  3.90437627e+02 
 7.03375353e-11  3.89618861e+02  2.32317521e+01  3.90438126e+02 
 9.05259506e-11  3.89619859e+02  2.32317273e+01  3.90439124e+02 
 1.30902781e-10  3.89621855e+02  2.32316778e+01  3.90441119e+02 
 2.11656443e-10  3.89625847e+02  2.32315788e+01  3.90445111e+02 
 3.73163766e-10  3.89633830e+02  2.32313807e+01  3.90453093e+02 
 6.96178412e-10  3.89649796e+02  2.32309845e+01  3.90469059e+02 
