 time            v(out)          i(Lboost)       v(anode)       
 5.00000000e-11  4.00002128e+02  1.99999405e+01  4.00814024e+02 
 5.00001401e-11  4.00002128e+02  1.99999405e+01  4.00814026e+02 
 5.00004204e-11  4.00002128e+02  1.99999405e+01  4.00814029e+02 
 5.00009809e-11  4.00002128e+02  1.99999405e+01  4.00814035e+02 
 5.00021019e-11  4.00002128e+02  1.99999405e+01  4.00814047e+02 
 5.00043440e-11  4.00002128e+02  1.99999405e+01  4.00814068e+02 
 5.00088281e-11  4.00002128e+02  1.99999405e+01  4.00814106e+02 
 5.00177963e-11  4.00002128e+02  1.99999405e+01  4.00814165e+02 
 5.00270704e-11  4.00002129e+02  1.99999405e+01  4.00814206e+02 
 5.00384254e-11  4.00002129e+02  1.99999405e+01  4.00814239e+02 
 5.00500689e-11  4.00002130e+02  1.99999405e+01  4.00814260e+02 
 5.00640807e-11  4.00002130e+02  1.99999404e+01  4.00814275e+02 
 5.00795573e-11  4.00002131e+02  1.99999404e+01  4.00814283e+02 
 5.00989826e-11  4.00002132e+02  1.99999404e+01  4.00814289e+02 
 5.01223171e-11  4.00002133e+02  1.99999404e+01  4.00814291e+02 
 5.01537562e-11  4.00002134e+02  1.99999403e+01  4.00814293e+02 
 5.01964735e-11  4.00002136e+02  1.99999403e+01  4.00814295e+02 
 5.02642794e-11  4.00002139e+02  1.99999402e+01  4.00814297e+02 
 5.03906011e-11  4.00002144e+02  1.99999401e+01  4.00814303e+02 
 5.06432446e-11  4.00002155e+02  1.99999398e+01  4.00814313e+02 
 5.11317242e-11  4.00002176e+02  1.99999392e+01  4.00814334e+02 
 5.21086835e-11  4.00002217e+02  1.99999380e+01  4.00814376e+02 
 5.40626019e-11  4.00002301e+02  1.99999357e+01  4.00814459e+02 
 5.79704388e-11  4.00002467e+02  1.99999310e+01  4.00814625e+02 
 6.57861125e-11  4.00002799e+02  1.99999217e+01  4.00814958e+02 
 8.14174600e-11  4.00003465e+02  1.99999031e+01  4.00815623e+02 
 1.12680155e-10  4.00004795e+02  1.99998659e+01  4.00816953e+02 
 1.75205545e-10  4.00007456e+02  1.99997916e+01  4.00819613e+02 
 3.00256325e-10  4.00012777e+02  1.99996428e+01  4.00824934e+02 
 5.50357885e-10  4.00023419e+02  1.99993452e+01  4.00835576e+02 
 1.05056100e-09  4.00044703e+02  1.99987501e+01  4.00856859e+02 
 2.05096724e-09  4.00087270e+02  1.99975596e+01  4.00899423e+02 
 4.05177972e-09  4.00172395e+02  1.99951779e+01  4.00984543e+02 
 5.00000000e-09  4.00212734e+02  1.99940488e+01  4.01024879e+02 
 5.40016250e-09  4.00229757e+02  1.99935723e+01  4.01041901e+02 
 6.20048749e-09  4.00263801e+02  1.99926190e+01  4.01075943e+02 
 7.80113747e-09  4.00331886e+02  1.99907122e+01  4.01144023e+02 
 1.10024374e-08  4.00468035e+02  1.99868967e+01  4.01280163e+02 
 1.60024374e-08  4.00680630e+02  1.99809325e+01  4.01492744e+02 
 2.10024374e-08  4.00893161e+02  1.99749624e+01  4.01705262e+02 
 2.60024374e-08  4.01105629e+02  1.99689864e+01  4.01917716e+02 
 3.10024374e-08  4.01318033e+02  1.99630045e+01  4.02130107e+02 
 3.60024374e-08  4.01530373e+02  1.99570168e+01  4.02342433e+02 
 4.10024374e-08  4.01742650e+02  1.99510231e+01  4.02554696e+02 
 4.60024374e-08  4.01954863e+02  1.99450235e+01  4.02766896e+02 
 5.10024374e-08  4.02167012e+02  1.99390180e+01  4.02979031e+02 
 5.60024374e-08  4.02379098e+02  1.99330067e+01  4.03191102e+02 
 6.10024374e-08  4.02591119e+02  1.99269894e+01  4.03403110e+02 
 6.60024374e-08  4.02803076e+02  1.99209663e+01  4.03615053e+02 
 7.10024374e-08  4.03014969e+02  1.99149373e+01  4.03826932e+02 
 7.60024374e-08  4.03226798e+02  1.99089024e+01  4.04038747e+02 
 8.10024374e-08  4.03438563e+02  1.99028616e+01  4.04250498e+02 
 8.60024374e-08  4.03650263e+02  1.98968149e+01  4.04462185e+02 
 9.10024374e-08  4.03861899e+02  1.98907624e+01  4.04673807e+02 
 9.60024374e-08  4.04073471e+02  1.98847039e+01  4.04885364e+02 
 1.01002437e-07  4.04284978e+02  1.98786396e+01  4.05096858e+02 
 1.06002437e-07  4.04496421e+02  1.98725695e+01  4.05308286e+02 
 1.11002437e-07  4.04707799e+02  1.98664934e+01  4.05519650e+02 
 1.16002437e-07  4.04919112e+02  1.98604115e+01  4.05730950e+02 
 1.21002437e-07  4.05130360e+02  1.98543237e+01  4.05942184e+02 
 1.26002437e-07  4.05341544e+02  1.98482300e+01  4.06153354e+02 
 1.31002437e-07  4.05552663e+02  1.98421305e+01  4.06364459e+02 
 1.36002437e-07  4.05763717e+02  1.98360251e+01  4.06575499e+02 
 1.41002437e-07  4.05974706e+02  1.98299139e+01  4.06786474e+02 
 1.46002437e-07  4.06185630e+02  1.98237968e+01  4.06997383e+02 
 1.51002437e-07  4.06396489e+02  1.98176738e+01  4.07208228e+02 
 1.56002437e-07  4.06607283e+02  1.98115450e+01  4.07419008e+02 
 1.61002437e-07  4.06818011e+02  1.98054103e+01  4.07629722e+02 
 1.66002437e-07  4.07028674e+02  1.97992698e+01  4.07840371e+02 
 1.71002437e-07  4.07239272e+02  1.97931234e+01  4.08050955e+02 
 1.76002437e-07  4.07449805e+02  1.97869712e+01  4.08261473e+02 
 1.81002437e-07  4.07660271e+02  1.97808132e+01  4.08471926e+02 
 1.86002437e-07  4.07870673e+02  1.97746492e+01  4.08682313e+02 
 1.91002437e-07  4.08081009e+02  1.97684795e+01  4.08892634e+02 
 1.96002437e-07  4.08291279e+02  1.97623039e+01  4.09102890e+02 
 2.01002437e-07  4.08501483e+02  1.97561224e+01  4.09313080e+02 
 2.06002437e-07  4.08711622e+02  1.97499352e+01  4.09523205e+02 
 2.11002437e-07  4.08921694e+02  1.97437421e+01  4.09733263e+02 
 2.16002437e-07  4.09131701e+02  1.97375431e+01  4.09943256e+02 
 2.21002437e-07  4.09341642e+02  1.97313383e+01  4.10153182e+02 
 2.26002437e-07  4.09551517e+02  1.97251277e+01  4.10363043e+02 
 2.31002437e-07  4.09761326e+02  1.97189113e+01  4.10572837e+02 
 2.36002437e-07  4.09971068e+02  1.97126890e+01  4.10782565e+02 
 2.41002437e-07  4.10180744e+02  1.97064609e+01  4.10992227e+02 
 2.46002437e-07  4.10390354e+02  1.97002270e+01  4.11201823e+02 
 2.51002437e-07  4.10599898e+02  1.96939873e+01  4.11411352e+02 
 2.56002437e-07  4.10809375e+02  1.96877417e+01  4.11620815e+02 
 2.61002437e-07  4.11018786e+02  1.96814904e+01  4.11830211e+02 
 2.66002437e-07  4.11228130e+02  1.96752332e+01  4.12039541e+02 
 2.71002437e-07  4.11437408e+02  1.96689702e+01  4.12248804e+02 
 2.76002437e-07  4.11646619e+02  1.96627014e+01  4.12458000e+02 
 2.81002437e-07  4.11855763e+02  1.96564268e+01  4.12667130e+02 
 2.86002437e-07  4.12064841e+02  1.96501463e+01  4.12876193e+02 
 2.91002437e-07  4.12273852e+02  1.96438601e+01  4.13085189e+02 
 2.96002437e-07  4.12482795e+02  1.96375680e+01  4.13294118e+02 
 3.01002437e-07  4.12691672e+02  1.96312702e+01  4.13502981e+02 
 3.06002437e-07  4.12900482e+02  1.96249666e+01  4.13711776e+02 
 3.11002437e-07  4.13109225e+02  1.96186571e+01  4.13920504e+02 
 3.16002437e-07  4.13317900e+02  1.96123419e+01  4.14129165e+02 
 3.21002437e-07  4.13526508e+02  1.96060208e+01  4.14337758e+02 
 3.26002437e-07  4.13735049e+02  1.95996940e+01  4.14546285e+02 
 3.31002437e-07  4.13943523e+02  1.95933614e+01  4.14754744e+02 
 3.36002437e-07  4.14151929e+02  1.95870230e+01  4.14963135e+02 
 3.41002437e-07  4.14360268e+02  1.95806788e+01  4.15171459e+02 
