 time            v(out)          i(Lboost)       v(anode)       
 2.00000000e-10  4.25008510e+02  1.99997154e+01  4.25820600e+02 
 2.00000560e-10  4.25008510e+02  1.99997154e+01  4.25820601e+02 
 2.00001681e-10  4.25008510e+02  1.99997154e+01  4.25820605e+02 
 2.00003921e-10  4.25008511e+02  1.99997154e+01  4.25820610e+02 
 2.00008403e-10  4.25008511e+02  1.99997154e+01  4.25820621e+02 
 2.00017365e-10  4.25008511e+02  1.99997154e+01  4.25820636e+02 
 2.00032806e-10  4.25008512e+02  1.99997154e+01  4.25820654e+02 
 2.00049424e-10  4.25008512e+02  1.99997154e+01  4.25820664e+02 
 2.00070658e-10  4.25008513e+02  1.99997153e+01  4.25820670e+02 
 2.00094475e-10  4.25008514e+02  1.99997153e+01  4.25820672e+02 
 2.00126562e-10  4.25008516e+02  1.99997152e+01  4.25820674e+02 
 2.00168533e-10  4.25008518e+02  1.99997152e+01  4.25820676e+02 
 2.00236245e-10  4.25008520e+02  1.99997151e+01  4.25820678e+02 
 2.00361378e-10  4.25008526e+02  1.99997149e+01  4.25820683e+02 
 2.00611645e-10  4.25008536e+02  1.99997146e+01  4.25820694e+02 
 2.01071976e-10  4.25008556e+02  1.99997139e+01  4.25820714e+02 
 2.01992639e-10  4.25008595e+02  1.99997126e+01  4.25820753e+02 
 2.03833966e-10  4.25008673e+02  1.99997100e+01  4.25820831e+02 
 2.07516619e-10  4.25008830e+02  1.99997047e+01  4.25820988e+02 
 2.14881924e-10  4.25009144e+02  1.99996943e+01  4.25821301e+02 
 2.29612536e-10  4.25009770e+02  1.99996733e+01  4.25821928e+02 
 2.59073759e-10  4.25011024e+02  1.99996314e+01  4.25823182e+02 
 3.17996204e-10  4.25013531e+02  1.99995475e+01  4.25825689e+02 
 4.35841096e-10  4.25018546e+02  1.99993799e+01  4.25830703e+02 
 6.71530878e-10  4.25028574e+02  1.99990445e+01  4.25840731e+02 
 1.14291044e-09  4.25048631e+02  1.99983737e+01  4.25860786e+02 
 2.08566957e-09  4.25088743e+02  1.99970320e+01  4.25900895e+02 
 3.97118784e-09  4.25168959e+02  1.99943479e+01  4.25981105e+02 
 7.74222436e-09  4.25329359e+02  1.99889772e+01  4.26141492e+02 
 1.27422244e-08  4.25541965e+02  1.99818510e+01  4.26354082e+02 
 1.77422244e-08  4.25754495e+02  1.99747189e+01  4.26566596e+02 
 2.00000000e-08  4.25850440e+02  1.99714965e+01  4.26662533e+02 
 2.05000000e-08  4.25871685e+02  1.99707826e+01  4.26683776e+02 
 2.15000000e-08  4.25914173e+02  1.99693548e+01  4.26726261e+02 
 2.35000000e-08  4.25999141e+02  1.99664986e+01  4.26811223e+02 
 2.75000000e-08  4.26169041e+02  1.99607832e+01  4.26981109e+02 
 3.25000000e-08  4.26381347e+02  1.99536337e+01  4.27193399e+02 
 3.75000000e-08  4.26593577e+02  1.99464783e+01  4.27405612e+02 
 4.25000000e-08  4.26805731e+02  1.99393170e+01  4.27617750e+02 
 4.75000000e-08  4.27017809e+02  1.99321499e+01  4.27829811e+02 
 5.25000000e-08  4.27229810e+02  1.99249768e+01  4.28041796e+02 
 5.75000000e-08  4.27441735e+02  1.99177979e+01  4.28253705e+02 
 6.25000000e-08  4.27653584e+02  1.99106130e+01  4.28465537e+02 
 6.75000000e-08  4.27865356e+02  1.99034223e+01  4.28677293e+02 
 7.25000000e-08  4.28077052e+02  1.98962257e+01  4.28888972e+02 
 7.75000000e-08  4.28288671e+02  1.98890232e+01  4.29100575e+02 
 8.25000000e-08  4.28500214e+02  1.98818149e+01  4.29312101e+02 
 8.75000000e-08  4.28711679e+02  1.98746007e+01  4.29523550e+02 
 9.25000000e-08  4.28923068e+02  1.98673806e+01  4.29734922e+02 
 9.75000000e-08  4.29134381e+02  1.98601546e+01  4.29946218e+02 
 1.02500000e-07  4.29345616e+02  1.98529227e+01  4.30157436e+02 
 1.07500000e-07  4.29556774e+02  1.98456850e+01  4.30368578e+02 
 1.12500000e-07  4.29767855e+02  1.98384415e+01  4.30579642e+02 
 1.17500000e-07  4.29978859e+02  1.98311920e+01  4.30790630e+02 
 1.22500000e-07  4.30189786e+02  1.98239368e+01  4.31001540e+02 
 1.27500000e-07  4.30400636e+02  1.98166756e+01  4.31212373e+02 
 1.32500000e-07  4.30611409e+02  1.98094086e+01  4.31423129e+02 
 1.37500000e-07  4.30822104e+02  1.98021357e+01  4.31633807e+02 
 1.42500000e-07  4.31032722e+02  1.97948570e+01  4.31844408e+02 
 1.47500000e-07  4.31243262e+02  1.97875725e+01  4.32054932e+02 
 1.52500000e-07  4.31453725e+02  1.97802821e+01  4.32265378e+02 
 1.57500000e-07  4.31664110e+02  1.97729858e+01  4.32475746e+02 
 1.62500000e-07  4.31874417e+02  1.97656837e+01  4.32686037e+02 
 1.67500000e-07  4.32084647e+02  1.97583758e+01  4.32896250e+02 
 1.72500000e-07  4.32294799e+02  1.97510620e+01  4.33106385e+02 
 1.77500000e-07  4.32504873e+02  1.97437424e+01  4.33316442e+02 
 1.82500000e-07  4.32714870e+02  1.97364170e+01  4.33526421e+02 
 1.87500000e-07  4.32924788e+02  1.97290857e+01  4.33736323e+02 
 1.92500000e-07  4.33134628e+02  1.97217486e+01  4.33946146e+02 
 1.97500000e-07  4.33344391e+02  1.97144057e+01  4.34155891e+02 
 2.02500000e-07  4.33554075e+02  1.97070570e+01  4.34365559e+02 
 2.07500000e-07  4.33763681e+02  1.96997024e+01  4.34575147e+02 
 2.12500000e-07  4.33973208e+02  1.96923420e+01  4.34784658e+02 
 2.17500000e-07  4.34182657e+02  1.96849758e+01  4.34994090e+02 
 2.22500000e-07  4.34392028e+02  1.96776037e+01  4.35203444e+02 
 2.27500000e-07  4.34601321e+02  1.96702259e+01  4.35412719e+02 
 2.32500000e-07  4.34810534e+02  1.96628422e+01  4.35621916e+02 
 2.37500000e-07  4.35019670e+02  1.96554528e+01  4.35831034e+02 
 2.42500000e-07  4.35228726e+02  1.96480575e+01  4.36040074e+02 
 2.47500000e-07  4.35437704e+02  1.96406564e+01  4.36249034e+02 
 2.52500000e-07  4.35646603e+02  1.96332495e+01  4.36457916e+02 
 2.57500000e-07  4.35855424e+02  1.96258368e+01  4.36666720e+02 
 2.62500000e-07  4.36064165e+02  1.96184184e+01  4.36875444e+02 
 2.67500000e-07  4.36272828e+02  1.96109941e+01  4.37084089e+02 
 2.72500000e-07  4.36481411e+02  1.96035640e+01  4.37292655e+02 
 2.77500000e-07  4.36689916e+02  1.95961281e+01  4.37501143e+02 
 2.82500000e-07  4.36898341e+02  1.95886865e+01  4.37709551e+02 
 2.87500000e-07  4.37106687e+02  1.95812390e+01  4.37917879e+02 
 2.92500000e-07  4.37314954e+02  1.95737858e+01  4.38126129e+02 
 2.97500000e-07  4.37523141e+02  1.95663268e+01  4.38334299e+02 
 3.02500000e-07  4.37731249e+02  1.95588620e+01  4.38542390e+02 
 3.07500000e-07  4.37939278e+02  1.95513914e+01  4.38750401e+02 
 3.12500000e-07  4.38147227e+02  1.95439151e+01  4.38958333e+02 
 3.17500000e-07  4.38355097e+02  1.95364329e+01  4.39166185e+02 
 3.22500000e-07  4.38562887e+02  1.95289450e+01  4.39373958e+02 
 3.27500000e-07  4.38770597e+02  1.95214514e+01  4.39581650e+02 
 3.32500000e-07  4.38978227e+02  1.95139519e+01  4.39789263e+02 
 3.37500000e-07  4.39185778e+02  1.95064467e+01  4.39996797e+02 
 3.42500000e-07  4.39393249e+02  1.94989357e+01  4.40204250e+02 
 3.47500000e-07  4.39600640e+02  1.94914190e+01  4.40411623e+02 
 3.52500000e-07  4.39807951e+02  1.94838965e+01  4.40618917e+02 
 3.57500000e-07  4.40015181e+02  1.94763683e+01  4.40826130e+02 
 3.62500000e-07  4.40222332e+02  1.94688343e+01  4.41033263e+02 
 3.67500000e-07  4.40429403e+02  1.94612945e+01  4.41240316e+02 
 3.72500000e-07  4.40636393e+02  1.94537490e+01  4.41447289e+02 
 3.77500000e-07  4.40843303e+02  1.94461978e+01  4.41654181e+02 
 3.82500000e-07  4.41050132e+02  1.94386408e+01  4.41860993e+02 
 3.87500000e-07  4.41256882e+02  1.94310780e+01  4.42067725e+02 
 3.92500000e-07  4.41463550e+02  1.94235095e+01  4.42274376e+02 
 3.97500000e-07  4.41670138e+02  1.94159353e+01  4.42480946e+02 
 4.02500000e-07  4.41876646e+02  1.94083554e+01  4.42687436e+02 
 4.07500000e-07  4.42083073e+02  1.94007697e+01  4.42893845e+02 
 4.12500000e-07  4.42289419e+02  1.93931782e+01  4.43100174e+02 
 4.17500000e-07  4.42495684e+02  1.93855811e+01  4.43306421e+02 
 4.22500000e-07  4.42701869e+02  1.93779782e+01  4.43512588e+02 
 4.27500000e-07  4.42907972e+02  1.93703696e+01  4.43718674e+02 
 4.32500000e-07  4.43113995e+02  1.93627552e+01  4.43924679e+02 
 4.37500000e-07  4.43319937e+02  1.93551352e+01  4.44130602e+02 
 4.42500000e-07  4.43525797e+02  1.93475094e+01  4.44336445e+02 
 4.47500000e-07  4.43731576e+02  1.93398779e+01  4.44542207e+02 
 4.52500000e-07  4.43937274e+02  1.93322407e+01  4.44747887e+02 
 4.57500000e-07  4.44142891e+02  1.93245978e+01  4.44953486e+02 
 4.62500000e-07  4.44348427e+02  1.93169492e+01  4.45159003e+02 
 4.67500000e-07  4.44553881e+02  1.93092948e+01  4.45364439e+02 
 4.72500000e-07  4.44759253e+02  1.93016348e+01  4.45569794e+02 
 4.77500000e-07  4.44964544e+02  1.92939691e+01  4.45775067e+02 
