 time            v(out)          i(Lboost)       v(anode)       
 2.00000000e-10  3.89614586e+02  2.32320269e+01  2.51083558e-02 
 2.00000560e-10  3.89614586e+02  2.32320269e+01  2.44399285e-02 
 2.00001680e-10  3.89614586e+02  2.32320269e+01  2.36365560e-02 
 2.00003920e-10  3.89614586e+02  2.32320269e+01  2.31297259e-02 
 2.00007777e-10  3.89614586e+02  2.32320269e+01  2.30999347e-02 
 2.00012229e-10  3.89614586e+02  2.32320269e+01  2.31947403e-02 
 2.00021132e-10  3.89614586e+02  2.32320269e+01  2.32381681e-02 
 2.00038938e-10  3.89614586e+02  2.32320269e+01  2.32355644e-02 
 2.00074550e-10  3.89614586e+02  2.32320269e+01  2.32320927e-02 
 2.00145773e-10  3.89614586e+02  2.32320270e+01  2.32319643e-02 
 2.00288220e-10  3.89614586e+02  2.32320271e+01  2.32320252e-02 
 2.00573115e-10  3.89614586e+02  2.32320274e+01  2.32320277e-02 
 2.01142904e-10  3.89614586e+02  2.32320279e+01  2.32320279e-02 
 2.02282482e-10  3.89614586e+02  2.32320290e+01  2.32320290e-02 
 2.04561637e-10  3.89614586e+02  2.32320312e+01  2.32320312e-02 
 2.09119949e-10  3.89614586e+02  2.32320355e+01  2.32320354e-02 
 2.18236572e-10  3.89614586e+02  2.32320440e+01  2.32320440e-02 
 2.36469818e-10  3.89614586e+02  2.32320612e+01  2.32320612e-02 
 2.72936310e-10  3.89614586e+02  2.32320956e+01  2.32320956e-02 
 3.45869293e-10  3.89614586e+02  2.32321644e+01  2.32321644e-02 
 4.91735260e-10  3.89614586e+02  2.32323019e+01  2.32323019e-02 
 7.83467195e-10  3.89614586e+02  2.32325769e+01  2.32325769e-02 
 1.36693106e-09  3.89614585e+02  2.32331269e+01  2.32331269e-02 
 2.53385880e-09  3.89614584e+02  2.32342269e+01  2.32342269e-02 
 4.86771427e-09  3.89614582e+02  2.32364270e+01  2.32364270e-02 
 9.53542522e-09  3.89614578e+02  2.32408272e+01  2.32408272e-02 
 1.88708471e-08  3.89614571e+02  2.32496275e+01  2.32496275e-02 
 2.00000000e-08  3.89614570e+02  2.32506919e+01  2.32506919e-02 
 2.10000000e-08  3.89614569e+02  2.32516346e+01  2.32516346e-02 
 2.30000000e-08  3.89614567e+02  2.32535200e+01  2.32535200e-02 
 2.70000000e-08  3.89614564e+02  2.32572907e+01  2.32572907e-02 
 3.50000000e-08  3.89614558e+02  2.32648321e+01  2.32648321e-02 
 4.50000000e-08  3.89614549e+02  2.32742589e+01  2.32742589e-02 
 5.50000000e-08  3.89614541e+02  2.32836857e+01  2.32836857e-02 
 6.50000000e-08  3.89614533e+02  2.32931125e+01  2.32931125e-02 
 7.50000000e-08  3.89614525e+02  2.33025393e+01  2.33025393e-02 
 8.50000000e-08  3.89614517e+02  2.33119661e+01  2.33119661e-02 
 9.50000000e-08  3.89614508e+02  2.33213929e+01  2.33213929e-02 
 1.05000000e-07  3.89614500e+02  2.33308197e+01  2.33308197e-02 
 1.15000000e-07  3.89614492e+02  2.33402465e+01  2.33402465e-02 
 1.25000000e-07  3.89614484e+02  2.33496733e+01  2.33496733e-02 
 1.35000000e-07  3.89614476e+02  2.33591001e+01  2.33591001e-02 
 1.45000000e-07  3.89614468e+02  2.33685269e+01  2.33685269e-02 
 1.55000000e-07  3.89614459e+02  2.33779537e+01  2.33779536e-02 
 1.65000000e-07  3.89614451e+02  2.33873804e+01  2.33873804e-02 
 1.75000000e-07  3.89614443e+02  2.33968072e+01  2.33968072e-02 
 1.85000000e-07  3.89614435e+02  2.34062340e+01  2.34062340e-02 
 1.95000000e-07  3.89614427e+02  2.34156608e+01  2.34156608e-02 
 2.05000000e-07  3.89614418e+02  2.34250876e+01  2.34250876e-02 
 2.15000000e-07  3.89614410e+02  2.34345144e+01  2.34345144e-02 
 2.25000000e-07  3.89614402e+02  2.34439412e+01  2.34439412e-02 
 2.35000000e-07  3.89614394e+02  2.34533680e+01  2.34533680e-02 
 2.45000000e-07  3.89614386e+02  2.34627948e+01  2.34627948e-02 
 2.55000000e-07  3.89614377e+02  2.34722215e+01  2.34722215e-02 
 2.65000000e-07  3.89614369e+02  2.34816483e+01  2.34816483e-02 
 2.75000000e-07  3.89614361e+02  2.34910751e+01  2.34910751e-02 
 2.85000000e-07  3.89614353e+02  2.35005019e+01  2.35005019e-02 
 2.95000000e-07  3.89614345e+02  2.35099287e+01  2.35099287e-02 
 3.05000000e-07  3.89614337e+02  2.35193555e+01  2.35193555e-02 
 3.15000000e-07  3.89614328e+02  2.35287822e+01  2.35287822e-02 
 3.25000000e-07  3.89614320e+02  2.35382090e+01  2.35382090e-02 
 3.35000000e-07  3.89614312e+02  2.35476358e+01  2.35476358e-02 
 3.45000000e-07  3.89614304e+02  2.35570626e+01  2.35570626e-02 
 3.55000000e-07  3.89614296e+02  2.35664894e+01  2.35664894e-02 
 3.65000000e-07  3.89614287e+02  2.35759162e+01  2.35759162e-02 
 3.75000000e-07  3.89614279e+02  2.35853429e+01  2.35853429e-02 
 3.85000000e-07  3.89614271e+02  2.35947697e+01  2.35947697e-02 
 3.95000000e-07  3.89614263e+02  2.36041965e+01  2.36041965e-02 
 4.05000000e-07  3.89614255e+02  2.36136233e+01  2.36136233e-02 
 4.15000000e-07  3.89614247e+02  2.36230501e+01  2.36230501e-02 
 4.25000000e-07  3.89614238e+02  2.36324768e+01  2.36324768e-02 
 4.35000000e-07  3.89614230e+02  2.36419036e+01  2.36419036e-02 
 4.45000000e-07  3.89614222e+02  2.36513304e+01  2.36513304e-02 
 4.55000000e-07  3.89614214e+02  2.36607572e+01  2.36607572e-02 
 4.65000000e-07  3.89614206e+02  2.36701839e+01  2.36701839e-02 
 4.75000000e-07  3.89614197e+02  2.36796107e+01  2.36796107e-02 
 4.85000000e-07  3.89614189e+02  2.36890375e+01  2.36890375e-02 
 4.95000000e-07  3.89614181e+02  2.36984643e+01  2.36984643e-02 
 5.05000000e-07  3.89614173e+02  2.37078910e+01  2.37078910e-02 
 5.15000000e-07  3.89614165e+02  2.37173178e+01  2.37173178e-02 
 5.25000000e-07  3.89614157e+02  2.37267446e+01  2.37267446e-02 
 5.35000000e-07  3.89614148e+02  2.37361714e+01  2.37361714e-02 
 5.45000000e-07  3.89614140e+02  2.37455981e+01  2.37455981e-02 
 5.55000000e-07  3.89614132e+02  2.37550249e+01  2.37550249e-02 
 5.65000000e-07  3.89614124e+02  2.37644517e+01  2.37644517e-02 
 5.75000000e-07  3.89614116e+02  2.37738784e+01  2.37738784e-02 
 5.85000000e-07  3.89614107e+02  2.37833052e+01  2.37833052e-02 
 5.95000000e-07  3.89614099e+02  2.37927320e+01  2.37927320e-02 
 6.05000000e-07  3.89614091e+02  2.38021587e+01  2.38021587e-02 
 6.15000000e-07  3.89614083e+02  2.38115855e+01  2.38115855e-02 
 6.25000000e-07  3.89614075e+02  2.38210123e+01  2.38210123e-02 
 6.35000000e-07  3.89614067e+02  2.38304390e+01  2.38304390e-02 
 6.45000000e-07  3.89614058e+02  2.38398658e+01  2.38398658e-02 
 6.55000000e-07  3.89614050e+02  2.38492926e+01  2.38492926e-02 
 6.65000000e-07  3.89614042e+02  2.38587193e+01  2.38587193e-02 
 6.75000000e-07  3.89614034e+02  2.38681461e+01  2.38681461e-02 
 6.85000000e-07  3.89614026e+02  2.38775729e+01  2.38775729e-02 
 6.95000000e-07  3.89614017e+02  2.38869996e+01  2.38869996e-02 
 7.05000000e-07  3.89614009e+02  2.38964264e+01  2.38964264e-02 
 7.15000000e-07  3.89614001e+02  2.39058532e+01  2.39058532e-02 
 7.25000000e-07  3.89613993e+02  2.39152799e+01  2.39152799e-02 
 7.35000000e-07  3.89613985e+02  2.39247067e+01  2.39247067e-02 
 7.45000000e-07  3.89613977e+02  2.39341334e+01  2.39341334e-02 
 7.55000000e-07  3.89613968e+02  2.39435602e+01  2.39435602e-02 
 7.65000000e-07  3.89613960e+02  2.39529870e+01  2.39529870e-02 
 7.75000000e-07  3.89613952e+02  2.39624137e+01  2.39624137e-02 
 7.85000000e-07  3.89613944e+02  2.39718405e+01  2.39718405e-02 
 7.95000000e-07  3.89613936e+02  2.39812672e+01  2.39812672e-02 
 8.05000000e-07  3.89613927e+02  2.39906940e+01  2.39906940e-02 
 8.15000000e-07  3.89613919e+02  2.40001208e+01  2.40001208e-02 
 8.25000000e-07  3.89613911e+02  2.40095475e+01  2.40095475e-02 
 8.35000000e-07  3.89613903e+02  2.40189743e+01  2.40189743e-02 
 8.45000000e-07  3.89613895e+02  2.40284010e+01  2.40284010e-02 
