case,phase_deg,i0_a,l_uH,c_nF,vth_v,t_resp_us,ipcl_a,vpeak_v,t_peak_us,t_trip_us,ecap_mJ,elrel_mJ,wsrc_mJ,ediv_mJ,resid_uJ,aborted
crest_nom_ovptyp_r0,90.0,23.2318,180.000,470.000,424.68,0.00,40.00,751.40,15.502,7.968,97.0073,48.5746,48.4377,0.005056,0.001,0
crest_nom_ovptyp_r2,90.0,23.2318,180.000,470.000,424.68,2.00,40.00,778.90,17.884,7.968,106.8978,48.5746,58.3292,0.006074,0.000,0
crest_nom_ovptyp_r5,90.0,23.2318,180.000,470.000,424.68,5.00,40.00,821.86,21.396,7.968,123.0583,48.5746,74.4913,0.007631,0.002,0
crest_nom_ovptyp_r10,90.0,23.2318,180.000,470.000,424.68,10.00,40.00,854.08,24.592,7.968,135.7490,48.5746,87.1838,0.009375,0.002,0
crest_nom_ovptyp_r20,90.0,23.2318,180.000,470.000,424.68,20.00,40.00,947.15,34.124,7.968,175.1444,48.5746,126.5852,0.015452,0.002,0
crest_1uF,90,23.2318,180.000,1000.000,424.68,5.00,40.00,645.85,24.768,10.742,132.6600,48.5746,84.0919,0.006501,0.000,0
crest_1p5uF,90,23.2318,180.000,1500.000,424.68,5.00,40.00,598.02,30.518,13.866,154.3752,48.5746,105.8079,0.007302,0.001,0
crest_470nF_L216,90,23.2318,216.000,470.000,424.68,5.00,40.00,852.19,22.600,8.000,134.9888,58.2896,76.7078,0.008541,0.000,0
crest_470nF_C90,90,23.2318,180.000,423.000,424.68,5.00,40.00,849.40,20.712,7.758,120.4881,48.5746,71.9212,0.007746,0.000,0
crest_470nF_C110,90,23.2318,180.000,517.000,424.68,5.00,40.00,797.39,21.962,8.182,125.1209,48.5746,76.5537,0.007508,0.002,0
phase45,45,17.0310,180.000,470.000,424.68,5.00,40.00,659.55,21.310,10.584,66.5548,26.1050,40.4552,0.005369,0.001,0
phase30,30,12.6464,180.000,470.000,424.68,5.00,40.00,576.04,26.202,15.470,42.3055,14.3937,27.9173,0.005542,0.001,0
crest_ovp_latest,90,23.2318,180.000,470.000,454.33,5.00,40.00,824.85,21.632,10.008,124.2149,48.5746,75.6480,0.007738,0.002,0
crest_ovp_early,90,23.2318,180.000,470.000,403.02,5.00,40.00,800.57,19.684,6.498,114.9405,48.5746,66.3727,0.006863,0.001,0
crest_det_latest,90,23.2318,180.000,470.000,509.97,5.00,40.00,877.07,26.778,14.822,145.1019,48.5746,96.5378,0.010612,0.002,0
crest_i0_p10,90,25.5550,180.000,470.000,424.68,5.00,40.00,862.99,21.366,7.794,139.3433,58.7753,80.5761,0.008198,0.002,0
crest_pcl_min,90,23.2318,180.000,470.000,424.68,5.00,34.16,821.86,21.396,7.968,123.0583,48.5746,74.4913,0.007631,0.002,0
crest_1p5uF_r0,90,23.2318,180.000,1500.000,424.68,0.00,40.00,576.20,26.074,13.866,135.1559,48.5746,86.5872,0.005981,0.001,0
crest_1p5uF_r20,90,23.2318,180.000,1500.000,424.68,20.00,40.00,657.56,43.388,13.866,210.4370,48.5746,161.8741,0.011727,0.001,0
crest_1p5uF_detlate_r10,90,23.2318,180.000,1500.000,509.97,10.00,40.00,677.46,47.968,29.700,230.3611,48.5746,181.7999,0.013517,0.001,0
crest_470nF_detlate_r0,90,23.2318,180.000,470.000,509.97,0.00,40.00,824.85,21.632,14.822,124.2149,48.5746,75.6480,0.007738,0.002,0
crest_470nF_detlate_r2,90,23.2318,180.000,470.000,509.97,2.00,40.00,840.31,23.224,14.822,130.2651,48.5746,81.6991,0.008612,0.000,0
crest_vpk_p10,90,23.2318,180.000,470.000,424.68,5.00,40.00,835.20,20.998,7.612,128.2548,48.5746,79.6879,0.007829,0.000,0
c15_L216_r5,90,23.2318,216.000,1500.000,424.68,5.00,40.00,612.60,32.460,13.954,167.6113,58.2896,109.3298,0.008038,0.001,0
c15_C90_r5,90,23.2318,180.000,1350.000,424.68,5.00,40.00,609.99,29.072,13.112,148.6923,48.5746,100.1248,0.007132,0.001,0
c15_i0p10_r5,90,25.5550,180.000,1500.000,424.68,5.00,40.00,616.83,30.188,13.246,171.5133,58.7753,112.7455,0.007527,0.001,0
c15_vpkp10_r5,90,23.2318,180.000,1500.000,424.68,5.00,40.00,604.01,29.582,12.996,159.7742,48.5746,111.2068,0.007258,0.001,0
c15_ovplate_r5,90,23.2318,180.000,1500.000,454.33,5.00,40.00,613.92,33.696,18.966,168.8225,48.5746,120.2561,0.008301,0.001,0
c15_r10,90,23.2318,180.000,1500.000,424.68,10.00,40.00,613.34,33.564,13.866,168.2928,48.5746,119.7264,0.008257,0.001,0
c15_phase45_r5,45,17.0310,180.000,1500.000,424.68,5.00,40.00,520.62,32.512,19.390,89.4377,26.1050,63.3391,0.006412,0.000,0
