t_ms,i_leg_a_ma,i_total_ma,v_cap_v
0.000,71.1722,146.3445,0.000000
0.500,69.7674,143.5348,0.293615
1.000,68.3903,140.7805,0.581433
1.500,67.0403,138.0807,0.863571
2.000,65.7170,135.4341,1.140140
2.500,64.4199,132.8397,1.411249
3.000,63.1483,130.2966,1.677008
3.500,61.9018,127.8036,1.937520
4.000,60.6800,125.3599,2.192890
4.500,59.4822,122.9644,2.443220
5.000,58.3081,120.6162,2.688608
5.500,57.1572,118.3143,2.929153
6.000,56.0290,116.0579,3.164949
6.500,54.9230,113.8460,3.396092
7.000,53.8389,111.6778,3.622671
7.500,52.7762,109.5524,3.844779
8.000,51.7344,107.4689,4.062502
8.500,50.7133,105.4265,4.275928
9.000,49.7122,103.4245,4.485141
9.500,48.7310,101.4620,4.690224
10.000,47.7691,99.5382,4.891259
10.500,46.8262,97.6524,5.088326
11.000,45.9019,95.8038,5.281503
11.500,44.9959,93.9917,5.470867
12.000,44.1077,92.2154,5.656493
12.500,43.2371,90.4741,5.838456
13.000,42.3836,88.7672,6.016826
13.500,41.5470,87.0940,6.191676
14.000,40.7269,85.4538,6.363074
14.500,39.9230,83.8460,6.531089
15.000,39.1350,82.2700,6.695788
15.500,38.3625,80.7250,6.857236
16.000,37.6053,79.2106,7.015497
16.500,36.8630,77.7260,7.170634
17.000,36.1354,76.2707,7.322709
17.500,35.4221,74.8442,7.471782
18.000,34.7229,73.4458,7.617912
18.500,34.0375,72.0750,7.761158
19.000,33.3657,70.7313,7.901577
19.500,32.7071,69.4141,8.039224
20.000,32.0615,68.1229,8.174154
20.500,31.4286,66.8572,8.306421
21.000,30.8082,65.6165,8.436076
21.500,30.2001,64.4003,8.563173
22.000,29.6040,63.2080,8.687761
22.500,29.0197,62.0393,8.809889
23.000,28.4469,60.8937,8.929607
23.500,27.8853,59.7707,9.046962
24.000,27.3349,58.6698,9.162001
24.500,26.7954,57.5907,9.274768
25.000,26.2665,56.5329,9.385310
25.500,25.7480,55.4960,9.493670
26.000,25.2398,54.4795,9.599891
26.500,24.7416,53.4831,9.704015
27.000,24.2532,52.5064,9.806084
27.500,23.7745,51.5489,9.906139
28.000,23.3052,50.6104,10.004218
28.500,22.8452,49.6903,10.100361
