t_ms,i_leg_a_ma,i_total_ma,v_cap_v
0.000,71.1722,146.3445,0.002798
0.500,69.8465,143.6930,0.279821
1.000,68.5470,141.0939,0.551376
1.500,67.2730,138.5461,0.817570
2.000,66.0243,136.0486,1.078509
2.500,64.8002,133.6003,1.334296
3.000,63.6002,131.2005,1.585035
3.500,62.4240,128.8479,1.830823
4.000,61.2709,126.5419,2.071760
4.500,60.1407,124.2813,2.307940
5.000,59.0327,122.0654,2.539458
5.500,57.9466,119.8932,2.766406
6.000,56.8820,117.7639,2.988873
6.500,55.8383,115.6767,3.206949
7.000,54.8153,113.6306,3.420720
7.500,53.8125,111.6249,3.630271
8.000,52.8294,109.6588,3.835685
8.500,51.8658,107.7316,4.037044
9.000,50.9212,105.8424,4.234428
9.500,49.9952,103.9904,4.427916
10.000,49.0875,102.1751,4.617584
10.500,48.1978,100.3955,4.803508
11.000,47.3256,98.6511,4.985761
11.500,46.4706,96.9412,5.164417
12.000,45.6325,95.2650,5.339546
12.500,44.8109,93.6218,5.511218
13.000,44.0056,92.0112,5.679500
13.500,43.2161,90.4323,5.844461
14.000,42.4423,88.8846,6.006166
14.500,41.6837,87.3674,6.164678
15.000,40.9401,85.8802,6.320061
15.500,40.2112,84.4223,6.472377
16.000,39.4966,82.9932,6.621685
16.500,38.7962,81.5924,6.768047
17.000,38.1096,80.2192,6.911519
17.500,37.4365,78.8731,7.052159
18.000,36.7768,77.5535,7.190022
18.500,36.1300,76.2600,7.325164
19.000,35.4960,74.9921,7.457639
19.500,34.8746,73.7492,7.587498
20.000,34.2654,72.5308,7.714793
20.500,33.6682,71.3365,7.839576
21.000,33.0829,70.1657,7.961895
21.500,32.5090,69.0181,8.081800
22.000,31.9465,67.8931,8.199337
22.500,31.3951,66.7903,8.314555
23.000,30.8546,65.7093,8.427498
23.500,30.3248,64.6496,8.538211
24.000,29.8054,63.6109,8.646739
24.500,29.2963,62.5926,8.753124
25.000,28.7972,61.5945,8.857409
25.500,28.3080,60.6160,8.959636
26.000,27.8285,59.6569,9.059844
26.500,27.3584,58.7167,9.158075
27.000,26.8975,57.7951,9.254366
27.500,26.4458,56.8917,9.348756
28.000,26.0030,56.0061,9.441283
28.500,25.5690,55.1379,9.531984
29.000,25.1435,54.2870,9.620894
29.500,24.7264,53.4528,9.708048
30.000,24.3175,52.6351,9.793483
30.500,23.9167,51.8335,9.877231
31.000,23.5239,51.0477,9.959325
31.500,23.1387,50.2775,10.039799
32.000,22.7612,49.5225,10.118684
32.500,22.3912,48.7823,10.196012
33.000,22.0284,48.0568,10.271814
33.500,21.6728,47.3456,10.346119
34.000,21.3242,46.6485,10.418957
34.500,20.9825,45.9651,10.490358
35.000,20.6476,45.2952,10.560349
35.500,20.3192,44.6385,10.628958
36.000,19.9974,43.9948,10.696213
36.500,19.6819,43.3638,10.762140
37.000,19.3726,42.7452,10.826766
37.500,19.0694,42.1389,10.890116
38.000,18.7722,41.5445,10.952215
38.500,18.4809,40.9619,11.013089
39.000,18.1954,40.3907,11.072761
39.500,17.9154,39.8309,11.131254
40.000,17.6410,39.2820,11.188594
40.500,17.3720,38.7441,11.244801
41.000,17.1084,38.2167,11.299899
41.500,16.8499,37.6998,11.353909
42.000,16.5965,37.1930,11.406852
42.500,16.3481,36.6963,11.458751
43.000,16.1047,36.2094,11.509625
43.500,15.8660,35.7320,11.559495
44.000,15.6321,35.2642,11.608380
44.500,15.4027,34.8055,11.656301
45.000,15.1779,34.3559,11.703275
45.500,14.9576,33.9152,11.749322
46.000,14.7416,33.4831,11.794460
46.500,14.5298,33.0596,11.838707
47.000,14.3222,32.6445,11.882081
47.500,14.1188,32.2375,11.924598
48.000,13.9193,31.8386,11.966276
48.500,13.7238,31.4476,12.007131
49.000,13.5321,31.0643,12.047180
49.500,13.3443,30.6885,12.086438
50.000,13.1601,30.3202,12.124921
50.500,12.9796,29.9591,12.162645
51.000,12.8026,29.6052,12.199623
51.500,12.6291,29.2582,12.235872
52.000,12.4591,28.9181,12.271405
52.500,12.2924,28.5848,12.306237
53.000,12.1290,28.2580,12.340381
53.500,11.9688,27.9376,12.373851
54.000,11.8118,27.6236,12.406661
54.500,11.6579,27.3158,12.438822
55.000,11.5070,27.0140,12.470349
55.500,11.3591,26.7182,12.501254
56.000,11.2141,26.4282,12.531548
56.500,11.0720,26.1440,12.561244
57.000,10.9327,25.8654,12.590354
57.500,10.7961,25.5923,12.618890
58.000,10.6623,25.3245,12.646862
58.500,10.5311,25.0621,12.674282
59.000,10.4024,24.8048,12.701161
59.500,10.2763,24.5527,12.727509
60.000,10.1527,24.3054,12.753337
60.500,10.0316,24.0631,12.778655
61.000,9.9128,23.8256,12.803473
61.500,9.7964,23.5927,12.827801
62.000,9.6822,23.3645,12.851649
62.500,9.5704,23.1407,12.875027
63.000,9.4607,22.9214,12.897942
63.500,9.3532,22.7064,12.920406
64.000,9.2478,22.4956,12.942426
64.500,9.1445,22.2890,12.964011
65.000,9.0432,22.0865,12.985170
65.500,8.9440,21.8880,13.005912
66.000,8.8467,21.6934,13.026244
66.500,8.7513,21.5026,13.046175
67.000,8.6578,21.3156,13.065712
67.500,8.5662,21.1323,13.084863
68.000,8.4763,20.9526,13.103637
68.500,8.3882,20.7765,13.122040
69.000,8.3019,20.6038,13.140079
69.500,8.2173,20.4346,13.157763
70.000,8.1343,20.2687,13.175097
70.500,8.0530,20.1060,13.192089
71.000,7.9733,19.9466,13.208746
71.500,7.8952,19.7903,13.225074
72.000,7.8186,19.6371,13.241080
72.500,7.7435,19.4869,13.256769
73.000,7.6699,19.3397,13.272149
73.500,7.5977,19.1954,13.287225
74.000,7.5270,19.0540,13.302004
74.500,7.4577,18.9153,13.316491
75.000,7.3897,18.7794,13.330692
75.500,7.3231,18.6462,13.344613
76.000,7.2578,18.5156,13.358259
76.500,7.1938,18.3875,13.371635
77.000,7.1310,18.2620,13.384747
77.500,7.0695,18.1390,13.397601
78.000,7.0092,18.0184,13.410201
78.500,6.9501,17.9002,13.422552
79.000,6.8922,17.7843,13.434659
79.500,6.8354,17.6707,13.446527
80.000,6.7797,17.5594,13.458161
80.500,6.7251,17.4502,13.469566
81.000,6.6716,17.3432,13.480745
81.500,6.6192,17.2383,13.491703
82.000,6.5678,17.1355,13.502445
82.500,6.5174,17.0347,13.512976
83.000,6.4680,16.9359,13.523298
83.500,6.4195,16.8391,13.533416
84.000,6.3721,16.7441,13.543335
84.500,6.3255,16.6511,13.553058
85.000,6.2799,16.5599,13.562589
85.500,6.2352,16.4704,13.571932
86.000,6.1914,16.3828,13.581090
86.500,6.1484,16.2969,13.590068
87.000,6.1063,16.2126,13.598868
87.500,6.0650,16.1301,13.607495
88.000,6.0246,16.0491,13.615951
88.500,5.9849,15.9698,13.624240
89.000,5.9460,15.8920,13.632366
89.500,5.9079,15.8158,13.640332
90.000,5.8705,15.7410,13.648140
90.500,5.8339,15.6678,13.655794
91.000,5.7980,15.5960,13.663297
91.500,5.7628,15.5256,13.670651
92.000,5.7283,15.4566,13.677861
92.500,5.6945,15.3889,13.684928
93.000,5.6613,15.3226,13.691856
93.500,5.6288,15.2576,13.698647
94.000,5.5969,15.1939,13.705304
