corner,vaux_v,vf_v,r_ohm,c_uf,i_hold_ma,t_hold_ms,t_rech_ms,v_start_closed,v_hold_end_closed,v_hold_end_stepped,closure_err_mv,margin_rise89_v,margin_fall84_v,margin_floor92_v,recharge_start_ma,time_to_floor_ms,note
nominal-60Hz,15.0000,0.85,220.000,100.0,2.4050,8.3333,8.3333,13.180486,12.977669,12.977677,0.008270,4.077669,4.577669,3.777669,0.002924,0.000000,"typ screening; Vf mid assumed"
worst-hold-60Hz,14.4250,1.10,231.000,80.0,4.0150,8.3333,8.3333,11.652991,11.228762,11.228779,0.017388,2.328762,2.828762,2.028762,0.005060,0.000000,"min rail+ripple trough, max Vf/R, min C, max hold, Qg x2"
worst-hold-50Hz,14.4250,1.10,231.000,80.0,4.0150,10.0000,10.0000,11.690128,11.182253,11.182278,0.024783,2.282253,2.782253,1.982253,0.005261,0.000000,"as worst-hold-60Hz at 50 Hz line"
hot-min-line-60Hz,14.4250,1.10,237.006,80.0,4.0150,8.3333,8.3333,11.604817,11.180588,11.180605,0.017364,2.280588,2.780588,1.980588,0.005033,0.000000,"R at +155C via retained +/-200ppm MAX TCR; C bound unchanged (electrolytic rises with temp)"
asym-60Hz-worse-leg,14.4250,1.10,231.000,80.0,4.0150,10.0000,6.6670,11.228478,10.720603,10.720640,0.037679,1.820603,2.320603,1.520603,0.007259,0.000000,"assumed mains-asymmetry sensitivity: 10 ms hold / 6.67 ms recharge; waveform record NULL"
brownout-13V-50Hz,13.0000,1.10,231.000,80.0,4.0150,10.0000,10.0000,10.265128,9.757253,9.757278,0.024783,0.857253,1.357253,0.557253,0.005261,0.000000,"parametric AUX sag; IRM sub-85Vac behavior NULL"
brownout-12V-50Hz,12.0000,1.10,231.000,80.0,4.0150,10.0000,10.0000,9.265128,8.757253,8.757278,0.024783,-0.142747,0.357253,-0.442747,0.005261,8.372433,"parametric AUX sag"
brownout-11V-50Hz,11.0000,1.10,231.000,80.0,4.0150,10.0000,10.0000,8.265128,7.757253,7.757278,0.024783,-1.142747,-0.642747,-1.442747,0.005261,-1.000000,"parametric AUX sag"
brownout-10V5-50Hz,10.5000,1.10,231.000,80.0,4.0150,10.0000,10.0000,7.765128,7.257253,7.257278,0.024783,-1.642747,-1.142747,-1.942747,0.005261,-1.000000,"parametric AUX sag near dropout"
old-design-ref-60Hz,14.4250,1.10,47.000,800.0,4.1775,8.3333,8.3333,12.953270,12.909754,12.909756,0.001794,4.009754,4.509754,3.709754,0.004658,0.000000,"prior 1000uF+47ohm screen restated for delta; old leakage 0.25mA"
