# ref,mpn,pin,net
U_LDO,TPS7A4701RGWR,1,aux15
U_LDO,TPS7A4701RGWR,2,NC
U_LDO,TPS7A4701RGWR,3,aux15
U_LDO,TPS7A4701RGWR,4,gnd
U_LDO,TPS7A4701RGWR,5,gnd
U_LDO,TPS7A4701RGWR,6,NC
U_LDO,TPS7A4701RGWR,7,gnd
U_LDO,TPS7A4701RGWR,8,NC
U_LDO,TPS7A4701RGWR,9,gnd
U_LDO,TPS7A4701RGWR,10,NC
U_LDO,TPS7A4701RGWR,11,NC
U_LDO,TPS7A4701RGWR,12,NC
U_LDO,TPS7A4701RGWR,13,aux_raw
U_LDO,TPS7A4701RGWR,14,ldo_nr
U_LDO,TPS7A4701RGWR,15,aux_raw
U_LDO,TPS7A4701RGWR,16,aux_raw
U_LDO,TPS7A4701RGWR,17,NC
U_LDO,TPS7A4701RGWR,18,NC
U_LDO,TPS7A4701RGWR,19,NC
U_LDO,TPS7A4701RGWR,20,aux15
U_LDO,TPS7A4701RGWR,21,gnd
U_BUCK,TPS54202DDCR,1,gnd
U_BUCK,TPS54202DDCR,2,buck_sw
U_BUCK,TPS54202DDCR,3,aux15
U_BUCK,TPS54202DDCR,4,buck_fb
U_BUCK,TPS54202DDCR,5,buck_en
U_BUCK,TPS54202DDCR,6,buck_boot
