case,open_us,threshold_us,fault_us,q_clear_us,cessation_us,threshold_to_cessation_us,open_to_cessation_us,iL_at_open_A,iL_at_threshold_A,gate_at_q_clear_V,switch_at_q_clear_A,peak_vd_V,late_rearm_current_A,screen,note
absolute_vb_ov,119.999504,0.001230,5.001000,null,null,null,null,-0.048050,39.998360,null,null,430.542698,0.000000,INDETERMINATE,no post-threshold sustained switch-current cessation; startup voltage mismatch equalizes through closed F2; no valid running-fault latency claim
absolute_vd_ov,119.999504,0.001230,null,null,null,null,null,-0.033281,39.998326,null,null,429.999704,0.000000,INDETERMINATE,filtered fault did not assert; no post-threshold sustained switch-current cessation; startup voltage mismatch equalizes through closed F2; no valid running-fault latency claim
doubled_gate_charge,119.999504,130.523674,131.159206,131.224520,131.483240,0.959566,11.483736,56.903481,56.763822,8.343232,56.226690,490.760455,0.000000,PASS,criteria met
f2_open_40_adverse,119.999504,131.561623,132.201632,132.266946,132.295593,0.733970,12.296089,48.561654,45.285392,0.000000,0.000000,446.233016,0.000000,PASS,criteria met
f2_open_45_adverse,119.999503,131.327622,131.961631,132.026945,132.055592,0.727970,12.056089,49.680946,48.159008,0.000000,0.000000,466.093324,0.000000,PASS,criteria met
f2_open_50_adverse,119.999504,130.846636,131.478645,131.543959,131.572606,0.725970,11.573102,53.827085,53.074681,0.000000,0.000000,482.827036,0.000000,PASS,criteria met
f2_open_50_refined,119.999504,130.856842,131.487377,131.552331,131.579843,0.723001,11.580339,53.825878,53.060459,0.000000,0.000000,482.798535,0.000000,PASS,criteria met
f2_phase_1u,119.999504,130.670604,131.361502,131.426816,131.632448,0.961844,11.632944,53.736073,53.169265,14.349023,53.061271,483.969078,0.000000,PASS,criteria met
f2_phase_1u_refined,119.999504,130.679847,131.385214,131.450169,131.655961,0.976114,11.656457,53.737742,53.161122,14.451814,53.083714,483.965316,0.000000,PASS,criteria met
f2_phase_2u,119.999504,130.754000,131.390008,131.455322,131.483969,0.729969,11.484465,53.803896,53.148774,0.000000,0.000000,482.993562,0.000000,PASS,criteria met
f2_phase_4u,119.999504,131.046280,131.660289,131.725603,131.754249,0.707969,11.754745,53.842278,52.875236,0.000001,0.000000,482.423203,0.000000,PASS,criteria met
f2_phase_5u,119.999504,132.050412,132.664421,132.729735,132.758382,0.707970,12.758878,52.493236,51.832424,0.000001,0.000000,480.412174,0.000000,PASS,criteria met
fault_clear_held_arm,119.999504,132.003954,132.639963,132.705277,132.733924,0.729970,12.734420,44.774757,42.384196,0.000000,0.000000,457.361805,0.000000,PASS,dedicated retained-state assertion=true; current spikes are surrogate artifacts not stress bounds
fresh_rearm,119.999504,132.003954,132.639963,132.705277,null,null,null,44.774757,42.384196,0.000000,0.000000,457.361805,11448.758600,PASS,no post-threshold sustained switch-current cessation; dedicated retained-state assertion=true; current spikes are surrogate artifacts not stress bounds
normal_arm,null,null,null,null,null,null,null,null,null,null,null,412.524728,11511.058000,PASS,healthy run assertion; no F2 opening in observation window
permit_loss_return,null,null,null,80.042991,80.071638,null,null,null,null,0.000156,0.000000,411.260828,0.000000,PASS,proved pre-event switching; input low81..99us; input recovered and Q/EN/current off101..219us; fixed analog supplies
rails_invalid_return,null,null,null,80.042991,80.071638,null,null,null,null,0.000156,0.000000,411.260828,0.000000,PASS,proved pre-event switching; input low81..99us; input recovered and Q/EN/current off101..219us; fixed analog supplies
reverse_mismatch,119.999504,0.001230,120.402228,120.467542,null,null,null,40.535853,39.998462,0.000006,0.000000,455.555538,11889.916500,INDETERMINATE,no post-threshold sustained switch-current cessation; switch current returned after first low sample; startup voltage mismatch equalizes through closed F2; no valid running-fault latency claim
slowed_gate_negative,119.999506,131.404195,132.036204,132.101518,136.293233,4.889038,16.293727,52.857867,52.210202,0.017170,0.000000,477.607834,0.000000,FAIL,provisional 2 us threshold-to-cessation target exceeded
