case,open_us,threshold_us,fault_us,q_clear_us,cessation_us,threshold_to_cessation_us,terminal_settled_us,open_to_cessation_us,iL_at_open_A,iL_at_threshold_A,gate_at_q_clear_V,switch_at_q_clear_A,peak_vd_V,late_rearm_current_A,reverse_terminal_peak_A,line_plus_gate_work_J,diode_absorbed_J,switch_diss_J,resistor_diss_J,delta_stored_J,energy_residual_J,fault_energy_residual_J,fault_initial_inductor_J,fault_cap_headroom_J,fault_residual_over_inductor,fault_residual_over_cap_headroom,screen,note
doubled_gate_charge,219.999504,230.917442,231.323465,231.373031,231.787803,0.870361,null,11.788299,48.406944,47.004992,9.0428,48.936,471.897660000,0.000000000,0.339332904,2.456543957,0.012671561,0.109407295,0.000664908,2.329289685,0.004510508,0.000000791,0.253069076,0.783704787,0.000003127,0.000001009880030989255,PASS,criteria met
f2_open_40_adverse,219.999504,232.548339,232.955050,233.003727,233.053000,0.504661,null,13.053496,41.658003,35.200318,0.0023,0.0000,439.108019000,0.000000000,0.404721720,1.923441247,0.009603723,0.053668752,0.000493870,1.856261045,0.003413857,-0.000000151,0.086769461,0.787921932,0.000001737,0.0000001912428644821314,PASS,criteria met
f2_open_45_adverse,219.999504,231.518738,231.924931,231.973871,232.024294,0.505556,null,12.024790,46.228062,43.932868,0.0029,0.0000,460.428471000,0.000000000,0.319147621,2.183346605,0.010988950,0.064434518,0.000550626,2.103652457,0.003720053,-0.000000146,0.192333030,0.786119557,0.000000759,0.00000018574738439699475,PASS,criteria met
f2_open_50_active,219.999504,233.959839,234.363121,234.411889,234.460408,0.500569,null,14.460904,48.745203,49.364351,0.0034,0.0000,476.369907000,0.000000000,0.306171826,2.424232565,0.012580008,0.075455221,0.000600623,2.331273866,0.004322846,-0.000000354,0.256618237,0.789980896,0.000001379,0.000000447925879218821,PASS,criteria met
f2_open_50_adverse,219.999504,230.782916,231.188824,231.237964,231.287751,0.504835,null,11.288247,51.095469,49.945030,0.0033,0.0000,477.446732000,0.000000000,0.307306256,2.456837839,0.012789384,0.075106206,0.000613069,2.363874437,0.004454743,-0.000000111,0.281960674,0.783621229,0.000000393,0.00000014131067026916866,PASS,criteria met
f2_open_50_refined,219.999504,230.782855,231.188565,231.237660,231.287554,0.504699,null,11.288050,51.097217,49.946924,0.0033,0.0000,477.450475000,0.000000000,0.307310674,2.456883051,0.012789927,0.075104974,0.000613083,2.363919822,0.004455245,0.000000790,0.281979963,0.783620926,0.000002803,0.0000010085036401400334,PASS,criteria met
f2_phase_1u,219.999504,230.612500,231.017821,231.066136,231.247933,0.635433,null,11.248429,50.673613,49.699734,2.5004,0.0000,476.961508000,0.000000000,0.306794656,2.523073728,0.013154249,0.079120580,0.000635211,2.425480673,0.004683015,0.000000792,0.277324024,0.782998267,0.000002857,0.0000010119908099608312,PASS,criteria met
f2_phase_1u_refined,219.999504,230.612341,231.017974,231.066723,231.249542,0.637201,null,11.250038,50.674636,49.701016,2.5387,0.0000,476.961855000,0.000000000,0.306795869,2.523071057,0.013154453,0.079135880,0.000635218,2.425463460,0.004682047,-0.000000140,0.277335219,0.782998333,0.000000504,0.00000017840997685738738,PASS,criteria met
f2_phase_2u,219.999502,230.688247,231.092540,231.142173,231.191970,0.503723,null,11.192468,50.959870,49.907787,0.0033,0.0000,477.380838000,0.000000000,0.307236721,2.493632855,0.012989651,0.077119700,0.000624865,2.398322712,0.004575927,-0.000000344,0.280466106,0.783241885,0.000001228,0.0000004397402831492525,PASS,criteria met
f2_phase_4u,219.999504,230.994921,231.398203,231.446971,231.495489,0.500568,null,11.495985,51.232874,49.859465,0.0034,0.0000,477.288161000,0.000000000,0.307139319,2.420311066,0.012593260,0.073116826,0.000601440,2.329655873,0.004343667,0.000000679,0.283479195,0.786397074,0.000002396,0.0000008636874397644373,PASS,criteria met
f2_phase_5u,219.999504,232.017745,232.421027,232.469795,232.518314,0.500569,null,12.518810,50.072204,48.916350,0.0033,0.0000,475.546467000,0.000000000,0.305304243,2.385367055,0.012414520,0.071130444,0.000589510,2.296970023,0.004262557,-0.000000354,0.270780372,0.790215883,0.000001309,0.00000044854671504306133,PASS,criteria met
normal_arm,null,null,null,null,null,null,null,null,null,null,null,null,411.113126000,19.995287100,1.589631400,0.685343215,0.002739158,0.015852354,0.000238503,0.665987585,0.000525614,0.000525614,0.144000095,0.810822071,0.003650098,0.0006482487796184475,PASS,healthy run; no F2 opening in observation window
slowed_gate_negative,219.999524,254.835000,255.345536,255.394675,259.909000,5.074000,null,39.909476,32.195481,28.025727,7.7748,27.673,438.525428000,0.000000000,0.331179101,1.692456140,0.005979781,0.676186559,0.000441287,1.008021022,0.001827490,-0.000000412,0.093289407,0.799660995,0.000004418,0.0000005154187044939809,FAIL,provisional2us timing target failed
