"Reference","Value","MPN","Manufacturer","LCSC","Footprint","Datasheet"
"C1","100nF / 50V","","","","Capacitor_SMD:C_1206_3216Metric",""
"C2","100nF / 100V C0G 5%","C3216C0G2A104JT000E","TDK","C338111","Capacitor_SMD:C_1206_3216Metric","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c3216c0g2a104j160ac.pdf"
"C3","1.5uF / 160V PP 5%","R75GN415050H0J","KEMET","","Capacitor_THT:C_Rect_L26.5mm_W10.5mm_P22.50mm_MKS4","https://content.kemet.com/datasheets/KEM_F3121_R75H.pdf"
"C4","330uF / 63V 20%","63ZLJ330M10X20","Rubycon","C437643","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/ZLJ.pdf"
"D1","1N4148W","","","","Diode_SMD:D_SOD-123",""
"Q1","FDB33N25","","","","Package_TO_SOT_SMD:TO-263-2",""
"R1","0.22R / 1% total","","","","Resistor_SMD:R_0805_2012Metric",""
"R2","59.0kR / 0.1% total","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","4.99kR / 0.1% total","","","","Resistor_SMD:R_0805_2012Metric",""
"R4","91.0kR / 1% total","","","","Resistor_SMD:R_0805_2012Metric",""
"R5","10.0kR / 1% total","","","","Resistor_SMD:R_0805_2012Metric",""
"R6","10R","","","","Resistor_SMD:R_0805_2012Metric",""
"R7","100R","","","","Resistor_SMD:R_0805_2012Metric",""
"U1","LT4363HMS-1#PBF","","","","Package_SO:MSOP-12_3x4.039mm_P0.65mm",""
