 time            v(drv)          v(qol)          v(qoh)          v(qrl)          v(qrh)          v(col)          v(coh)         
 0.00000000e+00  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 5.00000000e-09  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 1.00000000e-08  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 2.00000000e-08  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 4.00000000e-08  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 8.00000000e-08  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 1.60000000e-07  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 3.20000000e-07  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 6.40000000e-07  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 1.14000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 1.64000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 2.14000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 2.64000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 3.14000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 3.64000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 4.14000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 4.64000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 5.14000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 5.64000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 6.14000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 6.64000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 7.14000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 7.64000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 8.14000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 8.64000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 9.14000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 9.64000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 1.00000000e-05  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 1.00010000e-05  2.25000000e+01  2.27272711e+01  2.27272715e+01  2.25000000e+01  2.25000000e+01  2.49999825e+01  2.49999866e+01 
 1.00030000e-05  1.75000000e+01  1.81818102e+01  1.81818121e+01  1.75000000e+01  1.75000000e+01  2.49999126e+01  2.49999332e+01 
 1.00070000e-05  7.50000000e+00  9.09086936e+00  9.09087871e+00  7.50000000e+00  7.50000000e+00  2.49995629e+01  2.49996658e+01 
 1.00100000e-05  0.00000000e+00  2.27264701e+00  2.27266590e+00  0.00000000e+00  0.00000000e+00  2.49991172e+01  2.49993249e+01 
 1.00108000e-05  0.00000000e+00  2.27263430e+00  2.27265618e+00  0.00000000e+00  0.00000000e+00  2.49989773e+01  2.49992179e+01 
 1.00124000e-05  0.00000000e+00  2.27260887e+00  2.27263673e+00  0.00000000e+00  0.00000000e+00  2.49986976e+01  2.49990040e+01 
 1.00156000e-05  0.00000000e+00  2.27255802e+00  2.27259784e+00  0.00000000e+00  0.00000000e+00  2.49981382e+01  2.49985762e+01 
 1.00220000e-05  0.00000000e+00  2.27245631e+00  2.27252006e+00  0.00000000e+00  0.00000000e+00  2.49970194e+01  2.49977207e+01 
 1.00348000e-05  0.00000000e+00  2.27225291e+00  2.27236452e+00  0.00000000e+00  0.00000000e+00  2.49947820e+01  2.49960097e+01 
 1.00604000e-05  0.00000000e+00  2.27184617e+00  2.27205345e+00  0.00000000e+00  0.00000000e+00  2.49903078e+01  2.49925880e+01 
 1.01116000e-05  0.00000000e+00  2.27103290e+00  2.27143146e+00  0.00000000e+00  0.00000000e+00  2.49813619e+01  2.49857460e+01 
 1.02140000e-05  0.00000000e+00  2.26940723e+00  2.27018798e+00  0.00000000e+00  0.00000000e+00  2.49634795e+01  2.49720678e+01 
 1.04188000e-05  0.00000000e+00  2.26615938e+00  2.26770306e+00  0.00000000e+00  0.00000000e+00  2.49277532e+01  2.49447336e+01 
 1.08284000e-05  0.00000000e+00  2.25967762e+00  2.26274137e+00  0.00000000e+00  0.00000000e+00  2.48564539e+01  2.48901551e+01 
 1.13284000e-05  0.00000000e+00  2.25179044e+00  2.25669934e+00  0.00000000e+00  0.00000000e+00  2.47696949e+01  2.48236927e+01 
 1.18284000e-05  0.00000000e+00  2.24393079e+00  2.25067344e+00  0.00000000e+00  0.00000000e+00  2.46832387e+01  2.47574079e+01 
 1.23284000e-05  0.00000000e+00  2.23609857e+00  2.24466363e+00  0.00000000e+00  0.00000000e+00  2.45970843e+01  2.46913000e+01 
 1.28284000e-05  0.00000000e+00  2.22829369e+00  2.23866987e+00  0.00000000e+00  0.00000000e+00  2.45112306e+01  2.46253686e+01 
 1.33284000e-05  0.00000000e+00  2.22051605e+00  2.23269211e+00  0.00000000e+00  0.00000000e+00  2.44256765e+01  2.45596133e+01 
 1.38284000e-05  0.00000000e+00  2.21276556e+00  2.22673032e+00  0.00000000e+00  0.00000000e+00  2.43404211e+01  2.44940335e+01 
 1.43284000e-05  0.00000000e+00  2.20504212e+00  2.22078444e+00  0.00000000e+00  0.00000000e+00  2.42554633e+01  2.44286289e+01 
 1.48284000e-05  0.00000000e+00  2.19734563e+00  2.21485445e+00  0.00000000e+00  0.00000000e+00  2.41708020e+01  2.43633989e+01 
 1.53284000e-05  0.00000000e+00  2.18967602e+00  2.20894028e+00  0.00000000e+00  0.00000000e+00  2.40864362e+01  2.42983431e+01 
 1.58284000e-05  0.00000000e+00  2.18203317e+00  2.20304191e+00  0.00000000e+00  0.00000000e+00  2.40023648e+01  2.42334610e+01 
 1.63284000e-05  0.00000000e+00  2.17441700e+00  2.19715929e+00  0.00000000e+00  0.00000000e+00  2.39185870e+01  2.41687522e+01 
 1.68284000e-05  0.00000000e+00  2.16682741e+00  2.19129237e+00  0.00000000e+00  0.00000000e+00  2.38351015e+01  2.41042161e+01 
 1.73284000e-05  0.00000000e+00  2.15926431e+00  2.18544113e+00  0.00000000e+00  0.00000000e+00  2.37519074e+01  2.40398524e+01 
 1.78284000e-05  0.00000000e+00  2.15172761e+00  2.17960550e+00  0.00000000e+00  0.00000000e+00  2.36690037e+01  2.39756605e+01 
 1.83284000e-05  0.00000000e+00  2.14421722e+00  2.17378546e+00  0.00000000e+00  0.00000000e+00  2.35863894e+01  2.39116401e+01 
 1.88284000e-05  0.00000000e+00  2.13673304e+00  2.16798096e+00  0.00000000e+00  0.00000000e+00  2.35040634e+01  2.38477906e+01 
 1.93284000e-05  0.00000000e+00  2.12927498e+00  2.16219196e+00  0.00000000e+00  0.00000000e+00  2.34220248e+01  2.37841115e+01 
 1.98284000e-05  0.00000000e+00  2.12184296e+00  2.15641842e+00  0.00000000e+00  0.00000000e+00  2.33402726e+01  2.37206026e+01 
 2.03284000e-05  0.00000000e+00  2.11443688e+00  2.15066029e+00  0.00000000e+00  0.00000000e+00  2.32588056e+01  2.36572632e+01 
 2.08284000e-05  0.00000000e+00  2.10705664e+00  2.14491754e+00  0.00000000e+00  0.00000000e+00  2.31776231e+01  2.35940929e+01 
 2.13284000e-05  0.00000000e+00  2.09970217e+00  2.13919012e+00  0.00000000e+00  0.00000000e+00  2.30967239e+01  2.35310913e+01 
 2.18284000e-05  0.00000000e+00  2.09237337e+00  2.13347800e+00  0.00000000e+00  0.00000000e+00  2.30161070e+01  2.34682580e+01 
 2.23284000e-05  0.00000000e+00  2.08507014e+00  2.12778113e+00  0.00000000e+00  0.00000000e+00  2.29357716e+01  2.34055924e+01 
 2.28284000e-05  0.00000000e+00  2.07779241e+00  2.12209947e+00  0.00000000e+00  0.00000000e+00  2.28557165e+01  2.33430942e+01 
 2.33284000e-05  0.00000000e+00  2.07054008e+00  2.11643298e+00  0.00000000e+00  0.00000000e+00  2.27759409e+01  2.32807628e+01 
 2.38284000e-05  0.00000000e+00  2.06331307e+00  2.11078163e+00  0.00000000e+00  0.00000000e+00  2.26964437e+01  2.32185979e+01 
 2.43284000e-05  0.00000000e+00  2.05611127e+00  2.10514536e+00  0.00000000e+00  0.00000000e+00  2.26172240e+01  2.31565989e+01 
 2.48284000e-05  0.00000000e+00  2.04893462e+00  2.09952414e+00  0.00000000e+00  0.00000000e+00  2.25382808e+01  2.30947656e+01 
 2.53284000e-05  0.00000000e+00  2.04178302e+00  2.09391794e+00  0.00000000e+00  0.00000000e+00  2.24596132e+01  2.30330973e+01 
 2.58284000e-05  0.00000000e+00  2.03465637e+00  2.08832670e+00  0.00000000e+00  0.00000000e+00  2.23812201e+01  2.29715937e+01 
 2.63284000e-05  0.00000000e+00  2.02755461e+00  2.08275039e+00  0.00000000e+00  0.00000000e+00  2.23031007e+01  2.29102543e+01 
 2.68284000e-05  0.00000000e+00  2.02047763e+00  2.07718898e+00  0.00000000e+00  0.00000000e+00  2.22252539e+01  2.28490788e+01 
 2.73284000e-05  0.00000000e+00  2.01342535e+00  2.07164241e+00  0.00000000e+00  0.00000000e+00  2.21476788e+01  2.27880665e+01 
 2.78284000e-05  0.00000000e+00  2.00639769e+00  2.06611066e+00  0.00000000e+00  0.00000000e+00  2.20703746e+01  2.27272172e+01 
 2.83284000e-05  0.00000000e+00  1.99939455e+00  2.06059367e+00  0.00000000e+00  0.00000000e+00  2.19933401e+01  2.26665304e+01 
 2.88284000e-05  0.00000000e+00  1.99241586e+00  2.05509142e+00  0.00000000e+00  0.00000000e+00  2.19165745e+01  2.26060056e+01 
 2.93284000e-05  0.00000000e+00  1.98546153e+00  2.04960386e+00  0.00000000e+00  0.00000000e+00  2.18400769e+01  2.25456425e+01 
 2.98284000e-05  0.00000000e+00  1.97853148e+00  2.04413095e+00  0.00000000e+00  0.00000000e+00  2.17638462e+01  2.24854405e+01 
 3.03284000e-05  0.00000000e+00  1.97162561e+00  2.03867266e+00  0.00000000e+00  0.00000000e+00  2.16878817e+01  2.24253992e+01 
 3.08284000e-05  0.00000000e+00  1.96474384e+00  2.03322894e+00  0.00000000e+00  0.00000000e+00  2.16121823e+01  2.23655183e+01 
 3.13284000e-05  0.00000000e+00  1.95788610e+00  2.02779976e+00  0.00000000e+00  0.00000000e+00  2.15367471e+01  2.23057973e+01 
 3.18284000e-05  0.00000000e+00  1.95105229e+00  2.02238507e+00  0.00000000e+00  0.00000000e+00  2.14615752e+01  2.22462358e+01 
 3.23284000e-05  0.00000000e+00  1.94424233e+00  2.01698484e+00  0.00000000e+00  0.00000000e+00  2.13866657e+01  2.21868333e+01 
 3.28284000e-05  0.00000000e+00  1.93745615e+00  2.01159904e+00  0.00000000e+00  0.00000000e+00  2.13120176e+01  2.21275894e+01 
 3.33284000e-05  0.00000000e+00  1.93069365e+00  2.00622761e+00  0.00000000e+00  0.00000000e+00  2.12376301e+01  2.20685037e+01 
 3.38284000e-05  0.00000000e+00  1.92395475e+00  2.00087053e+00  0.00000000e+00  0.00000000e+00  2.11635023e+01  2.20095758e+01 
 3.43284000e-05  0.00000000e+00  1.91723938e+00  1.99552775e+00  0.00000000e+00  0.00000000e+00  2.10896331e+01  2.19508052e+01 
 3.48284000e-05  0.00000000e+00  1.91054744e+00  1.99019924e+00  0.00000000e+00  0.00000000e+00  2.10160219e+01  2.18921916e+01 
 3.53284000e-05  0.00000000e+00  1.90387886e+00  1.98488495e+00  0.00000000e+00  0.00000000e+00  2.09426675e+01  2.18337345e+01 
 3.58284000e-05  0.00000000e+00  1.89723356e+00  1.97958486e+00  0.00000000e+00  0.00000000e+00  2.08695692e+01  2.17754335e+01 
 3.63284000e-05  0.00000000e+00  1.89061146e+00  1.97429892e+00  0.00000000e+00  0.00000000e+00  2.07967260e+01  2.17172881e+01 
 3.68284000e-05  0.00000000e+00  1.88401246e+00  1.96902709e+00  0.00000000e+00  0.00000000e+00  2.07241371e+01  2.16592980e+01 
 3.73284000e-05  0.00000000e+00  1.87743650e+00  1.96376934e+00  0.00000000e+00  0.00000000e+00  2.06518015e+01  2.16014628e+01 
 3.78284000e-05  0.00000000e+00  1.87088350e+00  1.95852563e+00  0.00000000e+00  0.00000000e+00  2.05797185e+01  2.15437820e+01 
 3.83284000e-05  0.00000000e+00  1.86435336e+00  1.95329593e+00  0.00000000e+00  0.00000000e+00  2.05078870e+01  2.14862552e+01 
 3.88284000e-05  0.00000000e+00  1.85784602e+00  1.94808018e+00  0.00000000e+00  0.00000000e+00  2.04363062e+01  2.14288820e+01 
 3.93284000e-05  0.00000000e+00  1.85136139e+00  1.94287837e+00  0.00000000e+00  0.00000000e+00  2.03649753e+01  2.13716620e+01 
 3.98284000e-05  0.00000000e+00  1.84489940e+00  1.93769044e+00  0.00000000e+00  0.00000000e+00  2.02938934e+01  2.13145948e+01 
 4.03284000e-05  0.00000000e+00  1.83845996e+00  1.93251637e+00  0.00000000e+00  0.00000000e+00  2.02230595e+01  2.12576800e+01 
 4.08284000e-05  0.00000000e+00  1.83204300e+00  1.92735611e+00  0.00000000e+00  0.00000000e+00  2.01524729e+01  2.12009172e+01 
 4.13284000e-05  0.00000000e+00  1.82564843e+00  1.92220963e+00  0.00000000e+00  0.00000000e+00  2.00821327e+01  2.11443059e+01 
