 time            v(drv)          v(qol)          v(qoh)          v(qrl)          v(qrh)          v(col)          v(coh)         
 0.00000000e+00  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 1.00000000e-08  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 2.00000000e-08  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 4.00000000e-08  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 8.00000000e-08  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 1.60000000e-07  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 3.20000000e-07  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 6.40000000e-07  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 1.28000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 2.28000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 3.28000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 4.28000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 5.28000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 6.28000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 7.28000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 8.28000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 9.28000000e-06  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 1.00000000e-05  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01  2.50000000e+01 
 1.00010000e-05  2.25000000e+01  2.27272711e+01  2.27272715e+01  2.25000000e+01  2.25000000e+01  2.49999825e+01  2.49999866e+01 
 1.00030000e-05  1.75000000e+01  1.81818102e+01  1.81818121e+01  1.75000000e+01  1.75000000e+01  2.49999126e+01  2.49999332e+01 
 1.00070000e-05  7.50000000e+00  9.09086936e+00  9.09087871e+00  7.50000000e+00  7.50000000e+00  2.49995629e+01  2.49996658e+01 
 1.00100000e-05  0.00000000e+00  2.27264701e+00  2.27266590e+00  0.00000000e+00  0.00000000e+00  2.49991172e+01  2.49993249e+01 
 1.00108000e-05  0.00000000e+00  2.27263430e+00  2.27265618e+00  0.00000000e+00  0.00000000e+00  2.49989773e+01  2.49992179e+01 
 1.00124000e-05  0.00000000e+00  2.27260887e+00  2.27263673e+00  0.00000000e+00  0.00000000e+00  2.49986976e+01  2.49990040e+01 
 1.00156000e-05  0.00000000e+00  2.27255802e+00  2.27259784e+00  0.00000000e+00  0.00000000e+00  2.49981382e+01  2.49985762e+01 
 1.00220000e-05  0.00000000e+00  2.27245631e+00  2.27252006e+00  0.00000000e+00  0.00000000e+00  2.49970194e+01  2.49977207e+01 
 1.00348000e-05  0.00000000e+00  2.27225291e+00  2.27236452e+00  0.00000000e+00  0.00000000e+00  2.49947820e+01  2.49960097e+01 
 1.00604000e-05  0.00000000e+00  2.27184617e+00  2.27205345e+00  0.00000000e+00  0.00000000e+00  2.49903078e+01  2.49925880e+01 
 1.01116000e-05  0.00000000e+00  2.27103290e+00  2.27143146e+00  0.00000000e+00  0.00000000e+00  2.49813619e+01  2.49857460e+01 
 1.02140000e-05  0.00000000e+00  2.26940723e+00  2.27018798e+00  0.00000000e+00  0.00000000e+00  2.49634795e+01  2.49720678e+01 
 1.04188000e-05  0.00000000e+00  2.26615938e+00  2.26770306e+00  0.00000000e+00  0.00000000e+00  2.49277532e+01  2.49447336e+01 
 1.08284000e-05  0.00000000e+00  2.25967762e+00  2.26274137e+00  0.00000000e+00  0.00000000e+00  2.48564539e+01  2.48901551e+01 
 1.16476000e-05  0.00000000e+00  2.24676965e+00  2.25285054e+00  0.00000000e+00  0.00000000e+00  2.47144661e+01  2.47813559e+01 
 1.26476000e-05  0.00000000e+00  2.23111271e+00  2.24083533e+00  0.00000000e+00  0.00000000e+00  2.45422399e+01  2.46491887e+01 
 1.36476000e-05  0.00000000e+00  2.21556489e+00  2.22888421e+00  0.00000000e+00  0.00000000e+00  2.43712138e+01  2.45177263e+01 
 1.46476000e-05  0.00000000e+00  2.20012541e+00  2.21699683e+00  0.00000000e+00  0.00000000e+00  2.42013796e+01  2.43869651e+01 
 1.56476000e-05  0.00000000e+00  2.18479353e+00  2.20517285e+00  0.00000000e+00  0.00000000e+00  2.40327288e+01  2.42569013e+01 
 1.66476000e-05  0.00000000e+00  2.16956849e+00  2.19341192e+00  0.00000000e+00  0.00000000e+00  2.38652534e+01  2.41275312e+01 
 1.76476000e-05  0.00000000e+00  2.15444954e+00  2.18171373e+00  0.00000000e+00  0.00000000e+00  2.36989450e+01  2.39988510e+01 
 1.86476000e-05  0.00000000e+00  2.13943596e+00  2.17007792e+00  0.00000000e+00  0.00000000e+00  2.35337955e+01  2.38708571e+01 
 1.96476000e-05  0.00000000e+00  2.12452700e+00  2.15850417e+00  0.00000000e+00  0.00000000e+00  2.33697970e+01  2.37435459e+01 
