 time            v(doh)          v(qol)          v(qoh)          v(qrl)          v(qrh)          v(col)          v(coh)         
 1.00000000e-06  9.99447059e+00  9.99496154e+00  9.99497059e+00  9.99496154e+00  9.99497059e+00  9.99996154e+00  9.99997059e+00 
 2.00000000e-06  9.99444118e+00  9.99492308e+00  9.99494118e+00  9.99492308e+00  9.99494118e+00  9.99992308e+00  9.99994118e+00 
 4.00000000e-06  9.99438235e+00  9.99484615e+00  9.99488235e+00  9.99484615e+00  9.99488235e+00  9.99984615e+00  9.99988235e+00 
 8.00000000e-06  9.99426471e+00  9.99469231e+00  9.99476471e+00  9.99469231e+00  9.99476471e+00  9.99969231e+00  9.99976471e+00 
 1.60000000e-05  9.99402941e+00  9.99438462e+00  9.99452941e+00  9.99438462e+00  9.99452941e+00  9.99938462e+00  9.99952941e+00 
 3.20000000e-05  9.99355882e+00  9.99376923e+00  9.99405882e+00  9.99376923e+00  9.99405882e+00  9.99876923e+00  9.99905882e+00 
 6.40000000e-05  9.99261765e+00  9.99253846e+00  9.99311765e+00  9.99253846e+00  9.99311765e+00  9.99753846e+00  9.99811765e+00 
 1.00000000e-04  9.99155882e+00  9.99115385e+00  9.99205882e+00  9.99115385e+00  9.99205882e+00  9.99615385e+00  9.99705882e+00 
 1.06400000e-04  9.99137059e+00  9.99090769e+00  9.99187059e+00  9.99090769e+00  9.99187059e+00  9.99590769e+00  9.99687059e+00 
 1.19200000e-04  9.99099412e+00  9.99041538e+00  9.99149412e+00  9.99041538e+00  9.99149412e+00  9.99541538e+00  9.99649412e+00 
 1.44800000e-04  9.99024118e+00  9.98943077e+00  9.99074118e+00  9.98943077e+00  9.99074118e+00  9.99443077e+00  9.99574118e+00 
 1.96000000e-04  9.98873529e+00  9.98746154e+00  9.98923529e+00  9.98746154e+00  9.98923529e+00  9.99246154e+00  9.99423529e+00 
 2.96000000e-04  9.98579412e+00  9.98361538e+00  9.98629412e+00  9.98361538e+00  9.98629412e+00  9.98861538e+00  9.99129412e+00 
 3.96000000e-04  9.98285294e+00  9.97976923e+00  9.98335294e+00  9.97976923e+00  9.98335294e+00  9.98476923e+00  9.98835294e+00 
 4.96000000e-04  9.97991176e+00  9.97592308e+00  9.98041176e+00  9.97592308e+00  9.98041176e+00  9.98092308e+00  9.98541176e+00 
 5.96000000e-04  9.97697059e+00  9.97207692e+00  9.97747059e+00  9.97207692e+00  9.97747059e+00  9.97707692e+00  9.98247059e+00 
 6.96000000e-04  9.97402941e+00  9.96823077e+00  9.97452941e+00  9.96823077e+00  9.97452941e+00  9.97323077e+00  9.97952941e+00 
 7.96000000e-04  9.97108824e+00  9.96438462e+00  9.97158824e+00  9.96438462e+00  9.97158824e+00  9.96938462e+00  9.97658824e+00 
 8.96000000e-04  9.96814706e+00  9.96053846e+00  9.96864706e+00  9.96053846e+00  9.96864706e+00  9.96553846e+00  9.97364706e+00 
 9.96000000e-04  9.96520588e+00  9.95669231e+00  9.96570588e+00  9.95669231e+00  9.96570588e+00  9.96169231e+00  9.97070588e+00 
