fixture,vsh_v,vf_v,analytic_isense_v,analytic_current_a,analytic_resistor_power_w,pulse_flat_s
open_vm0p438,-0.438000,, -0.438000000,0.000000000e0,0.000000000e0,4.0e-6
hard_vm0p438_v0p350,-0.438000,0.350000,-0.350000400,3.999981818e-4,3.519968000e-5,4.0e-6
hard_vm0p438_v0p438,-0.438000,0.438000,-0.438000000,0.000000000e0,0.000000000e0,4.0e-6
hard_vm0p438_v0p550,-0.438000,0.550000,-0.438000000,0.000000000e0,0.000000000e0,4.0e-6
hard_vm0p438_v0p700,-0.438000,0.700000,-0.438000000,0.000000000e0,0.000000000e0,4.0e-6
hard_vm0p438_v0p900,-0.438000,0.900000,-0.438000000,0.000000000e0,0.000000000e0,4.0e-6
hard_vm0p438_v1p100,-0.438000,1.100000,-0.438000000,0.000000000e0,0.000000000e0,4.0e-6
open_vm1p100,-1.100000,, -1.100000000,0.000000000e0,0.000000000e0,4.0e-6
hard_vm1p100_v0p350,-1.100000,0.350000,-0.350003409,3.409075413e-3,2.556794938e-3,4.0e-6
hard_vm1p100_v0p438,-1.100000,0.438000,-0.438003009,3.009077231e-3,1.992000073e-3,4.0e-6
hard_vm1p100_v0p550,-1.100000,0.550000,-0.550002500,2.499988636e-3,1.374987500e-3,4.0e-6
hard_vm1p100_v0p700,-1.100000,0.700000,-0.700001818,1.818173554e-3,7.272661157e-4,4.0e-6
hard_vm1p100_v0p900,-1.100000,0.900000,-0.900000909,9.090867769e-4,1.818165289e-4,4.0e-6
hard_vm1p100_v1p100,-1.100000,1.100000,-1.100000000,0.000000000e0,0.000000000e0,4.0e-6
open_vm5p000,-5.000000,, -5.000000000,0.000000000e0,0.000000000e0,4.0e-6
hard_vm5p000_v0p350,-5.000000,0.350000,-0.350021136,2.113626756e-2,9.828319742e-2,4.0e-6
hard_vm5p000_v0p438,-5.000000,0.438000,-0.438020736,2.073626938e-2,9.459843092e-2,4.0e-6
hard_vm5p000_v0p550,-5.000000,0.550000,-0.550020227,2.022718079e-2,9.001054536e-2,4.0e-6
hard_vm5p000_v0p700,-5.000000,0.700000,-0.700019545,1.954536570e-2,8.404469050e-2,4.0e-6
hard_vm5p000_v0p900,-5.000000,0.900000,-0.900018636,1.863627893e-2,7.640839629e-2,4.0e-6
hard_vm5p000_v1p100,-5.000000,1.100000,-1.100017727,1.772719215e-2,6.913573513e-2,4.0e-6
