case,variant,vsh_v,vf_v,analytic_flat_current_a,analytic_peak_bound_a
vm438_v035,trap_1n_orig,-0.438000,0.350000,3.999981818264e-4,3.999981818264e-4
vm438_v035,trap_1n_tight,-0.438000,0.350000,3.999981818264e-4,3.999981818264e-4
vm438_v035,trap_100p_tight,-0.438000,0.350000,3.999981818264e-4,3.999981818264e-4
vm438_v035,gear2_1n_tight,-0.438000,0.350000,3.999981818264e-4,3.999981818264e-4
vm438_v035,gear2_100p_tight,-0.438000,0.350000,3.999981818264e-4,3.999981818264e-4
vm5_v035,trap_1n_orig,-5.000000,0.350000,2.113626756242e-2,2.113626756242e-2
vm5_v035,trap_1n_tight,-5.000000,0.350000,2.113626756242e-2,2.113626756242e-2
vm5_v035,trap_100p_tight,-5.000000,0.350000,2.113626756242e-2,2.113626756242e-2
vm5_v035,gear2_1n_tight,-5.000000,0.350000,2.113626756242e-2,2.113626756242e-2
vm5_v035,gear2_100p_tight,-5.000000,0.350000,2.113626756242e-2,2.113626756242e-2
