case,variant,analytic_bound_a,clamp_flat_a,clamp_peak_a,peak_over_bound,resistor_positive_peak_a,resistor_energy_total_j,clamp_energy_total_j
vm438_v035,trap_1n_orig,3.999981818e-4,3.999982000e-4,7.572492000e-4,1.893132,1.562257000e-3,2.796930000e-10,5.114100000e-10
vm438_v035,trap_1n_tight,3.999981818e-4,3.999982000e-4,3.999996000e-4,1.000004,1.562364000e-3,2.797020000e-10,5.114060000e-10
vm438_v035,trap_100p_tight,3.999981818e-4,3.999982000e-4,4.000014000e-4,1.000008,1.562363000e-3,2.796980000e-10,5.114060000e-10
vm438_v035,gear2_1n_tight,3.999981818e-4,3.999982000e-4,4.050922000e-4,1.012735,1.562365000e-3,2.797000000e-10,5.114060000e-10
vm438_v035,gear2_100p_tight,3.999981818e-4,3.999982000e-4,4.038169000e-4,1.009547,1.562363000e-3,2.796980000e-10,5.114060000e-10
vm5_v035,trap_1n_orig,2.113626756e-2,2.113627000e-2,2.709481000e-2,1.281911,1.588039000e-3,3.939210000e-7,2.954570000e-8
vm5_v035,trap_1n_tight,2.113626756e-2,2.113627000e-2,2.113629000e-2,1.000001,1.588381000e-3,3.939210000e-7,2.954570000e-8
vm5_v035,trap_100p_tight,2.113626756e-2,2.113627000e-2,2.113628000e-2,1.000001,1.588380000e-3,3.939210000e-7,2.954570000e-8
vm5_v035,gear2_1n_tight,2.113626756e-2,2.113627000e-2,2.113928000e-2,1.000143,1.588381000e-3,3.939210000e-7,2.954570000e-8
vm5_v035,gear2_100p_tight,2.113626756e-2,2.113627000e-2,2.113945000e-2,1.000151,1.588381000e-3,3.939210000e-7,2.954570000e-8
