fixture,vsh_v,vf_v,analytic_isense_v,ngspice_isense_flat_v,analytic_resistor_current_a,ngspice_resistor_current_a,analytic_clamp_current_a,ngspice_clamp_current_a,ngspice_isense_peak_abs_v,ngspice_resistor_peak_abs_a,ngspice_clamp_peak_a,resistor_energy_active_j,resistor_energy_total_j,clamp_energy_active_j,clamp_energy_total_j,flat_s
open_vm0p438,-0.438000,,-4.380000000e-1,-4.379999000e-1,0.000000000e0,6.529247000e-10,0.000000000e0,0.000000000e0,4.380000000e-1,1.946341000e-3,0.000000000e0,9.729870000e-11,1.889740000e-10,0.000000000e0,0.000000000e0,4.000000000e-6
hard_vm0p438_v0p350,-0.438000,0.350000,-3.500004000e-1,-3.500004000e-1,3.999981818e-4,3.999982000e-4,3.999981818e-4,3.999982000e-4,3.500008000e-1,1.946341000e-3,7.572492000e-4,2.206300000e-10,2.796930000e-10,5.114100000e-10,5.114100000e-10,4.000000000e-6
hard_vm0p438_v0p438,-0.438000,0.438000,-4.380000000e-1,-4.379999000e-1,0.000000000e0,6.529247000e-10,0.000000000e0,0.000000000e0,4.380000000e-1,1.946341000e-3,0.000000000e0,9.729870000e-11,1.889740000e-10,0.000000000e0,0.000000000e0,4.000000000e-6
hard_vm0p438_v0p550,-0.438000,0.550000,-4.380000000e-1,-4.379999000e-1,0.000000000e0,6.529247000e-10,0.000000000e0,0.000000000e0,4.380000000e-1,1.946341000e-3,0.000000000e0,9.729870000e-11,1.889740000e-10,0.000000000e0,0.000000000e0,4.000000000e-6
hard_vm0p438_v0p700,-0.438000,0.700000,-4.380000000e-1,-4.379999000e-1,0.000000000e0,6.529247000e-10,0.000000000e0,0.000000000e0,4.380000000e-1,1.946341000e-3,0.000000000e0,9.729870000e-11,1.889740000e-10,0.000000000e0,0.000000000e0,4.000000000e-6
hard_vm0p438_v0p900,-0.438000,0.900000,-4.380000000e-1,-4.379999000e-1,0.000000000e0,6.529247000e-10,0.000000000e0,0.000000000e0,4.380000000e-1,1.946341000e-3,0.000000000e0,9.729870000e-11,1.889740000e-10,0.000000000e0,0.000000000e0,4.000000000e-6
hard_vm0p438_v1p100,-0.438000,1.100000,-4.380000000e-1,-4.379999000e-1,0.000000000e0,6.529247000e-10,0.000000000e0,0.000000000e0,4.380000000e-1,1.946341000e-3,0.000000000e0,9.729870000e-11,1.889740000e-10,0.000000000e0,0.000000000e0,4.000000000e-6
open_vm1p100,-1.100000,,-1.100000000e0,-1.100000000e0,0.000000000e0,1.638124000e-9,0.000000000e0,0.000000000e0,1.100000000e0,4.888072000e-3,0.000000000e0,6.136840000e-10,1.191900000e-9,0.000000000e0,0.000000000e0,4.000000000e-6
hard_vm1p100_v0p350,-1.100000,0.350000,-3.500034090e-1,-3.500034000e-1,3.409075413e-3,3.409075000e-3,3.409075413e-3,3.409075000e-3,3.500068000e-1,4.888072000e-3,6.750176000e-3,1.034560000e-8,1.040600000e-8,4.682230000e-9,4.682230000e-9,4.000000000e-6
hard_vm1p100_v0p438,-1.100000,0.438000,-4.380030090e-1,-4.380030000e-1,3.009077231e-3,3.009077000e-3,3.009077231e-3,3.009077000e-3,4.380035000e-1,4.888072000e-3,3.451144000e-3,8.137380000e-9,8.231560000e-9,5.135240000e-9,5.135240000e-9,4.000000000e-6
hard_vm1p100_v0p550,-1.100000,0.550000,-5.500025000e-1,-5.500025000e-1,2.499988636e-3,2.499989000e-3,2.499988636e-3,2.499989000e-3,5.500031000e-1,4.888072000e-3,3.058394000e-3,5.746380000e-9,5.894210000e-9,5.300630000e-9,5.300630000e-9,4.000000000e-6
hard_vm1p100_v0p700,-1.100000,0.700000,-7.000018180e-1,-7.000018000e-1,1.818173554e-3,1.818174000e-3,1.818173554e-3,1.818174000e-3,7.000020000e-1,4.888072000e-3,2.030424000e-3,3.272300000e-9,3.510310000e-9,4.816290000e-9,4.816290000e-9,4.000000000e-6
hard_vm1p100_v0p900,-1.100000,0.900000,-9.000009090e-1,-9.000009000e-1,9.090867769e-4,9.090868000e-4,9.090867769e-4,9.090868000e-4,9.000014000e-1,4.888072000e-3,1.424336000e-3,1.245820000e-9,1.636030000e-9,2.970630000e-9,2.970630000e-9,4.000000000e-6
hard_vm1p100_v1p100,-1.100000,1.100000,-1.100000000e0,-1.100000000e0,0.000000000e0,1.638124000e-9,0.000000000e0,0.000000000e0,1.100000000e0,4.888072000e-3,0.000000000e0,6.136840000e-10,1.191900000e-9,0.000000000e0,0.000000000e0,4.000000000e-6
open_vm5p000,-5.000000,,-5.000000000e0,-4.999998000e0,0.000000000e0,7.447258000e-9,0.000000000e0,0.000000000e0,5.000000000e0,2.221851000e-2,0.000000000e0,1.267940000e-8,2.462600000e-8,0.000000000e0,0.000000000e0,4.000000000e-6
hard_vm5p000_v0p350,-5.000000,0.350000,-3.500211360e-1,-3.500211000e-1,2.113626756e-2,2.113627000e-2,2.113626756e-2,2.113627000e-2,3.500271000e-1,2.221851000e-2,2.709481000e-2,3.938600000e-7,3.939210000e-7,2.954570000e-8,2.954570000e-8,4.000000000e-6
hard_vm5p000_v0p438,-5.000000,0.438000,-4.380207360e-1,-4.380207000e-1,2.073626938e-2,2.073627000e-2,2.073626938e-2,2.073627000e-2,4.380263000e-1,2.221851000e-2,2.626998000e-2,3.791530000e-7,3.792480000e-7,3.623520000e-8,3.623520000e-8,4.000000000e-6
hard_vm5p000_v0p550,-5.000000,0.550000,-5.500202270e-1,-5.500202000e-1,2.022718079e-2,2.022718000e-2,2.022718079e-2,2.022718000e-2,5.500226000e-1,2.221851000e-2,2.264247000e-2,3.608630000e-7,3.610130000e-7,4.432120000e-8,4.432120000e-8,4.000000000e-6
hard_vm5p000_v0p700,-5.000000,0.700000,-7.000195450e-1,-7.000195000e-1,1.954536570e-2,1.954537000e-2,1.954536570e-2,1.954537000e-2,7.000365000e-1,2.221851000e-2,3.648874000e-2,3.371190000e-7,3.373630000e-7,5.440160000e-8,5.440160000e-8,4.000000000e-6
hard_vm5p000_v0p900,-5.000000,0.900000,-9.000186360e-1,-9.000186000e-1,1.863627893e-2,1.863628000e-2,1.863627893e-2,1.863628000e-2,9.000315000e-1,2.221851000e-2,3.147686000e-2,3.067980000e-7,3.071990000e-7,6.651220000e-8,6.651220000e-8,4.000000000e-6
hard_vm5p000_v1p100,-5.000000,1.100000,-1.100017727e0,-1.100018000e0,1.772719215e-2,1.772719000e-2,1.772719215e-2,1.772719000e-2,1.100022000e0,2.221851000e-2,2.171208000e-2,2.780010000e-7,2.785990000e-7,7.710840000e-8,7.710840000e-8,4.000000000e-6
