time v(acsrc) v(acn) i(Vac) v(load) v(vb) i(Lboost) v(vd) v(sw) v(gate) v(q) v(en) v(fault) v(vcomp) v(icomp)
2.00000000000000007e-10 1.17466059216430353e-5 -1.04889694025304828e-6 -1.04367887190341058e-6 1.93251650140930940e-36 1.01711394830341460e-26 6.05081955054142718e-19 1.17788911188534041e-28 2.65985147983714107e-19 2.45588489144673745e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948830681359946e-288 2.22057735011102833e-3
2.00159598510353944e-10 1.17559789620599389e-5 -1.04973461581608425e-6 -1.04451159033240095e-6 1.93405986677695541e-36 1.01792624586548774e-26 6.05565554551259405e-19 1.17955264525106844e-28 2.66197568664393897e-19 2.45784620670519733e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948830611026502e-288 2.22234935324960425e-3
2.00478795531061790e-10 1.17747237151912870e-5 -1.05141129464461865e-6 -1.04617676817579051e-6 1.93714906266327441e-36 1.01955213843754355e-26 6.06534195864701705e-19 1.18609269260779398e-28 2.66622735186655480e-19 2.46177183929082137e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948830470359541e-288 2.22589335743187582e-3
2.01117189572477509e-10 1.18122052595192607e-5 -1.05477261423640480e-6 -1.04950557021682980e-6 1.94334226891699767e-36 1.02281172067696464e-26 6.08481527356122377e-19 1.23500242274735102e-28 2.67474954011369818e-19 2.46964051406303285e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948830189025693e-288 2.23298135322714999e-3
2.02393977655308922e-10 1.18871365224211145e-5 -1.06152707917406908e-6 -1.05615696435886785e-6 1.95578817513003566e-36 1.02936219763243970e-26 6.12418558190024068e-19 1.56450250742363528e-28 2.69186626875368083e-19 2.48544465439072553e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948829626357995e-288 2.24715729454076814e-3
2.04947553820971772e-10 1.20368719435499585e-5 -1.07516311372426973e-6 -1.06943495193081353e-6 1.98091984882168061e-36 1.04258939431476598e-26 6.20446173035940898e-19 3.32668853814306704e-28 2.72638701790821084e-19 2.51731813767165958e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948828501022307e-288 2.27550897606147674e-3
2.10054706152297473e-10 1.23358359493635266e-5 -1.10294201926878740e-6 -1.09589203194010023e-6 2.03215773314664987e-36 1.06955670185934735e-26 6.37121338124728789e-19 1.12961025660255995e-27 2.79661957381633939e-19 2.58216462447083805e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948826250351151e-288 2.33221153468630114e-3
2.20269010814948876e-10 1.29317491626585059e-5 -1.16051462868997976e-6 -1.14841306010357882e-6 2.13865238624000250e-36 1.12560651928755074e-26 6.73168648724964679e-19 4.53722696436258356e-27 2.94220488084372063e-19 2.71658461730944255e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948821749009131e-288 2.44561343434565202e-3
2.40697620140251681e-10 1.41156156998927620e-5 -1.28361973688806693e-6 -1.25190196543161163e-6 2.36868319677167746e-36 1.24667536695880383e-26 7.57437674459697255e-19 1.96952757756674990e-26 3.25671549953726010e-19 3.00697459733243311e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948812746325163e-288 2.67240436391175595e-3
2.81554838790857290e-10 1.64522862003719050e-5 -1.56089252727360038e-6 -1.45281877708293016e-6 2.90464020524813408e-36 1.52875800305263995e-26 9.87228208874468802e-19 9.53274463386699027e-26 4.00680877517870541e-19 3.69955946425376412e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948794740957810e-288 3.12593474890192477e-3
3.63269276092068458e-10 2.10073249587040399e-5 -2.23374035067081149e-6 -1.83156898861774210e-6 4.34192449392318420e-36 2.28522341828849988e-26 1.82295332533616709e-18 2.06670222743287176e-25 6.48141835441634882e-19 5.98486744662122283e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948758730225220e-288 4.03278966125432663e-3
3.71496063288428902e-10 2.14573824563598370e-5 -2.31001224859121319e-6 -1.86803585960720436e-6 4.51581136005469461e-36 2.37674282153299931e-26 1.93997602545536529e-18 2.15464031669031351e-25 6.81777838960631491e-19 6.29552128683933971e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948755104762844e-288 4.12407413976447878e-3
3.75046294179305828e-10 2.16511405409362189e-5 -2.34338911163786015e-6 -1.88368280057970144e-6 4.59271586612253590e-36 2.41721887736586944e-26 1.99293112506596351e-18 2.20546953152406696e-25 6.96900280374075537e-19 6.43518927084046616e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948753540211789e-288 4.16346666321243050e-3
3.76028678845228109e-10 2.17047063651430241e-5 -2.35267381645251489e-6 -1.88800290769814661e-6 4.61419715510217960e-36 2.42852481893625125e-26 2.00785322026871650e-18 2.21131066791471475e-25 7.01194111364831082e-19 6.47484683957062380e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948753107284723e-288 4.17436687994523440e-3
3.77993448177072620e-10 2.18117744771586050e-5 -2.37130676247984356e-6 -1.89663072449807299e-6 4.65742308055210396e-36 2.45127530601948125e-26 2.03805544832203768e-18 2.21676026541175528e-25 7.09906170830697632e-19 6.55531139800319209e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948752241430589e-288 4.19616719443120963e-3
3.78191255807115042e-10 2.18225491121527024e-5 -2.37318736796731164e-6 -1.89749843424817904e-6 4.66179443437312597e-36 2.45357601855729853e-26 2.04112278798036034e-18 2.21704514111636668e-25 7.10791641056918455e-19 6.56348962512585045e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948752154258664e-288 4.19836198198367781e-3
3.78280614319256888e-10 2.18274162133839413e-5 -2.37403720222530029e-6 -1.89789036256654270e-6 4.66377034152090600e-36 2.45461596968790675e-26 2.04251004344766514e-18 2.21717148258575094e-25 7.11192105173358582e-19 6.56718832366253815e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948752114879168e-288 4.19935346469755416e-3
3.78321026642969819e-10 2.18296172991229277e-5 -2.37442159650493801e-6 -1.89806760066678844e-6 4.66466418373235744e-36 2.45508641295718111e-26 2.04313774411566425e-18 2.21722669804703234e-25 7.11373316586932595e-19 6.56886199799353906e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948752097069946e-288 4.19980186194365314e-3
3.78371573757179217e-10 2.18323703324039914e-5 -2.37490244194650657e-6 -1.89828927748681277e-6 4.66578239795308263e-36 2.45567494675767437e-26 2.04392310428249005e-18 2.21729231682174660e-25 7.11600067998332680e-19 6.57095628150990389e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948752074794402e-288 4.20036271024213075e-3
3.78472667985597960e-10 2.18378762321536593e-5 -2.37586429964210664e-6 -1.89873259836768261e-6 4.66801952706120161e-36 2.45685238313059223e-26 2.04549470930813003e-18 2.21740790045375056e-25 7.12053900532955506e-19 6.57514789501138294e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948752030243459e-288 4.20148440652409576e-3
3.78674856442435446e-10 2.18488873601881006e-5 -2.37778868649819784e-6 -1.89961910919031238e-6 4.67249658887545560e-36 2.45920873145433151e-26 2.04864231321130358e-18 2.21757224592613840e-25 7.12962900938793789e-19 6.58354346035466341e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948751941141209e-288 4.20372779782805621e-3
3.79079233356110470e-10 2.18709069294762537e-5 -2.38164014699111318e-6 -1.90139160674738837e-6 4.68146193435233690e-36 2.46392733433779730e-26 2.05495336843626828e-18 2.21768687267358551e-25 7.14786026660959489e-19 6.60038194292329770e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948751762936343e-288 4.20821457539612229e-3
3.79887987183460466e-10 2.19149353321109137e-5 -2.38935380391858327e-6 -1.90493450699814763e-6 4.69943757248165112e-36 2.47338819651291811e-26 2.06763521918911585e-18 2.21758161557433291e-25 7.18450586744787152e-19 6.63422805467087540e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948751406526759e-288 4.21718811037284733e-3
3.81505494838160510e-10 2.20029492332625498e-5 -2.40482402189120745e-6 -1.91201193592614271e-6 4.73556911705266017e-36 2.49240479892232553e-26 2.09324565682722688e-18 2.21847061226288617e-25 7.25842897693468447e-19 6.70250398495104915e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948750693707590e-288 4.23513509968897160e-3
3.84740510147560547e-10 2.21788057567868270e-5 -2.43593573661546079e-6 -1.92613337338088690e-6 4.80855712348822714e-36 2.53081953915887021e-26 2.14547417137628211e-18 2.23003460767979033e-25 7.40861313866618371e-19 6.84121523386994386e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948749268068960e-288 4.27102875577434551e-3
3.91210540766360620e-10 2.25298363795072107e-5 -2.49884159039212797e-6 -1.95424309194293783e-6 4.95746357015984568e-36 2.60919135321145486e-26 2.25404592414805262e-18 2.29358334514304035e-25 7.71864030469079218e-19 7.12755896589182041e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948746416791773e-288 4.34281477777692399e-3
4.04150602003960819e-10 2.32291893116382420e-5 -2.62736161125521210e-6 -2.00993407570783246e-6 5.26724429214308915e-36 2.77223383849677132e-26 2.48848700618274557e-18 2.57428527976902078e-25 8.38071728236755620e-19 7.73906127057391683e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948740714237255e-288 4.48638166126396135e-3
4.30030724479161164e-10 2.46172305849646201e-5 -2.89506624391704453e-6 -2.11923513971396710e-6 5.93664628577326140e-36 3.12455067731643407e-26 3.03368679245765198e-18 3.82195391785374009e-25 9.89641049727870283e-19 9.13898733778365673e-21 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948729309128362e-288 4.77349478740211886e-3
4.81790969429561905e-10 2.73519667361180405e-5 -3.47182190474005543e-6 -2.32976964354203101e-6 7.49058108220503604e-36 3.94241109664644561e-26 4.49212101619550921e-18 9.97410343486880873e-25 1.39065846803782967e-18 1.28429354461895110e-20 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948706498910505e-288 5.34763848622616528e-3
5.85311459330363285e-10 3.26659820995850599e-5 -4.78079016522585100e-6 -2.72050542305199376e-6 1.15854509650011716e-35 6.09760577221179357e-26 9.47605351664426594e-18 4.70235755845901020e-24 2.81669629864799595e-18 2.60144461938351188e-20 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948660878478291e-288 6.49559574917940759e-3
7.92352439131966148e-10 4.27434247550714954e-5 -7.94931475764487617e-6 -3.39454426609982847e-6 2.47438492580943537e-35 1.30230785593661504e-25 3.39859153654180844e-17 3.59566283369551214e-23 1.13298200077341316e-17 1.04633994421640099e-19 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948569637627424e-288 8.79019036894733777e-3
1.20643439873517187e-9 6.11582194240547990e-5 -1.60264545844714638e-5 -4.40308671019131901e-6 7.94088782199850256e-35 4.17941464395119541e-25 2.14951545642295913e-16 4.42124089690774350e-22 1.06725526526035869e-16 9.85067434048893843e-19 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948387155979498e-288 1.33741050406932360e-2
1.68960996751736814e-9 8.05111750858643609e-5 -2.75858707884115936e-5 -5.16340786147647638e-6 2.11569104031404587e-34 1.11352160037685641e-24 8.85730125078302013e-16 2.50264149188057800e-21 5.99882489829971329e-16 5.53348835937435254e-18 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61948174225581834e-288 1.87140110017547483e-2
2.23503921639797089e-9 1.00615813209574236e-4 -4.23764402397600542e-5 -5.68180355531303018e-6 4.93761441973388308e-34 2.59874443193264729e-24 2.79510160982778664e-15 1.10401213610591082e-20 2.43051771779590204e-15 2.24042832756891594e-17 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61947933860759409e-288 2.47304547257803549e-2
2.82552631627647957e-9 1.21145051058096519e-4 -5.96250992732614313e-5 -6.00177449213310454e-6 1.03691046316001427e-33 5.45742349135277493e-24 7.14134959165666474e-15 3.52216353858856090e-20 7.81249692355491056e-15 7.19627352291634919e-17 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61947673639566213e-288 3.12302297942277929e-2
3.54742418221850683e-9 1.45294733548773287e-4 -8.16606478308406494e-5 -6.20787979874334265e-6 2.23149496805147287e-33 1.17447103603971429e-23 1.73301197745472744e-14 1.08744796070127815e-19 2.39836493566567902e-14 2.20706359449048604e-16 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61947355507287957e-288 3.91572198793087856e-2
4.40338943834104381e-9 1.73250149538135302e-4 -1.08467761263414614e-4 -6.31966085504198638e-6 4.90014483442088596e-33 2.57902359755363894e-23 3.91624680388762750e-14 3.08736225888906810e-19 6.82981140291446321e-14 6.27764613873899013e-16 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61946978293301389e-288 4.85289517688680325e-2
5.55343375882953708e-9 2.10328455052212325e-4 -1.44966432719796770e-4 -6.37575947546589403e-6 1.24266885143817082e-32 6.54036237723304158e-23 9.13998634297664103e-14 9.30297011934308101e-19 2.05854591052425690e-13 1.88892829198187302e-15 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61946471482558370e-288 6.10737997337855026e-2
7.22743060555714154e-9 2.63983435069849149e-4 -1.98409609917387893e-4 -6.39552829445242353e-6 4.02410709355682564e-32 2.11795110227442419e-22 2.31582831455531489e-13 3.16797443025592736e-18 7.01058207361706831e-13 6.41616732762721129e-15 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61945733773213402e-288 7.92387964685388052e-2
9.94183970886397560e-9 3.50837548775585794e-4 -2.85216643459331256e-4 -6.39807458783906748e-6 1.92666533151951907e-31 1.01403438520293978e-21 6.86225436639935411e-13 1.34594380546301670e-17 2.98268211873094393e-12 2.71746957179659028e-14 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61944537569785024e-288 1.08455418199848275e-1
1.50064090792363987e-8 5.12874233963462396e-4 -4.47198517632180822e-4 -6.39764150472824436e-6 1.67644588508399211e-30 8.82339939685535269e-21 2.66295706884481105e-12 8.32289422457307086e-17 1.85165979767659459e-11 1.67166869510882135e-13 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61942305690756978e-288 1.62190072569211474e-1
1.96329325109829050e-8 6.60910410015557543e-4 -5.95155810631447374e-4 -6.39783103761676006e-6 6.22741127221064757e-30 3.27758488073360838e-20 6.21827795600845263e-12 2.51632942185901148e-16 5.61451683911402598e-11 5.03643665871492308e-13 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61940266861371761e-288 2.10403641168012023e-1
2.00000000000000004e-8 6.72655884837088124e-4 -6.06894401340397839e-4 -6.39781628366175789e-6 6.78709108580885341e-30 3.57215320373600065e-20 6.58593791345597978e-12 2.70871405588348482e-16 6.04493016218513647e-11 5.42026097074788182e-13 0.00000000000000000e0 1.40779337255100529e-19 0.00000000000000000e0 -4.61940105101421663e-288 2.14193546928057282e-1
