role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
LEFT	1	23025821	5.06767655203349876e-1	9.35184315066336893e1	-9.33957552585760631e-1	-3.87154884195706472e0	3.79610497480662332e2	3.79640466730463402e2	3.87153929450046341e0	3.79704977082079836e2	3.80934911400900774e2	-1.46295717792459037e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87743051835751595e0	2.60657335047542826e0
GROUP	1	23025822	5.06767655203349987e-1	9.35184315074588426e1	-9.33957551756594229e-1	-3.87154884182075421e0	3.79610497480662673e2	3.79640466730463743e2	3.87153929434327226e0	3.79704977082077789e2	3.80934911400895544e2	-1.46295718162053461e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87743051835751640e0	2.60657335047443262e0
GROUP	1	23025823	5.06767655203349987e-1	9.35184315079565067e1	-9.33957551258934981e-1	-3.87154884175589586e0	3.79610497480662730e2	3.79640466730463800e2	3.87153929427417687e0	3.79704977082076880e2	3.80934911400893270e2	-1.46295718319810468e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87743051835751640e0	2.60657335047399474e0
RIGHT	1	23025824	5.06767655203350098e-1	9.35184315069174801e1	-9.33957552289966131e-1	-3.87154884155108903e0	3.79610497480662900e2	3.79640466730463970e2	3.87153929418348053e0	3.79704977082075629e2	3.80934911400890314e2	-1.46295718525493242e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87743051835751507e0	2.60657335047342009e0
LEFT	2	23026989	5.06790866798464301e-1	9.22832035733107148e1	-9.31825276214383380e-1	-3.80074192070173922e0	3.79601771992011606e2	3.79631740552958320e2	3.80073226637892558e0	3.79695201530380359e2	3.80923759391476835e2	-5.02585102222409529e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87734873774477906e0	2.57096109827602426e0
GROUP	2	23026990	5.06790866798464412e-1	9.22832035727494855e1	-9.31825276767546895e-1	-3.80074192050238935e0	3.79601771992011777e2	3.79631740552958490e2	3.80073226623710214e0	3.79695201530378483e2	3.80923759391472288e2	-5.02585106129777682e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87734873774477951e0	2.57096109827515340e0
GROUP	2	23026991	5.06790866798464412e-1	9.22832035727962108e1	-9.31825276720807727e-1	-3.80074192054257765e0	3.79601771992011834e2	3.79631740552958547e2	3.80073226616374527e0	3.79695201530377574e2	3.80923759391469730e2	-5.02585108310300104e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87734873774477951e0	2.57096109827470309e0
RIGHT	2	23026992	5.06790866798464523e-1	9.22832035727229396e1	-9.31825276790062551e-1	-3.80074192036607883e0	3.79601771992011948e2	3.79631740552958661e2	3.80073226607076675e0	3.79695201530376437e2	3.80923759391466490e2	-5.02585111075629234e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87734873774477951e0	2.57096109827413288e0
LEFT	3	23028187	5.06814100336154372e-1	9.10403293388847459e1	-9.29021843010168102e-1	-3.70832310064309922e0	3.79592712663022496e2	3.79622680508759004e2	3.70831333500207583e0	3.79684796776190979e2	3.80911539071364587e2	-4.39876951971537459e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87726785827413467e0	2.53903858833066565e0
GROUP	3	23028188	5.06814100336154483e-1	9.10403293395975481e1	-9.29021842293314748e-1	-3.70832310042419522e0	3.79592712663022610e2	3.79622680508759117e2	3.70831333488052461e0	3.79684796776189273e2	3.80911539071360551e2	-4.39876955570723770e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87726785827413378e0	2.53903858832992224e0
GROUP	3	23028189	5.06814100336154483e-1	9.10403293382635468e1	-9.29021843627320099e-1	-3.70832310049519265e0	3.79592712663022667e2	3.79622680508759174e2	3.70831333481481140e0	3.79684796776188421e2	3.80911539071358391e2	-4.39876957403731274e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87726785827413289e0	2.53903858832952078e0
GROUP	3	23028190	5.06814100336154483e-1	9.10403293370460176e1	-9.29021844844857281e-1	-3.70832310033250678e0	3.79592712663022780e2	3.79622680508759288e2	3.70831333473240088e0	3.79684796776187227e2	3.80911539071355719e2	-4.39876959665004481e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87726785827413289e0	2.53903858832901630e0
RIGHT	3	23028191	5.06814100336154594e-1	9.10403293380618379e1	-9.29021843820916682e-1	-3.70832310019056877e0	3.79592712663023008e2	3.79622680508759515e2	3.70831333456758028e0	3.79684796776184783e2	3.80911539071350319e2	-4.39876964209813207e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87726785827413334e0	2.53903858832800822e0
LEFT	4	23170680	5.09904581213209918e-1	-2.18436283933964726e0	9.25638652232312467e1	4.14445171559373815e0	3.77328238781521975e2	3.77358027853004671e2	4.14444009515931988e0	3.77426517050572102e2	3.78661646870079039e2	-1.03835841008825451e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87941175347349265e0	2.58190443616696585e0
GROUP	4	23170681	5.09904581213210029e-1	-2.18436283936232067e0	9.25638652232165953e1	4.14445171544392377e0	3.77328238781522145e2	3.77358027853004842e2	4.14444009500423327e0	3.77426517050570055e2	3.78661646870074151e2	-1.03835841383312219e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87941175347349265e0	2.58190443616625931e0
GROUP	4	23170682	5.09904581213210029e-1	-2.18436283840119927e0	9.25638652241777038e1	4.14445171541184010e0	3.77328238781522316e2	3.77358027853005012e2	4.14444009492244625e0	3.77426517050568918e2	3.78661646870071536e2	-1.03835841584530994e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87941175347349310e0	2.58190443616588716e0
RIGHT	4	23170683	5.09904581213210140e-1	-2.18436284113988011e0	9.25638652214430238e1	4.14445171521659628e0	3.77328238781522430e2	3.77358027853005126e2	4.14444009481637554e0	3.77426517050567384e2	3.78661646870068125e2	-1.03835841841785471e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87941175347349354e0	2.58190443616540399e0
LEFT	5	23438607	5.15101828388804028e-1	-2.09988603273801511e0	9.23078578560791527e1	3.88800640362497507e0	3.80071612342640037e2	3.80101617996245977e2	3.88799683632321003e0	3.80166385571680962e2	3.81396638068010816e2	-1.49234116202036415e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87824200948815356e0	2.60394496581532708e0
GROUP	5	23438608	5.15101828388804139e-1	-2.09988603253692974e0	9.23078578562722498e1	3.88800640346235049e0	3.80071612342640151e2	3.80101617996246091e2	3.88799683618916792e0	3.80166385571679086e2	3.81396638068006439e2	-1.49234116522500014e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87824200948815312e0	2.60394496581449486e0
GROUP	5	23438609	5.15101828388804139e-1	-2.09988603266460094e0	9.23078578561445653e1	3.88800640334534542e0	3.80071612342640151e2	3.80101617996246091e2	3.88799683612102598e0	3.80166385571678234e2	3.81396638068004279e2	-1.49234116671590129e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87824200948815268e0	2.60394496581407164e0
