role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
LEFT	1	23025821	5.06767655203349876e-1	9.44523890592194562e1	3.79704977082079836e2	3.79640466730463402e2	3.80934911400900774e2	-1.46295717792459037e-5	3.87153929450046341e0	7.61869822801801046e-10	1.32302836132599809e-9	-3.87154884195706472e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	1	23025822	5.06767655203349987e-1	9.44523890592154345e1	3.79704977082077789e2	3.79640466730463743e2	3.80934911400895544e2	-1.46295718162053461e-5	3.87153929434327226e0	7.61869822801790603e-10	1.29630059599959031e-9	-3.87154884182075421e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	1	23025823	5.06767655203349987e-1	9.44523890592154487e1	3.79704977082076880e2	3.79640466730463800e2	3.80934911400893270e2	-1.46295718319810468e-5	3.87153929427417687e0	7.61869822801786157e-10	1.29249357647617748e-9	-3.87154884175589586e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	1	23025824	5.06767655203350098e-1	9.44523890592074480e1	3.79704977082075629e2	3.79640466730463970e2	3.80934911400890314e2	-1.46295718525493242e-5	3.87153929418348053e0	7.61869822801780160e-10	1.33215999434040738e-9	-3.87154884155108903e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	2	23026989	5.06790866798464301e-1	9.32150288495250976e1	3.79695201530380359e2	3.79631740552958320e2	3.80923759391476835e2	-5.02585102222409529e-6	3.80073226637892558e0	7.61847518782953268e-10	1.31013115032557959e-9	-3.80074192070173922e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	2	23026990	5.06790866798464412e-1	9.32150288495170258e1	3.79695201530378483e2	3.79631740552958490e2	3.80923759391472288e2	-5.02585106129777682e-6	3.80073226623710214e0	7.61847518782944169e-10	1.29397009008784412e-9	-3.80074192050238935e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	2	23026991	5.06790866798464412e-1	9.32150288495170116e1	3.79695201530377574e2	3.79631740552958547e2	3.80923759391469730e2	-5.02585108310300104e-6	3.80073226616374527e0	7.61847518782939000e-10	1.30401583984021382e-9	-3.80074192054257765e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	2	23026992	5.06790866798464523e-1	9.32150288495130042e1	3.79695201530376437e2	3.79631740552958661e2	3.80923759391466490e2	-5.02585111075629234e-6	3.80073226607076675e0	7.61847518782932486e-10	1.25494425815772109e-9	-3.80074192036607883e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	3	23028187	5.06814100336154372e-1	9.19693511818949077e1	3.79684796776190979e2	3.79622680508759004e2	3.80911539071364587e2	-4.39876951971537459e-6	3.70831333500207583e0	7.61823078142728611e-10	1.38308870590226623e-9	-3.70832310064309922e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	3	23028188	5.06814100336154483e-1	9.19693511818908576e1	3.79684796776189273e2	3.79622680508759117e2	3.80911539071360551e2	-4.39876955570723770e-6	3.70831333488052461e0	7.61823078142720650e-10	1.39798862403076148e-9	-3.70832310042419522e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
