role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
LEFT	1	22757001	5.01547157707616709e-1	9.34656837507158968e1	3.76990391420592459e2	3.76922435121445744e2	3.78224843142598104e2	-4.79436595815266982e-6	4.10832382398453522e0	3.78224843142597767e-10	1.19651231156470559e-9	-4.10833556418344870e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	1	22757002	5.01547157707616820e-1	9.34656837507198901e1	3.76990391420590413e2	3.76922435121445858e2	3.78224843142593329e2	-4.79436600018554650e-6	4.10832382382738714e0	3.78224843142592959e-10	1.15696844440945052e-9	-4.10833556407214928e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	1	22757003	5.01547157707616820e-1	9.34656837507199043e1	3.76990391420589390e2	3.76922435121445972e2	3.78224843142590771e2	-4.79436602265955659e-6	4.10832382374456984e0	3.78224843142590374e-10	1.14956859466675151e-9	-4.10833556389854948e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	1	22757004	5.01547157707616931e-1	9.34656837507279761e1	3.76990391420588082e2	3.76922435121446085e2	3.78224843142587304e2	-4.79436605332733566e-6	4.10832382363705673e0	3.78224843142586910e-10	1.15953522556772821e-9	-4.10833556393055233e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	2	22757408	5.01554914289574549e-1	9.38794854356394808e1	3.76987680051012660e2	3.76919776076914559e2	3.78222061258978044e2	-9.32079410818123794e-6	4.10457666938735510e0	3.78222061258977669e-10	1.26638949415344799e-9	-4.10458836610655453e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	2	22757409	5.01554914289574660e-1	9.38794854356434882e1	3.76987680051011068e2	3.76919776076914673e2	3.78222061258973895e2	-9.32079413968633025e-6	4.10457666925825571e0	3.78222061258973533e-10	1.28745057880685694e-9	-4.10458836593016940e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	2	22757410	5.01554914289574660e-1	9.38794854356434740e1	3.76987680051010102e2	3.76919776076914786e2	3.78222061258971621e2	-9.32079415756045847e-6	4.10457666918941566e0	3.78222061258971206e-10	1.29886161708706257e-9	-4.10458836606824207e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	2	22757411	5.01554914289574660e-1	9.38794854356434740e1	3.76987680051008851e2	3.76919776076914900e2	3.78222061258968608e2	-9.32079418221901566e-6	4.10457666910178176e0	3.78222061258968208e-10	1.31545581951324465e-9	-4.10458836572530572e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	2	22757412	5.01554914289574771e-1	9.38794854356515032e1	3.76987680051006521e2	3.76919776076915070e2	3.78222061258962697e2	-9.32079422939098015e-6	4.10457666892651485e0	3.78222061258962314e-10	1.36499859859910274e-9	-4.10458836565715046e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	3	22758602	5.01578160157259534e-1	9.51147947760357937e1	3.76980958688130670e2	3.76911919806251944e2	3.78216797505195927e2	-1.23207156260254273e-5	4.18235972082195140e0	3.78216797505195537e-10	1.28171790273957954e-9	-4.18237128537458602e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
