role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
LEFT	1	22757001	5.01547157707616709e-1	9.25246873682695963e1	-9.40996382446306678e-1	-4.10833556418344870e0	3.76892680436148169e2	3.76922435121445744e2	4.10832382398453522e0	3.76990391420592459e2	3.78224843142598104e2	-4.79436595815266982e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87762273671323987e0	2.55862538918161420e0
GROUP	1	22757002	5.01547157707616820e-1	9.25246873679884061e1	-9.40996382731489556e-1	-4.10833556407214928e0	3.76892680436148282e2	3.76922435121445858e2	4.10832382382738714e0	3.76990391420590413e2	3.78224843142593329e2	-4.79436600018554650e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87762273671324076e0	2.55862538918093207e0
GROUP	1	22757003	5.01547157707616820e-1	9.25246873679620450e1	-9.40996382757861571e-1	-4.10833556389854948e0	3.76892680436148396e2	3.76922435121445972e2	4.10832382374456984e0	3.76990391420589390e2	3.78224843142590771e2	-4.79436602265955659e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87762273671324031e0	2.55862538918057281e0
RIGHT	1	22757004	5.01547157707616931e-1	9.25246873684107811e1	-9.40996382317191404e-1	-4.10833556393055233e0	3.76892680436148510e2	3.76922435121446085e2	4.10832382363705673e0	3.76990391420588082e2	3.78224843142587304e2	-4.79436605332733566e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87762273671324120e0	2.55862538918010607e0
LEFT	2	22757408	5.01554914289574549e-1	9.29385993997213973e1	-9.40886035918082064e-1	-4.10458836610655453e0	3.76890021601525007e2	3.76919776076914559e2	4.10457666938735510e0	3.76987680051012660e2	3.78222061258978044e2	-9.32079410818123794e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87765598865712136e0	2.56957173259330141e0
GROUP	2	22757409	5.01554914289574660e-1	9.29385993986990826e1	-9.40886036944403314e-1	-4.10458836593016940e0	3.76890021601525120e2	3.76919776076914673e2	4.10457666925825571e0	3.76987680051011068e2	3.78222061258973895e2	-9.32079413968633025e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87765598865712136e0	2.56957173259271521e0
GROUP	2	22757410	5.01554914289574660e-1	9.29385993998504318e1	-9.40886035793041642e-1	-4.10458836606824207e0	3.76890021601525234e2	3.76919776076914786e2	4.10457666918941566e0	3.76987680051010102e2	3.78222061258971621e2	-9.32079415756045847e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87765598865712136e0	2.56957173259240257e0
GROUP	2	22757411	5.01554914289574660e-1	9.29385993999991484e1	-9.40886035644325935e-1	-4.10458836572530572e0	3.76890021601525348e2	3.76919776076914900e2	4.10457666910178176e0	3.76987680051008851e2	3.78222061258968608e2	-9.32079418221901566e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87765598865712136e0	2.56957173259200466e0
RIGHT	2	22757412	5.01554914289574771e-1	9.29385993993843016e1	-9.40886036267200465e-1	-4.10458836565715046e0	3.76890021601525518e2	3.76919776076915070e2	4.10457666892651485e0	3.76987680051006521e2	3.78222061258962697e2	-9.32079422939098015e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87765598865712180e0	2.56957173259120841e0
LEFT	3	22758602	5.01578160157259534e-1	9.41716247395357584e1	-9.43170036500030173e-1	-4.18237128537458602e0	3.76882165951045351e2	3.76911919806251944e2	4.18235972082195140e0	3.76980958688130670e2	3.78216797505195927e2	-1.23207156260254273e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87775594616075603e0	2.59814825802774196e0
GROUP	3	22758603	5.01578160157259645e-1	9.41716247387027749e1	-9.43170037337025091e-1	-4.18237128528664925e0	3.76882165951045408e2	3.76911919806252001e2	4.18235972070759843e0	3.76980958688129078e2	3.78216797505192062e2	-1.23207156551258388e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87775594616075558e0	2.59814825802721705e0
GROUP	3	22758604	5.01578160157259645e-1	9.41716247399618851e1	-9.43170036077899288e-1	-4.18237128526112656e0	3.76882165951045408e2	3.76911919806252001e2	4.18235972064631056e0	3.76980958688128339e2	3.78216797505190186e2	-1.23207156691542274e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87775594616075558e0	2.59814825802693550e0
GROUP	3	22758605	5.01578160157259645e-1	9.41716247387854111e1	-9.43170037254381644e-1	-4.18237128524816626e0	3.76882165951045465e2	3.76911919806252058e2	4.18235972056924954e0	3.76980958688127487e2	3.78216797505188026e2	-1.23207156849588610e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87775594616075603e0	2.59814825802658067e0
RIGHT	3	22758606	5.01578160157259756e-1	9.41716247393520547e1	-9.43170036691751479e-1	-4.18237128493859700e0	3.76882165951045579e2	3.76911919806252172e2	4.18235972041512838e0	3.76980958688125611e2	3.78216797505183251e2	-1.23207157221746443e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87775594616075647e0	2.59814825802587102e0
LEFT	4	23026064	5.06775395445279275e-1	9.31073635300538172e1	-9.33208969389049514e-1	-3.84664052870220985e0	3.79616022622103571e2	3.79645992308100006e2	3.84663094548755691e0	3.79710137288105329e2	3.80939588803697234e2	-1.28199833579227667e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87674609030848805e0	2.58627112901270007e0
GROUP	4	23026065	5.06775395445279386e-1	9.31073635299440383e1	-9.33208969490804230e-1	-3.84664052851042015e0	3.79616022622103742e2	3.79645992308100176e2	3.84663094535095773e0	3.79710137288103510e2	3.80939588803692800e2	-1.28199833905811317e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87674609030848849e0	2.58627112901186207e0
GROUP	4	23026066	5.06775395445279386e-1	9.31073635281915983e1	-9.33208971243227769e-1	-3.84664052840827253e0	3.79616022622103856e2	3.79645992308100290e2	3.84663094528200311e0	3.79710137288102601e2	3.80939588803690469e2	-1.28199834088032177e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87674609030848849e0	2.58627112901143841e0
GROUP	4	23026067	5.06775395445279386e-1	9.31073635299769933e1	-9.33208969457848037e-1	-3.84664052840292925e0	3.79616022622103912e2	3.79645992308100347e2	3.84663094519423510e0	3.79710137288101521e2	3.80939588803687457e2	-1.28199834325424205e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87674609030848805e0	2.58627112901089928e0
