role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
LEFT	1	23174521	5.09904583149746293e-1	-2.19157710461130062e0	9.25567537451237570e1	4.16637372168305387e0	3.77323372959361564e2	3.77353161646700414e2	4.16636210225066428e0	3.77421978153118630e2	3.78657518223488353e2	-1.10475909239621093e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87930395083789925e0	2.58173731470845214e0
GROUP	1	23174522	5.09904583149746404e-1	-2.19157710526578908e0	9.25567537444732409e1	4.16637372154236640e0	3.77323372959361677e2	3.77353161646700528e2	4.16636210213947589e0	3.77421978153117266e2	3.78657518223484658e2	-1.10475909527131282e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87930395083789969e0	2.58173731470795786e0
GROUP	1	23174523	5.09904583149746404e-1	-2.19157710542484496e0	9.25567537443142072e1	4.16637372147311602e0	3.77323372959361791e2	3.77353161646700642e2	4.16636210207970414e0	3.77421978153116527e2	3.78657518223482839e2	-1.10475909658570890e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87930395083789969e0	2.58173731470769230e0
GROUP	1	23174524	5.09904583149746404e-1	-2.19157710284483365e0	9.25567537468942021e1	4.16637372140231133e0	3.77323372959361905e2	3.77353161646700755e2	4.16636210200484047e0	3.77421978153115504e2	3.78657518223480679e2	-1.10475909821001706e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87930395083789969e0	2.58173731470735968e0
RIGHT	1	23174525	5.09904583149746515e-1	-2.19157710644799852e0	9.25567537432950616e1	4.16637372127209371e0	3.77323372959362018e2	3.77353161646700869e2	4.16636210185511491e0	3.77421978153113514e2	3.78657518223476018e2	-1.10475910182585942e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87930395083790103e0	2.58173731470669532e0
LEFT	2	23175721	5.09927824809373043e-1	-2.21724757420771823e0	9.37610472837074838e1	4.24440487881462403e0	3.77315745103762538e2	3.77345533188902266e2	4.24439338944201694e0	3.77415483611005016e2	3.78652475902387380e2	-1.23841820671591213e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87940450460704600e0	2.61334558169835551e0
GROUP	2	23175722	5.09927824809373154e-1	-2.21724757398078021e0	9.37610472839423892e1	4.24440487869455296e0	3.77315745103762708e2	3.77345533188902436e2	4.24439338928408727e0	3.77415483611002969e2	3.78652475902382378e2	-1.23841821045576080e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87940450460704644e0	2.61334558169764009e0
GROUP	2	23175723	5.09927824809373154e-1	-2.21724757496454705e0	9.37610472829586428e1	4.24440487858539850e0	3.77315745103762822e2	3.77345533188902550e2	4.24439338920092712e0	3.77415483611001832e2	3.78652475902379877e2	-1.23841821234160207e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87940450460704600e0	2.61334558169726350e0
RIGHT	2	23175724	5.09927824809373265e-1	-2.21724757503960879e0	9.37610472828875459e1	4.24440487843691017e0	3.77315745103762993e2	3.77345533188902721e2	4.24439338909284203e0	3.77415483611000241e2	3.78652475902376580e2	-1.23841821468263189e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87940450460704511e0	2.61334558169677411e0
LEFT	3	23441517	5.15086342368483163e-1	-2.10419500826008399e0	9.31252342203500376e1	3.90107526022412632e0	3.80073342364173129e2	3.80103348154359708e2	3.90106576122627757e0	3.80168295547710329e2	3.81398800244122697e2	-1.65130984459275262e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87827206134892144e0	2.60966265117626506e0
