role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
LEFT	1	23174521	5.09904583149746293e-1	-9.47483308497350549e1	3.77421978153118630e2	3.77353161646700414e2	3.78657518223488353e2	-1.10475909239621093e-5	4.16636210225066428e0	3.78657518223488010e-10	1.24773644972551395e-9	4.16637372168305387e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	1	23174522	5.09904583149746404e-1	-9.47483308497390340e1	3.77421978153117266e2	3.77353161646700528e2	3.78657518223484658e2	-1.10475909527131282e-5	4.16636210213947589e0	3.78657518223484236e-10	1.23856356488844619e-9	4.16637372154236640e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	1	23174523	5.09904583149746404e-1	-9.47483308497390482e1	3.77421978153116527e2	3.77353161646700642e2	3.78657518223482839e2	-1.10475909658570890e-5	4.16636210207970414e0	3.78657518223482478e-10	1.26612095627515763e-9	4.16637372147311602e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	1	23174524	5.09904583149746404e-1	-9.47483308497390340e1	3.77421978153115504e2	3.77353161646700755e2	3.78657518223480679e2	-1.10475909821001706e-5	4.16636210200484047e0	3.78657518223480307e-10	1.23341427394025787e-9	4.16637372140231133e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	1	23174525	5.09904583149746515e-1	-9.47483308497430556e1	3.77421978153113514e2	3.77353161646700869e2	3.78657518223476018e2	-1.10475910182585942e-5	4.16636210185511491e0	3.78657518223475654e-10	1.19386663600647256e-9	4.16637372127209371e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	2	23175721	5.09927824809373043e-1	-9.59782948579152020e1	3.77415483611005016e2	3.77345533188902266e2	3.78652475902387380e2	-1.23841820671591213e-5	4.24439338944201694e0	3.78652475902387040e-10	1.24594761652165669e-9	4.24440487881462403e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	2	23175722	5.09927824809373154e-1	-9.59782948579231743e1	3.77415483611002969e2	3.77345533188902436e2	3.78652475902382378e2	-1.23841821045576080e-5	4.24439338928408727e0	3.78652475902381973e-10	1.26056110506770504e-9	4.24440487869455296e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	2	23175723	5.09927824809373154e-1	-9.59782948579231885e1	3.77415483611001832e2	3.77345533188902550e2	3.78652475902379877e2	-1.23841821234160207e-5	4.24439338920092712e0	3.78652475902379440e-10	1.27375670516008226e-9	4.24440487858539850e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	2	23175724	5.09927824809373265e-1	-9.59782948579271533e1	3.77415483611000241e2	3.77345533188902721e2	3.78652475902376580e2	-1.23841821468263189e-5	4.24439338909284203e0	3.78652475902376183e-10	1.23913400495625868e-9	4.24440487843691017e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	3	23441517	5.15086342368483163e-1	-9.52294292286101154e1	3.80168295547710329e2	3.80103348154359708e2	3.81398800244122697e2	-1.65130984459275262e-5	3.90106576122627757e0	3.81398800244122326e-10	1.23574796833634856e-9	3.90107526022412632e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	3	23441518	5.15086342368483274e-1	-9.52294292286021147e1	3.80168295547708112e2	3.80103348154359935e2	3.81398800244117524e2	-1.65130984817925884e-5	3.90106576106020775e0	3.81398800244117104e-10	1.22112326670374162e-9	3.90107526006689120e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	3	23441519	5.15086342368483274e-1	-9.52294292286021005e1	3.80168295547707032e2	3.80103348154359935e2	3.81398800244114909e2	-1.65130984995516743e-5	3.90106576097661994e0	3.81398800244114571e-10	1.21564967771627474e-9	3.90107525995418847e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	3	23441520	5.15086342368483385e-1	-9.52294292285941566e1	3.80168295547705554e2	3.80103348154359992e2	3.81398800244111385e2	-1.65130985235408705e-5	3.90106576086850909e0	3.81398800244111004e-10	1.22978017282755831e-9	3.90107525986788062e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	4	23442330	5.15101821300637641e-1	-9.44081207237973388e1	3.80162212122924757e2	3.80097672849074854e2	3.81392177540044770e2	-1.22602792908127800e-5	3.87314632132365189e0	3.81392177540044377e-10	1.30572287795045895e-9	3.87315588926324939e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	4	23442331	5.15101821300637752e-1	-9.44081207237933171e1	3.80162212122922483e2	3.80097672849075082e2	3.81392177540039427e2	-1.22602793309975172e-5	3.87314632115854485e0	3.81392177540039000e-10	1.30714622028015583e-9	3.87315588912976061e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	4	23442332	5.15101821300637752e-1	-9.44081207237933171e1	3.80162212122921346e2	3.80097672849075082e2	3.81392177540036641e2	-1.22602793523193101e-5	3.87314632107178625e0	3.81392177540036312e-10	1.30581233963296295e-9	3.87315588894303531e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	4	23442333	5.15101821300637863e-1	-9.44081207237852880e1	3.80162212122919982e2	3.80097672849075025e2	3.81392177540032947e2	-1.22602793807565693e-5	3.87314632095870381e0	3.81392177540032537e-10	1.29725818683619083e-9	3.87315588884974993e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	5	23587329	5.18238759120075332e-1	9.47930514067386838e1	3.77880216467713296e2	3.77811042934136708e2	3.79116188093000062e2	-1.23635408693762556e-5	4.18948048759144953e0	3.79116188092999685e-10	1.24143288240260247e-9	-4.18949211820580558e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	5	23587330	5.18238759120075443e-1	9.47930514067426628e1	3.77880216467711193e2	3.77811042934136822e2	3.79116188092994889e2	-1.23635409077412713e-5	4.18948048743001689e0	3.79116188092994464e-10	1.26504516764745334e-9	-4.18949211801651700e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
