time v(acsrc) v(acn) i(Vac) v(load) v(vb) i(Lboost) v(vd) v(sw) v(gate) v(q) v(en) v(fault) v(vcomp) v(icomp) v(xu.raw) v(xu.pwm_hold) v(pwm) v(pwm_input) v(xdriver.driver_req) v(xdriver.drv_delay) v(xu.phase) v(xu.blank) v(isense) v(xu.ov) v(xu.fault) v(xu.pcl_hold) v(xu.pcl_request) v(disable) v(xu.m1) v(xu.m2) v(acsrc,acn) i(Vchannel) i(Vbody) v(f2ctl) v(standby_req) v(arm) v(permit) i(Vf2sense) i(Vdboost1sense) i(Vdboost2sense) v(fault_inject)
2.00000000000000007e-10 1.17466059216389170e-5 -1.04889694025716761e-6 -1.04367887190313360e-6 1.93251650085667688e-36 1.01711394801255537e-26 6.05078803691958927e-19 1.17300284986784290e-28 2.65983784180706608e-19 2.45587229922786185e-21 0.00000000000000000e0 6.77700898058125211e-20 0.00000000000000000e0 -1.26311482995295501e-289 2.22057735011102833e-3 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.10226841734909461e-46 2.35405923721815540e-24 2.00000000000000007e-10 0.00000000000000000e0 3.98946854538726955e-24 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 5.07224345735286856e-9 6.80000000000000049e-2 0.00000000000000000e0 1.27955028618960853e-5 2.65983784180706347e-31 -1.21775065822658545e-25 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 -6.70255946342584609e-25 5.47123613397269814e-24 5.47123613396985491e-24 0.00000000000000000e0
2.00159598510353944e-10 1.17559789620558088e-5 -1.04973461582021311e-6 -1.04451159033227051e-6 1.93405986622388121e-36 1.01792624557439620e-26 6.05562400675031281e-19 1.17466356679501134e-28 2.66196203767240559e-19 2.45783360438382235e-21 0.00000000000000000e0 6.77700898058125211e-20 0.00000000000000000e0 -1.26311482976064096e-289 2.22234935324960468e-3 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.10314801933619038e-46 2.35593925917795515e-24 2.00159598510353944e-10 0.00000000000000000e0 3.99228053570522605e-24 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 5.07629429979480687e-9 6.80000000000000049e-2 0.00000000000000000e0 1.28057135778760215e-5 2.66196203767240290e-31 -6.65987159274891713e-26 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 -6.70786406604297389e-25 9.96614253156023521e-24 9.96614253568200771e-24 0.00000000000000000e0
2.00478795531061790e-10 1.17747237151871281e-5 -1.05141129464877864e-6 -1.04617676817602768e-6 1.93714906210931687e-36 1.01955213814598694e-26 6.06531036948890383e-19 1.18120016830235243e-28 2.66621368089974301e-19 2.46175921666057117e-21 0.00000000000000000e0 6.77700898058125211e-20 0.00000000000000000e0 -1.26311482937601286e-289 2.22589335743187625e-3 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.10490722331038115e-46 2.35970230583672902e-24 2.00478795531061790e-10 0.00000000000000000e0 3.99687679292838797e-24 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 5.08440244451825867e-9 6.80000000000000049e-2 0.00000000000000000e0 1.28261350098359073e-5 2.66621368089974032e-31 -1.91506770588373176e-24 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 -6.71826757641975648e-25 2.99095176363098074e-23 2.99095176282852071e-23 0.00000000000000000e0
2.01117189572477509e-10 1.18122052593487462e-5 -1.05477261440691888e-6 -1.04950557018442062e-6 1.94334226836127376e-36 1.02281172038447834e-26 6.08477767709261680e-19 1.23010882343671630e-28 2.67473582066399205e-19 2.46962784666111355e-21 0.00000000000000000e0 6.77700898058125211e-20 0.00000000000000000e0 -1.26311482860675688e-289 2.23298135322714999e-3 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.10842563125876326e-46 2.36724644219111533e-24 2.01117189572477509e-10 0.00000000000000000e0 4.00729901215971460e-24 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 5.10065749246455137e-9 6.80000000000000049e-2 0.00000000000000000e0 1.28669778737556655e-5 2.67473582066398916e-31 -5.89901977766002879e-24 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 -6.73673754766740880e-25 1.21109525732957844e-22 1.21109525722353851e-22 0.00000000000000000e0
2.02393977655308947e-10 1.18871365220288502e-5 -1.06152707956633406e-6 -1.05615696430414190e-6 1.95578817457074060e-36 1.02936219733807393e-26 6.12410840727033651e-19 1.55950113392046311e-28 2.69185239310011403e-19 2.48543184266876624e-21 0.00000000000000000e0 6.77700898058125211e-20 0.00000000000000000e0 -1.26311482706824446e-289 2.24715729454076770e-3 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.11546244715552709e-46 2.38240714412534236e-24 2.02393977655308947e-10 0.00000000000000000e0 4.03285694551675114e-24 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 5.13332261697422574e-9 6.80000000000000049e-2 0.00000000000000000e0 1.29486636015951836e-5 2.69185239310011148e-31 -1.13662935003027827e-23 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 -6.75844790665912932e-25 3.89026227364620781e-22 3.89026227360441569e-22 0.00000000000000000e0
2.04947553820971798e-10 1.20368719440453558e-5 -1.07516311322887721e-6 -1.06943495198478139e-6 1.98091984825441270e-36 1.04258939401620390e-26 6.20433689527710536e-19 3.32064619530388476e-28 2.72637262136919466e-19 2.51730484453568590e-21 0.00000000000000000e0 6.77700898058125211e-20 0.00000000000000000e0 -1.26311482399121963e-289 2.27550897606147587e-3 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.12953607894905476e-46 2.41302029151215678e-24 2.04947553820971798e-10 0.00000000000000000e0 4.08335311720425532e-24 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 5.19927293742084200e-9 6.80000000000000049e-2 0.00000000000000000e0 1.31120350572742333e-5 2.72637262136919193e-31 -2.24891440671186506e-23 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 -6.72921954708776719e-25 9.75861642121966411e-22 9.75861642119066607e-22 0.00000000000000000e0
2.10054706152297499e-10 1.23358359503031453e-5 -1.10294201832916845e-6 -1.09589203195074235e-6 2.03215773256071235e-36 1.06955670155095916e-26 6.37124521182064838e-19 1.12892162400959764e-27 2.79660469171661256e-19 2.58215088285377768e-21 0.00000000000000000e0 6.77700898058125211e-20 0.00000000000000000e0 -1.26311481783716950e-289 2.33221153468630071e-3 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.15768334253611030e-46 2.47543024173784273e-24 2.10054706152297499e-10 0.00000000000000000e0 4.19399034438707654e-24 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 5.33365351973754474e-9 6.80000000000000049e-2 0.00000000000000000e0 1.34387779686323140e-5 2.79660469171660949e-31 -4.66689769935979875e-23 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 -6.37776359433332899e-25 2.11283058735494037e-21 2.11283058736001173e-21 0.00000000000000000e0
2.20269010814948902e-10 1.29317491632107527e-5 -1.16051462813773419e-6 -1.14841306006027342e-6 2.13865238569569263e-36 1.12560651900107192e-26 6.73225208419838879e-19 4.53935706465126135e-27 2.94219546182074054e-19 2.71657592827438376e-21 0.00000000000000000e0 6.77700898058125211e-20 0.00000000000000000e0 -1.26311480552907040e-289 2.44561343434565159e-3 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.21397786971022195e-46 2.60512739957952112e-24 2.20269010814948902e-10 0.00000000000000000e0 4.42115884085661750e-24 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 5.61233169647291006e-9 6.80000000000000049e-2 0.00000000000000000e0 1.40922637913484874e-5 2.94219546182073799e-31 -1.00396756693864263e-22 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 -4.47780541690630616e-25 4.49761230125687634e-21 4.49761230125942142e-21 0.00000000000000000e0
2.40697620140251732e-10 1.41156157007224257e-5 -1.28361973605840430e-6 -1.25190196546400641e-6 2.36868319757643589e-36 1.24667536738236091e-26 7.57600961538875591e-19 1.97165023813012295e-26 3.25674703239883770e-19 3.00700377504417330e-21 0.00000000000000000e0 6.77700898058125211e-20 0.00000000000000000e0 -1.26311478091287218e-289 2.67240436391175552e-3 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.32656692405844390e-46 2.88531849681693348e-24 2.40697620140251732e-10 0.00000000000000000e0 4.90058784977517805e-24 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 6.20933408069130015e-9 6.80000000000000049e-2 0.00000000000000000e0 1.53992354367808289e-5 3.25674703239883467e-31 -2.28835588244799053e-22 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 4.83316580498508009e-25 1.02125344082788895e-20 1.02125344082790806e-20 0.00000000000000000e0
2.81554838790857342e-10 1.64522862011987752e-5 -1.56089252644673338e-6 -1.45281877711476504e-6 2.90464022089395245e-36 1.52875801128728122e-26 9.87617449358887928e-19 9.54346928441991742e-26 4.00705054764252823e-19 3.69978301231566793e-21 0.00000000000000000e0 6.77700898058125211e-20 0.00000000000000000e0 -1.26311473168047781e-289 3.12593474890192390e-3 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.55174503275488954e-46 3.54197168423757753e-24 2.81554838790857342e-10 0.00000000000000000e0 5.95717674482721447e-24 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 7.56174700787474511e-9 6.80000000000000049e-2 0.00000000000000000e0 1.80131787276455088e-5 4.00705054764252463e-31 -5.93388049214989582e-22 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 5.34314084875509117e-24 2.64845107419380218e-20 2.64845107419374741e-20 0.00000000000000000e0
