role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
LEFT	1	22760502	5.01554898821178652e-1	9.29378948747776406e1	-9.40766143444913494e-1	-4.10051822727859872e0	3.76897526380245665e2	3.76927281448117753e2	4.10050653000095799e0	3.76995106707871685e2	3.78229411289301026e2	-2.79596836113483992e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87786735783014391e0	2.55444514663732658e0
GROUP	1	22760503	5.01554898821178763e-1	9.29378948757885723e1	-9.40766142438007491e-1	-4.10051822710431679e0	3.76897526380245836e2	3.76927281448117924e2	4.10050652986765130e0	3.76995106707869752e2	3.78229411289296820e2	-2.79596839780191788e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87786735783014436e0	2.55444514663674971e0
GROUP	1	22760504	5.01554898821178763e-1	9.29378948743346740e1	-9.40766143891908824e-1	-4.10051822691605139e0	3.76897526380245893e2	3.76927281448117981e2	4.10050652979184882e0	3.76995106707868672e2	3.78229411289294433e2	-2.79596841875005275e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87786735783014436e0	2.55444514663642197e0
RIGHT	1	22760505	5.01554898821178874e-1	9.29378948756033481e1	-9.40766142631266011e-1	-4.10051822695970714e0	3.76897526380245893e2	3.76927281448117981e2	4.10050652970079010e0	3.76995106707867535e2	3.78229411289291534e2	-2.79596844477119500e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87786735783014480e0	2.55444514663602806e0
LEFT	2	22761316	5.01570408326814099e-1	9.37612427481181783e1	-9.42418897693337310e-1	-4.15673948166431728e0	3.76892239693880299e2	3.76921994344382426e2	4.15672787314406911e0	3.76990655798327793e2	3.78226015696067350e2	-1.00988240795000692e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87793377708080422e0	2.57827544080294624e0
GROUP	2	22761317	5.01570408326814210e-1	9.37612427484403099e1	-9.42418897375219888e-1	-4.15673948150742945e0	3.76892239693880413e2	3.76921994344382540e2	4.15672787298466773e0	3.76990655798325690e2	3.78226015696062120e2	-1.00988241203949418e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87793377708080511e0	2.57827544080224236e0
GROUP	2	22761318	5.01570408326814210e-1	9.37612427488218145e1	-9.42418896993693522e-1	-4.15673948146860539e0	3.76892239693880526e2	3.76921994344382654e2	4.15672787290076862e0	3.76990655798324610e2	3.78226015696059335e2	-1.00988241422863847e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87793377708080556e0	2.57827544080187154e0
RIGHT	2	22761319	5.01570408326814321e-1	9.37612427485676108e1	-9.42418897255901444e-1	-4.15673948128420534e0	3.76892239693880640e2	3.76921994344382767e2	4.15672787279165679e0	3.76990655798323189e2	3.78226015696055811e2	-1.00988241699966593e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87793377708080556e0	2.57827544080138971e0
LEFT	3	22761724	5.01578160328497669e-1	9.41716534814744790e1	-9.43150367543010959e-1	-4.18169948177660444e0	3.76889665823152257e2	3.76919420270454054e2	4.18168791691176622e0	3.76988449562907761e2	3.78224275845062323e2	-1.23889264861043026e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87796705093968086e0	2.58987926557392845e0
GROUP	3	22761725	5.01578160328497780e-1	9.41716534802839078e1	-9.43150368737561640e-1	-4.18169948168866767e0	3.76889665823152541e2	3.76919420270454339e2	4.18168791678245189e0	3.76988449562906055e2	3.78224275845058287e2	-1.23889265165812985e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87796705093968086e0	2.58987926557335024e0
GROUP	3	22761726	5.01578160328497780e-1	9.41716534824929283e1	-9.43150366528538342e-1	-4.18169948149898119e0	3.76889665823152711e2	3.76919420270454509e2	4.18168791671351858e0	3.76988449562905203e2	3.78224275845055899e2	-1.23889265350274450e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87796705093968042e0	2.58987926557304204e0
GROUP	3	22761727	5.01578160328497780e-1	9.41716534807223411e1	-9.43150368299144115e-1	-4.18169948136431913e0	3.76889665823152768e2	3.76919420270454566e2	4.18168791662571060e0	3.76988449562904179e2	3.78224275845052773e2	-1.23889265589407471e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87796705093968086e0	2.58987926557264991e0
RIGHT	3	22761728	5.01578160328497891e-1	9.41716534812061354e1	-9.43150367823343827e-1	-4.18169948138569225e0	3.76889665823152711e2	3.76919420270454509e2	4.18168791645009552e0	3.76988449562901906e2	3.78224275845047146e2	-1.23889266005375983e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87796705093968130e0	2.58987926557186521e0
LEFT	4	22762541	5.01593661338212482e-1	9.49898592393055452e1	-9.44630504704799701e-1	-4.23235062174967425e0	3.76884640677301718e2	3.76914394727881472e2	4.23233914323540361e0	3.76984167079610643e2	3.78220935842723350e2	-1.56118687929609469e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87803373153112041e0	2.61198020951055820e0
GROUP	4	22762542	5.01593661338212593e-1	9.49898592392778340e1	-9.44630504740505916e-1	-4.23235062159642439e0	3.76884640677302002e2	3.76914394727881756e2	4.23233914309133308e0	3.76984167079608710e2	3.78220935842718859e2	-1.56118688241876940e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87803373153112130e0	2.61198020950990140e0
GROUP	4	22762543	5.01593661338212593e-1	9.49898592391040495e1	-9.44630504914260039e-1	-4.23235062150450858e0	3.76884640677302059e2	3.76914394727881813e2	4.23233914301805658e0	3.76984167079607744e2	3.78220935842716472e2	-1.56118688404668744e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87803373153112174e0	2.61198020950956700e0
RIGHT	4	22762544	5.01593661338212704e-1	9.49898592392460586e1	-9.44630504776249325e-1	-4.23235062140923901e0	3.76884640677302230e2	3.76914394727881984e2	4.23233914292422408e0	3.76984167079606493e2	3.78220935842713459e2	-1.56118688609672368e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87803373153112174e0	2.61198020950913978e0
LEFT	5	23442661	5.15117301660029892e-1	-2.08802563732007940e0	9.14954956208931947e1	3.85204144493737921e0	3.80074975822545980e2	3.80104981741689812e2	3.85203180686321422e0	3.80169215540416189e2	3.81398771871326915e2	-8.22529036728161235e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87778181991364423e0	2.58084807180739606e0
GROUP	5	23442662	5.15117301660030003e-1	-2.08802563673874930e0	9.14954956214664890e1	3.85204144477034305e0	3.80074975822546037e2	3.80104981741689869e2	3.85203180674068202e0	3.80169215540414541e2	3.81398771871322595e2	-8.22529040141028080e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87778181991364512e0	2.58084807180665887e0
GROUP	5	23442663	5.15117301660030003e-1	-2.08802563875555336e0	9.14954956194496845e1	3.85204144473472443e0	3.80074975822546094e2	3.80104981741689926e2	3.85203180667514600e0	3.80169215540413632e2	3.81398771871320264e2	-8.22529042033935467e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87778181991364468e0	2.58084807180626497e0
GROUP	5	23442664	5.15117301660030003e-1	-2.08802563589019519e0	9.14954956223150333e1	3.85204144464950460e0	3.80074975822546207e2	3.80104981741690040e2	3.85203180659227495e0	3.80169215540412495e2	3.81398771871317479e2	-8.22529044324883118e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87778181991364335e0	2.58084807180576714e0
RIGHT	5	23442665	5.15117301660030114e-1	-2.08802563639018146e0	9.14954956218110169e1	3.85204144452542252e0	3.80074975822546378e2	3.80104981741690210e2	3.85203180642653376e0	3.80169215540410278e2	3.81398771871312135e2	-8.22529048860208548e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87778181991364335e0	2.58084807180477016e0
LEFT	6	23587229	5.18246501945209492e-1	9.42582551157182991e1	-9.45276304021205327e-1	-4.25451036187303089e0	3.77791490554910979e2	3.77821316198902139e2	4.25449877599539406e0	3.77891441613272605e2	3.79128621070900351e2	-1.09908876391930590e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87988997040317907e0	2.59982698954248370e0
GROUP	6	23587230	5.18246501945209603e-1	9.42582551163060174e1	-9.45276303437473042e-1	-4.25451036186086640e0	3.77791490554911150e2	3.77821316198902309e2	4.25449877588058545e0	3.77891441613271070e2	3.79128621070896713e2	-1.09908876661562488e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87988997040317951e0	2.59982698954199609e0
GROUP	6	23587231	5.18246501945209603e-1	9.42582551142447187e1	-9.45276305498770730e-1	-4.25451036179651965e0	3.77791490554911263e2	3.77821316198902423e2	4.25449877581905600e0	3.77891441613270217e2	3.79128621070894781e2	-1.09908876816298636e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87988997040317951e0	2.59982698954173541e0
GROUP	6	23587232	5.18246501945209603e-1	9.42582551154523003e1	-9.45276304291179703e-1	-4.25451036157545559e0	3.77791490554911320e2	3.77821316198902480e2	4.25449877574168323e0	3.77891441613269137e2	3.79128621070892393e2	-1.09908877010268690e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87988997040317951e0	2.59982698954140767e0
RIGHT	6	23587233	5.18246501945209714e-1	9.42582551153418535e1	-9.45276304409620960e-1	-4.25451036155959628e0	3.77791490554911434e2	3.77821316198902593e2	4.25449877558693590e0	3.77891441613266977e2	3.79128621070887391e2	-1.09908877378289920e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87988997040318040e0	2.59982698954075131e0
LEFT	7	23855034	5.23443742321405892e-1	9.30175431299627462e1	-9.33528583161309045e-1	-3.85726879793850230e0	3.80500994593191933e2	3.80531034145396632e2	3.85725917542001318e0	3.80595362632543925e2	3.81825020343621134e2	-1.37165297974512562e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87877403951556454e0	2.59229257160930437e0
GROUP	7	23855035	5.23443742321406003e-1	9.30175431293510684e1	-9.33528583768997722e-1	-3.85726879787307553e0	3.80500994593192161e2	3.80531034145396859e2	3.85725917529329276e0	3.80595362632542333e2	3.81825020343617098e2	-1.37165298268416241e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87877403951556454e0	2.59229257160852100e0
GROUP	7	23855036	5.23443742321406003e-1	9.30175431293099280e1	-9.33528583810147583e-1	-3.85726879791224064e0	3.80500994593192331e2	3.80531034145397030e2	3.85725917522561979e0	3.80595362632541480e2	3.81825020343614824e2	-1.37165298435753546e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87877403951556410e0	2.59229257160810311e0
GROUP	7	23855037	5.23443742321406003e-1	9.30175431303512710e1	-9.33528582768786586e-1	-3.85726879781122989e0	3.80500994593192559e2	3.80531034145397257e2	3.85725917513974448e0	3.80595362632540400e2	3.81825020343611982e2	-1.37165298632328412e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87877403951556321e0	2.59229257160757287e0
RIGHT	7	23855038	5.23443742321406114e-1	9.30175431296254089e1	-9.33528583490633612e-1	-3.85726879758919949e0	3.80500994593192900e2	3.80531034145397598e2	3.85725917496799386e0	3.80595362632538070e2	3.81825020343606298e2	-1.37165299036180338e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87877403951556188e0	2.59229257160651105e0
LEFT	8	23999118	5.26565172875331777e-1	-2.16844465131799424e0	9.22570870282128794e1	4.09609279756615319e0	3.78215977824260676e2	3.78245836980404647e2	4.09608110891584420e0	3.78313629046867447e2	3.79547850274963537e2	-7.70324849981002783e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88082245827779326e0	2.56480887698278304e0
GROUP	8	23999119	5.26565172875331888e-1	-2.16844465182331936e0	9.22570870277155848e1	4.09609279739621712e0	3.78215977824260847e2	3.78245836980404817e2	4.09608110875110309e0	3.78313629046865287e2	3.79547850274958193e2	-7.70324854375391079e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88082245827779415e0	2.56480887698203341e0
GROUP	8	23999120	5.26565172875331888e-1	-2.16844465214247295e0	9.22570870273964232e1	4.09609279729438391e0	3.78215977824261017e2	3.78245836980404988e2	4.09608110866456077e0	3.78313629046864094e2	3.79547850274955351e2	-7.70324856787788855e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88082245827779504e0	2.56480887698163951e0
RIGHT	8	23999121	5.26565172875331999e-1	-2.16844465102643991e0	9.22570870285205018e1	4.09609279721048747e0	3.78215977824261131e2	3.78245836980405102e2	4.09608110855172036e0	3.78313629046862616e2	3.79547850274951600e2	-7.70324859912978408e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88082245827779593e0	2.56480887698112570e0
LEFT	9	24000302	5.26588416594376940e-1	-2.21336131197568209e0	9.34441542268291840e1	4.23258911245073133e0	3.78208062926662137e2	3.78237921457945788e2	4.23257755723481921e0	3.78307717139742010e2	3.79544490328522443e2	-9.75467229194393726e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88092220854843672e0	2.59689195904667125e0
GROUP	9	24000303	5.26588416594377051e-1	-2.21336131066010244e0	9.34441542281487472e1	4.23258911231125801e0	3.78208062926662421e2	3.78237921457946072e2	4.23257755712412109e0	3.78307717139740532e2	3.79544490328518975e2	-9.75467231956226474e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88092220854843584e0	2.59689195904619297e0
GROUP	9	24000304	5.26588416594377051e-1	-2.21336131044085604e0	9.34441542283679780e1	4.23258911231002344e0	3.78208062926662478e2	3.78237921457946129e2	4.23257755706456074e0	3.78307717139739680e2	3.79544490328517043e2	-9.75467233417037282e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88092220854843539e0	2.59689195904593495e0
GROUP	9	24000305	5.26588416594377051e-1	-2.21336131162876892e0	9.34441542271800643e1	4.23258911213249966e0	3.78208062926662478e2	3.78237921457946129e2	4.23257755699001414e0	3.78307717139738656e2	3.79544490328514655e2	-9.75467235280333414e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88092220854843450e0	2.59689195904561210e0
RIGHT	9	24000306	5.26588416594377162e-1	-2.21336131124646140e0	9.34441542275703370e1	4.23258911205449717e0	3.78208062926662535e2	3.78237921457946186e2	4.23257755684092096e0	3.78307717139736724e2	3.79544490328510051e2	-9.75467238958927708e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88092220854843406e0	2.59689195904496639e0
LEFT	10	24266985	5.31762421062607848e-1	-2.09910754666534149e0	9.26313063453024199e1	3.88564544353766639e0	3.80906065470517092e2	3.80936137002001544e2	3.88563587213521577e0	3.81000874693282299e2	3.82231081585123547e2	-1.24206233258003648e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87989935755254711e0	2.60110687489807768e0
GROUP	10	24266986	5.31762421062607959e-1	-2.09910754598392080e0	9.26313063459797945e1	3.88564544337136297e0	3.80906065470517319e2	3.80936137002001772e2	3.88563587201523264e0	3.81000874693280650e2	3.82231081585119682e2	-1.24206233540834759e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87989935755254667e0	2.60110687489733428e0
GROUP	10	24266987	5.31762421062607959e-1	-2.09910754457925597e0	9.26313063473844807e1	3.88564544333681727e0	3.80906065470517319e2	3.80936137002001772e2	3.88563587195100713e0	3.81000874693279854e2	3.82231081585117749e2	-1.24206233687609695e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87989935755254578e0	2.60110687489693637e0
