role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
LEFT	1	22760502	5.01554898821178652e-1	9.38786610182225587e1	3.76995106707871685e2	3.76927281448117753e2	3.78229411289301026e2	-2.79596836113483992e-6	4.10050653000095799e0	3.78229411289300679e-10	1.14194687343350253e-9	-4.10051822727859872e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	1	22760503	5.01554898821178763e-1	9.38786610182265804e1	3.76995106707869752e2	3.76927281448117924e2	3.78229411289296820e2	-2.79596839780191788e-6	4.10050652986765130e0	3.78229411289296440e-10	1.11220507679641658e-9	-4.10051822710431679e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	1	22760504	5.01554898821178763e-1	9.38786610182265804e1	3.76995106707868672e2	3.76927281448117981e2	3.78229411289294433e2	-2.79596841875005275e-6	4.10050652979184882e0	3.78229411289294061e-10	1.13715773423869540e-9	-4.10051822691605139e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	1	22760505	5.01554898821178874e-1	9.38786610182346095e1	3.76995106707867535e2	3.76927281448117981e2	3.78229411289291534e2	-2.79596844477119500e-6	4.10050652970079010e0	3.78229411289291115e-10	1.12500769635541132e-9	-4.10051822695970714e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	2	22761316	5.01570408326814099e-1	9.47036616458115219e1	3.76990655798327793e2	3.76921994344382426e2	3.78226015696067350e2	-1.00988240795000692e-5	4.15672787314406911e0	3.78226015696066982e-10	1.24837583215096884e-9	-4.15673948166431728e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	2	22761317	5.01570408326814210e-1	9.47036616458155294e1	3.76990655798325690e2	3.76921994344382540e2	3.78226015696062120e2	-1.00988241203949418e-5	4.15672787298466773e0	3.78226015696061709e-10	1.28104713848392778e-9	-4.15673948150742945e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	2	22761318	5.01570408326814210e-1	9.47036616458155152e1	3.76990655798324610e2	3.76921994344382654e2	3.78226015696059335e2	-1.00988241422863847e-5	4.15672787290076862e0	3.78226015696058969e-10	1.28175088282825173e-9	-4.15673948146860539e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	2	22761319	5.01570408326814321e-1	9.47036616458235159e1	3.76990655798323189e2	3.76921994344382767e2	3.78226015696055811e2	-1.00988241699966593e-5	4.15672787279165679e0	3.78226015696055453e-10	1.22426322789612007e-9	-4.15673948128420534e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	3	22761724	5.01578160328497669e-1	9.51148038490174912e1	3.76988449562907761e2	3.76919420270454054e2	3.78224275845062323e2	-1.23889264861043026e-5	4.18168791691176622e0	3.78224275845061963e-10	1.29017956687705356e-9	-4.18169948177660444e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	3	22761725	5.01578160328497780e-1	9.51148038490214702e1	3.76988449562906055e2	3.76919420270454339e2	3.78224275845058287e2	-1.23889265165812985e-5	4.18168791678245189e0	3.78224275845057930e-10	1.27626615434699748e-9	-4.18169948168866767e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	3	22761726	5.01578160328497780e-1	9.51148038490214702e1	3.76988449562905203e2	3.76919420270454509e2	3.78224275845055899e2	-1.23889265350274450e-5	4.18168791671351858e0	3.78224275845055500e-10	1.27350784102085914e-9	-4.18169948149898119e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
