role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
LEFT	1	23027057	5.06775384255277683e-1	9.40411684379326402e1	3.79719873052514686e2	3.79655528041097796e2	3.80949602450456666e2	-8.23544937769012076e-6	3.86095770530162996e0	7.61899204900912862e-10	1.27241307507257610e-9	-3.86096728798838740e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	1	23027058	5.06775384255277794e-1	9.40411684379286186e1	3.79719873052512526e2	3.79655528041097966e2	3.80949602450451323e2	-8.23544942173267967e-6	3.86095770513968661e0	7.61899204900902212e-10	1.27705934411648923e-9	-3.86096728787146048e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	1	23027059	5.06775384255277794e-1	9.40411684379286328e1	3.79719873052511446e2	3.79655528041098023e2	3.80949602450448424e2	-8.23544944483240655e-6	3.86095770505447611e0	7.61899204900896318e-10	1.33089910763832159e-9	-3.86096728773804898e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	1	23027060	5.06775384255277905e-1	9.40411684379205894e1	3.79719873052510025e2	3.79655528041098080e2	3.80949602450444729e2	-8.23544947479828754e-6	3.86095770494361235e0	7.61899204900889081e-10	1.37190843908226829e-9	-3.86096728758855079e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	2	23027860	5.06790871915592911e-1	9.32147552759714273e1	3.79713513189163905e2	3.79649694607336585e2	3.80942532720687552e2	-7.15714437799888053e-6	3.82441047545023682e0	7.61885065441374663e-10	1.34600796677949227e-9	-3.82442012919256058e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	2	23027861	5.06790871915593022e-1	9.32147552759633697e1	3.79713513189161972e2	3.79649694607336755e2	3.80942532720682777e2	-7.15714441723142901e-6	3.82441047530748213e0	7.61885065441365047e-10	1.34195003477782917e-9	-3.82442012902703254e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	2	23027862	5.06790871915593022e-1	9.32147552759633413e1	3.79713513189160949e2	3.79649694607336869e2	3.80942532720680163e2	-7.15714443833670756e-6	3.82441047523173872e0	7.61885065441359877e-10	1.32372394471891922e-9	-3.82442012895603511e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	2	23027863	5.06790871915593133e-1	9.32147552759593623e1	3.79713513189159642e2	3.79649694607336926e2	3.80942532720676752e2	-7.15714446680066360e-6	3.82441047513442944e0	7.61885065441353156e-10	1.29186822368455293e-9	-3.82442012882182780e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	3	23439833	5.15117309035024840e-1	-9.35831276491193904e1	3.80167237235403036e2	3.80103689271587825e2	3.81395882834112001e2	-1.14895691159326925e-5	3.80522660851639571e0	7.62791765668223603e-10	1.28259335861347147e-9	3.80523624925784354e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	3	23439834	5.15117309035024951e-1	-9.35831276491113755e1	3.80167237235400762e2	3.80103689271588053e2	3.81395882834106999e2	-1.14895691534776261e-5	3.80522660836023530e0	7.62791765668213573e-10	1.25303217300672554e-9	3.80523624902636914e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
