role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
LEFT	1	23027057	5.06775384255277683e-1	9.31075287021578362e1	-9.33639735774805191e-1	-3.86096728798838740e0	3.79625557602339768e2	3.79655528041097796e2	3.86095770530162996e0	3.79719873052514686e2	3.80949602450456666e2	-8.23544937769012076e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87705708071364397e0	2.58630272959704133e0
GROUP	1	23027058	5.06775384255277794e-1	9.31075287026350935e1	-9.33639735293525841e-1	-3.86096728787146048e0	3.79625557602339939e2	3.79655528041097966e2	3.86095770513968661e0	3.79719873052512526e2	3.80949602450451323e2	-8.23544942173267967e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87705708071364397e0	2.58630272959605856e0
GROUP	1	23027059	5.06775384255277794e-1	9.31075287013823640e1	-9.33639736546268639e-1	-3.86096728773804898e0	3.79625557602339995e2	3.79655528041098023e2	3.86095770505447611e0	3.79719873052511446e2	3.80949602450448424e2	-8.23544944483240655e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87705708071364352e0	2.58630272959554164e0
RIGHT	1	23027060	5.06775384255277905e-1	9.31075287014913187e1	-9.33639736429268008e-1	-3.86096728758855079e0	3.79625557602340052e2	3.79655528041098080e2	3.86095770494361235e0	3.79719873052510025e2	3.80949602450444729e2	-8.23544947479828754e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87705708071364219e0	2.58630272959486973e0
LEFT	2	23027860	5.06790871915592911e-1	9.22822154814421367e1	-9.32539794529297139e-1	-3.82442012919256058e0	3.79619724629076416e2	3.79649694607336585e2	3.82441047545023682e0	3.79713513189163905e2	3.80942532720687552e2	-7.15714437799888053e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87700267513820185e0	2.56873718911317583e0
GROUP	2	23027861	5.06790871915593022e-1	9.22822154816681746e1	-9.32539794295197733e-1	-3.82442012902703254e0	3.79619724629076586e2	3.79649694607336755e2	3.82441047530748213e0	3.79713513189161972e2	3.80942532720682777e2	-7.15714441723142901e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87700267513820229e0	2.56873718911232363e0
GROUP	2	23027862	5.06790871915593022e-1	9.22822154828928802e1	-9.32539793070468193e-1	-3.82442012895603511e0	3.79619724629076700e2	3.79649694607336869e2	3.82441047523173872e0	3.79713513189160949e2	3.80942532720680163e2	-7.15714443833670756e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87700267513820229e0	2.56873718911187154e0
RIGHT	2	23027863	5.06790871915593133e-1	9.22822154814856930e1	-9.32539794473663641e-1	-3.82442012882182780e0	3.79619724629076757e2	3.79649694607336926e2	3.82441047513442944e0	3.79713513189159642e2	3.80942532720676752e2	-7.15714446680066360e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87700267513820229e0	2.56873718911129068e0
LEFT	3	23439833	5.15117309035024840e-1	-2.07258531171413196e0	9.15105423374052549e1	3.80523624925784354e0	3.80073683454473041e2	3.80103689271587825e2	3.80522660851639571e0	3.80167237235403036e2	3.81395882834112001e2	-1.14895691159326925e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87788415587172075e0	2.57834921628391101e0
GROUP	3	23439834	5.15117309035024951e-1	-2.07258531264930301e0	9.15105423364620663e1	3.80523624902636914e0	3.80073683454473269e2	3.80103689271588053e2	3.80522660836023530e0	3.80167237235400762e2	3.81395882834106999e2	-1.14895691534776261e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87788415587172119e0	2.57834921628293667e0
GROUP	3	23439835	5.15117309035024951e-1	-2.07258531113270417e0	9.15105423379786487e1	3.80523624892526335e0	3.80073683454473269e2	3.80103689271588053e2	3.80522660829489601e0	3.80167237235399853e2	3.81395882834104725e2	-1.14895691713147813e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87788415587172075e0	2.57834921628252944e0
GROUP	3	23439836	5.15117309035024951e-1	-2.07258531268525381e0	9.15105423364260844e1	3.80523624894657875e0	3.80073683454473269e2	3.80103689271588053e2	3.80522660820769509e0	3.80167237235398659e2	3.81395882834101599e2	-1.14895691945514971e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87788415587171986e0	2.57834921628198632e0
RIGHT	3	23439837	5.15117309035025062e-1	-2.07258531227317633e0	9.15105423368341633e1	3.80523624872903365e0	3.80073683454473382e2	3.80103689271588166e2	3.80522660803329105e0	3.80167237235396385e2	3.81395882834096085e2	-1.14895692353505585e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87788415587171897e0	2.57834921628089830e0
LEFT	4	23583989	5.18238750554909422e-1	9.38499399815393645e1	-9.42656901542734627e-1	-4.16485570089804469e0	3.77792270550102955e2	3.77822096255672648e2	4.16484406905955318e0	3.77890894713372802e2	3.79126406407994693e2	-9.14434339737625334e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87992645894708232e0	2.57868038429769397e0
GROUP	4	23583990	5.18238750554909533e-1	9.38499399812274362e1	-9.42656901862670593e-1	-4.16485570088570967e0	3.77792270550103126e2	3.77822096255672818e2	4.16484406894459891e0	3.77890894713371267e2	3.79126406407990942e2	-9.14434342543997277e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87992645894708277e0	2.57868038429718771e0
GROUP	4	23583991	5.18238750554909533e-1	9.38499399830757710e1	-9.42656900014295585e-1	-4.16485570077014700e0	3.77792270550103297e2	3.77822096255672989e2	4.16484406888299130e0	3.77890894713370471e2	3.79126406407989009e2	-9.14434344122144002e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87992645894708277e0	2.57868038429691637e0
GROUP	4	23583992	5.18238750554909533e-1	9.38499399808217731e1	-9.42656902268304120e-1	-4.16485570064617150e0	3.77792270550103410e2	3.77822096255673102e2	4.16484406880552172e0	3.77890894713369505e2	3.79126406407986508e2	-9.14434346095757874e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87992645894708321e0	2.57868038429657531e0
RIGHT	4	23583993	5.18238750554909644e-1	9.38499399814126747e1	-9.42656901681398041e-1	-4.16485570062781107e0	3.77792270550103524e2	3.77822096255673216e2	4.16484406865058077e0	3.77890894713367516e2	3.79126406407981563e2	-9.14434349912878139e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87992645894708499e0	2.57868038429589408e0
LEFT	5	23585573	5.18269750981354749e-1	9.54858515121163265e1	-9.45321378910706001e-1	-4.25605833557330016e0	3.77782136002176514e2	3.77811960907650302e2	4.25604687593286979e0	3.77882094077006911e2	3.79119302187824076e2	-1.53013407976352239e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88005944163206262e0	2.62108181655830119e0
GROUP	5	23585574	5.18269750981354860e-1	9.54858515122324434e1	-9.45321378802551182e-1	-4.25605833541817447e0	3.77782136002176799e2	3.77811960907650587e2	4.25604687576869001e0	3.77882094077004638e2	3.79119302187818789e2	-1.53013408338506969e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88005944163206351e0	2.62108181655754580e0
GROUP	5	23585575	5.18269750981354860e-1	9.54858515122794955e1	-9.45321378755473507e-1	-4.25605833524474519e0	3.77782136002176969e2	3.77811960907650757e2	4.25604687569291240e0	3.77882094077003615e2	3.79119302187816345e2	-1.53013408507217738e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88005944163206395e0	2.62108181655719674e0
RIGHT	5	23585576	5.18269750981354971e-1	9.54858515131326442e1	-9.45321377906279237e-1	-4.25605833519045973e0	3.77782136002177083e2	3.77811960907650871e2	4.25604687559316996e0	3.77882094077002364e2	3.79119302187813332e2	-1.53013408720566804e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88005944163206484e0	2.62108181655673755e0
LEFT	6	23852257	5.23443741710589716e-1	9.30179043075281555e1	-9.33199949183957322e-1	-3.84634075287112864e0	3.80513025994967734e2	3.80543066497019936e2	3.84633112921687470e0	3.80607232483288840e2	3.81836678179973376e2	-1.35385984889500320e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87871033564062406e0	2.58778509765972098e0
GROUP	6	23852258	5.23443741710589827e-1	9.30179043078534420e1	-9.33199948850628069e-1	-3.84634075280979459e0	3.80513025994967791e2	3.80543066497019993e2	3.84633112910194486e0	3.80607232483287248e2	3.81836678179969681e2	-1.35385985151867353e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87871033564062362e0	2.58778509765901177e0
GROUP	6	23852259	5.23443741710589827e-1	9.30179043058624160e1	-9.33199950841637205e-1	-3.84634075267246089e0	3.80513025994967791e2	3.80543066497019993e2	3.84633112904032437e0	3.80607232483286452e2	3.81836678179967862e2	-1.35385985285501522e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87871033564062362e0	2.58778509765863163e0
GROUP	6	23852260	5.23443741710589827e-1	9.30179043084981316e1	-9.33199948205956531e-1	-3.84634075259401698e0	3.80513025994967734e2	3.80543066497019936e2	3.84633112896293738e0	3.80607232483285486e2	3.81836678179965531e2	-1.35385985447501740e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87871033564062406e0	2.58778509765815468e0
RIGHT	6	23852261	5.23443741710589938e-1	9.30179043067665816e1	-9.33199949933475104e-1	-3.84634075252449747e0	3.80513025994967734e2	3.80543066497019936e2	3.84633112880816608e0	3.80607232483283497e2	3.81836678179960700e2	-1.35385985788601941e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87871033564062451e0	2.58778509765719988e0
LEFT	7	23996775	5.26572920203642325e-1	-2.20225631336101957e0	9.26347162641771575e1	4.19883063955169966e0	3.78225302681095002e2	3.78255162573411894e2	4.19881899756445698e0	3.78324471110107083e2	3.79560616745421953e2	-7.94815180210274409e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88069083469792231e0	2.58587699074714505e0
GROUP	7	23996776	5.26572920203642436e-1	-2.20225631356672924e0	9.26347162639714554e1	4.19883063942313406e0	3.78225302681095116e2	3.78255162573412008e2	4.19881899744824594e0	3.78324471110105321e2	3.79560616745418315e2	-7.94815183163573195e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88069083469792231e0	2.58587699074664235e0
GROUP	7	23996777	5.26572920203642436e-1	-2.20225631482270945e0	9.26347162627154859e1	4.19883063924048994e0	3.78225302681095172e2	3.78255162573412065e2	4.19881899738598463e0	3.78324471110104298e2	3.79560616745416553e2	-7.94815184560571591e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88069083469792275e0	2.58587699074637278e0
GROUP	7	23996778	5.26572920203642436e-1	-2.20225631512690656e0	9.26347162624112599e1	4.19883063929404354e0	3.78225302681095229e2	3.78255162573412122e2	4.19881899730761265e0	3.78324471110103104e2	3.79560616745414279e2	-7.94815186330465230e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88069083469792320e0	2.58587699074603439e0
RIGHT	7	23996779	5.26572920203642547e-1	-2.20225631295233537e0	9.26347162645938340e1	4.19883063913297505e0	3.78225302681095400e2	3.78255162573412292e2	4.19881899715086959e0	3.78324471110100944e2	3.79560616745409163e2	-7.94815190359562436e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88069083469792320e0	2.58587699074535804e0
LEFT	8	23997183	5.26580668647610772e-1	-2.21301019179553649e0	9.30346533678653884e1	4.23152161831744600e0	3.78222721736618382e2	3.78252581425176515e2	4.23151002026002576e0	3.78322368514637787e2	3.79559121894497082e2	-8.89839615425448303e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88072388241543909e0	2.59834652635205154e0
GROUP	8	23997184	5.26580668647610883e-1	-2.21301019129467091e0	9.30346533683742223e1	4.23152161815186023e0	3.78222721736618439e2	3.78252581425176572e2	4.23151002010006394e0	3.78322368514635571e2	3.79559121894492080e2	-8.89839619375362328e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88072388241543909e0	2.59834652635135566e0
GROUP	8	23997185	5.26580668647610883e-1	-2.21301019193045345e0	9.30346533677384571e1	4.23152161814279459e0	3.78222721736618496e2	3.78252581425176629e2	4.23151002001587528e0	3.78322368514634491e2	3.79559121894489408e2	-8.89839621352377376e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88072388241543864e0	2.59834652635098928e0
