wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid
10.041422	1.69120568391395963e-2	3.382411	1.684229318411e-3	285040	false
20.140922	2.94834673076224546e-2	5.896693	1.244755655507e-3	563911	false
30.156505	4.09220663577161969e-2	8.184413	1.142080234614e-3	835085	false
40.207693	5.65192541293762230e-2	11.303851	1.551775471295e-3	1088664	false
50.267645	6.00047303376147964e-2	12.000946	3.464704826407e-4	1263342	false
60.276442	6.67363233720426191e-2	13.347265	6.725676624843e-4	1443878	false
70.381817	7.30713591287711767e-2	14.614272	6.268976133602e-4	1625182	false
80.438044	7.67584985738292147e-2	15.351700	3.666523591199e-4	1802065	false
90.505908	8.24045196089733395e-2	16.480904	5.607963571758e-4	1984489	false
100.509045	8.61711171472783477e-2	17.234223	3.765415982023e-4	2160741	false
110.591461	9.05466322285583963e-2	18.109326	4.339748662946e-4	2343290	false
120.636785	9.43661402285537881e-2	18.873228	3.802274539315e-4	2520940	false
130.650392	9.82641871292966179e-2	19.652837	3.892750246470e-4	2697714	false
140.704684	1.02131196614318770e-1	20.426239	3.846128070349e-4	2875762	false
150.710762	1.07688578516875036e-1	21.537716	5.554005946140e-4	3053664	false
160.784050	1.11233449167165252e-1	22.246690	3.519080002341e-4	3227862	false
170.843199	1.16006560292374911e-1	23.201312	4.745044699699e-4	3409585	false
180.855856	1.19769118105605435e-1	23.953824	3.757801501115e-4	3584652	false
190.936326	1.23928216787251300e-1	24.785643	4.125897618170e-4	3764257	false
200.969219	1.27365615114699432e-1	25.473123	3.426128833141e-4	3920086	false
211.045925	1.31245202536381250e-1	26.249041	3.850055108882e-4	4095136	false
221.048078	1.35112780368857738e-1	27.022556	3.866745547591e-4	4269746	false
231.106865	1.39016727021423314e-1	27.803345	3.881130714251e-4	4447313	false
241.156683	1.42946790481167568e-1	28.589358	3.910581658730e-4	4623340	false
251.161584	1.46857139197323766e-1	29.371428	3.908433258287e-4	4801807	false
261.256411	1.50828558404214969e-1	30.165712	3.934113256421e-4	4979148	false
271.349847	1.54716837192222983e-1	30.943367	3.852284566141e-4	5156453	false
281.432280	1.58682335464473384e-1	31.736467	3.933076448184e-4	5334263	false
291.432516	1.62561612774403619e-1	32.512323	3.879185987297e-4	5509642	false
301.519801	1.66521604618403957e-1	33.304321	3.925726208350e-4	5688625	false
311.609811	1.70523482237250140e-1	34.104696	3.966177738897e-4	5867277	false
321.673178	1.74367001294463919e-1	34.873400	3.819317174036e-4	6042368	false
331.751273	1.78407800117772464e-1	35.681560	4.009486819788e-4	6220771	false
341.799855	1.82352793116673767e-1	36.470559	3.925920077492e-4	6400632	false
351.815557	1.86372745270768053e-1	37.274549	4.013649987911e-4	6577498	false
361.875454	1.90260821780706996e-1	38.052164	3.864926758136e-4	6754838	false
371.882581	1.94288663989612559e-1	38.857733	4.024973710766e-4	6931373	false
381.889118	1.98249741861513479e-1	39.649948	3.958490025277e-4	7112772	false
391.911357	2.02254667417351625e-1	40.450933	3.996039064266e-4	7288106	false
401.942451	2.06228104869092460e-1	41.245621	3.961120413964e-4	7470200	false
411.958201	2.10222746407040861e-1	42.044549	3.988359970704e-4	7643868	false
421.978027	2.14182222088284219e-1	42.836444	3.951641058889e-4	7825361	false
432.059716	2.18147201416654224e-1	43.629440	3.932852332752e-4	7997206	false
442.064706	2.21839377880161503e-1	44.367876	3.690335140159e-4	8166627	false
452.140073	2.25928882907893563e-1	45.185777	4.058914091379e-4	8344273	false
462.236964	2.29821486674047420e-1	45.964297	3.855250039948e-4	8522643	false
472.264224	2.33875779667650857e-1	46.775156	4.043270734336e-4	8699915	false
482.287506	2.37748551330395547e-1	47.549710	3.863775955041e-4	8875104	false
492.390664	2.41637480677810046e-1	48.327496	3.849221579394e-4	9048568	false
502.484449	2.45575844924657311e-1	49.115169	3.901771627951e-4	9223539	false
512.575576	2.49390058139613402e-1	49.878012	3.779769436259e-4	9396693	false
522.659342	2.53413701175589756e-1	50.682740	3.990218505011e-4	9571424	false
531.856113	2.57011787575582462e-1	51.402358	3.912336481698e-4	9737174	true
