 time                     v(out)                  
 0.00000000000000000e+00  0.00000000000000000e+00 
 1.00000000000000006e-09  9.99000999000999085e-07 
 1.28056027999999998e-09  1.35789437848763845e-06 
 1.84168083999999981e-09  2.23286379722316195e-06 
 2.96392195999999946e-09  4.92536969950843129e-06 
 5.20840419999999919e-09  1.40753667545530933e-05 
 9.69736867999999783e-09  4.73931442758597241e-05 
 1.86752976399999951e-08  1.73764267821836674e-04 
 3.66311555599999896e-08  6.62791140652613611e-04 
 7.25428713999999787e-08  2.56514411055497804e-03 
 1.44366303079999957e-07  9.90683459242573498e-03 
 2.44366303079999979e-07  2.74744030198137527e-02 
 3.44366303079999974e-07  5.28926792160219553e-02 
 4.44366303079999970e-07  8.54139767268769917e-02 
 5.44366303080000018e-07  1.24361817331936325e-01 
 6.44366303080000014e-07  1.69124149307942423e-01 
 7.44366303080000009e-07  2.19147211571947914e-01 
 8.44366303080000005e-07  2.73929982191762400e-01 
 9.44366303080000000e-07  3.33019155609689754e-01 
 9.99999999999999955e-07  3.67615840889797596e-01 
 1.00999999999999986e-06  3.73882281235338898e-01 
 1.02999999999999988e-06  3.86301496093628072e-01 
 1.06999999999999992e-06  4.10471303264362875e-01 
 1.15000000000000000e-06  4.56265008681274176e-01 
 1.25000000000000010e-06  5.09051799834435936e-01 
 1.35000000000000020e-06  5.57312530677271489e-01 
 1.45000000000000030e-06  6.01478254572669013e-01 
 1.55000000000000041e-06  6.41938972182289347e-01 
 1.65000000000000051e-06  6.79047541247635222e-01 
 1.75000000000000061e-06  7.13123214011018192e-01 
 1.85000000000000071e-06  7.44454837739292108e-01 
 1.95000000000000081e-06  7.73303750435800574e-01 
 2.05000000000000070e-06  7.99906400770235559e-01 
 2.15000000000000059e-06  8.24476718491365945e-01 
 2.25000000000000048e-06  8.47208259086173143e-01 
 2.35000000000000037e-06  8.68276144185735510e-01 
 2.45000000000000026e-06  8.87838817170552574e-01 
 2.55000000000000015e-06  9.06039631575362048e-01 
 2.65000000000000004e-06  9.23008288217307182e-01 
 2.74999999999999993e-06  9.38862135454756386e-01 
 2.84999999999999982e-06  9.53707345611947588e-01 
 2.94999999999999971e-06  9.67639979363190572e-01 
 3.04999999999999960e-06  9.80746948747147074e-01 
 3.14999999999999949e-06  9.93106888465463800e-01 
 3.24999999999999938e-06  1.00479094420058246e+00 
 3.34999999999999927e-06  1.01586348585566455e+00 
 3.44999999999999916e-06  1.02638275286690428e+00 
 3.54999999999999905e-06  1.03640143805752505e+00 
 3.64999999999999893e-06  1.04596721588663311e+00 
 3.74999999999999882e-06  1.05512322038865780e+00 
 3.84999999999999871e-06  1.06390847759475027e+00 
 3.94999999999999860e-06  1.07235829677118999e+00 
 4.04999999999999849e-06  1.08050462439699158e+00 
 4.14999999999999838e-06  1.08837636442935848e+00 
 4.24999999999999827e-06  1.09599966806766491e+00 
 4.34999999999999816e-06  1.10339819592086985e+00 
 4.44999999999999805e-06  1.11059335520660141e+00 
 4.54999999999999794e-06  1.11760451435985741e+00 
 4.64999999999999783e-06  1.12444919720277814e+00 
 4.74999999999999772e-06  1.13114325862206244e+00 
 4.84999999999999761e-06  1.13770104351519930e+00 
 4.94999999999999750e-06  1.14413553059896467e+00 
 5.04999999999999739e-06  1.15045846252187034e+00 
 5.14999999999999728e-06  1.15668046358495036e+00 
 5.24999999999999717e-06  1.16281114625104531e+00 
 5.34999999999999706e-06  1.16885920751034411e+00 
 5.44999999999999695e-06  1.17483251606825601e+00 
 5.54999999999999684e-06  1.18073819122967505e+00 
 5.64999999999999673e-06  1.18658267427045772e+00 
 5.74999999999999662e-06  1.19237179301161711e+00 
 5.84999999999999651e-06  1.19811082024359328e+00 
 5.94999999999999640e-06  1.20380452658630843e+00 
 6.04999999999999629e-06  1.20945722831493052e+00 
 6.14999999999999617e-06  1.21507283063080163e+00 
 6.24999999999999606e-06  1.22065486681132662e+00 
 6.34999999999999595e-06  1.22620653363130061e+00 
 6.44999999999999584e-06  1.23173072341077550e+00 
 6.54999999999999573e-06  1.23723005301075140e+00 
 6.64999999999999562e-06  1.24270689006737101e+00 
 6.74999999999999551e-06  1.24816337672762123e+00 
 6.84999999999999540e-06  1.25360145112448929e+00 
 6.94999999999999529e-06  1.25902286680686859e+00 
 7.04999999999999518e-06  1.26442921031899624e+00 
 7.14999999999999507e-06  1.26982191710565839e+00 
 7.24999999999999496e-06  1.27520228590261331e+00 
 7.34999999999999485e-06  1.28057149175649920e+00 
 7.44999999999999474e-06  1.28593059780475216e+00 
 7.54999999999999463e-06  1.29128056593362284e+00 
 7.64999999999999452e-06  1.29662226642114708e+00 
 7.74999999999999526e-06  1.30195648666173946e+00 
 7.84999999999999599e-06  1.30728393905986939e+00 
 7.94999999999999673e-06  1.31260526817196199e+00 
 8.04999999999999747e-06  1.31792105716811592e+00 
 8.14999999999999820e-06  1.32323183367842057e+00 
 8.24999999999999894e-06  1.32853807508248045e+00 
 8.34999999999999968e-06  1.33384021329517632e+00 
 8.45000000000000041e-06  1.33913863909663822e+00 
 8.55000000000000115e-06  1.34443370604984058e+00 
 8.65000000000000188e-06  1.34972573404509366e+00 
 8.75000000000000262e-06  1.35501501250696421e+00 
 8.85000000000000336e-06  1.36030180329577433e+00 
 8.95000000000000409e-06  1.36558634333276818e+00 
 9.05000000000000483e-06  1.37086884697526123e+00 
 9.15000000000000557e-06  1.37614950816558723e+00 
 9.25000000000000630e-06  1.38142850237538095e+00 
 9.35000000000000704e-06  1.38670598836469305e+00 
 9.45000000000000778e-06  1.39198210977356918e+00 
 9.55000000000000851e-06  1.39725699656205138e+00 
 9.65000000000000925e-06  1.40253076631303397e+00 
 9.75000000000000999e-06  1.40780352541104059e+00 
 9.85000000000001072e-06  1.41307537010873574e+00 
 9.95000000000001146e-06  1.41834638749186381e+00 
 1.00500000000000122e-05  1.42361665635228762e+00 
 1.01500000000000129e-05  1.42888624797788388e+00 
 1.02500000000000137e-05  1.43415522686720820e+00 
 1.03500000000000144e-05  1.43942365137609563e+00 
 1.04500000000000151e-05  1.44469157430268313e+00 
 1.05500000000000159e-05  1.44995904341671333e+00 
 1.06500000000000166e-05  1.45522610193842983e+00 
 1.07500000000000174e-05  1.46049278897186219e+00 
 1.08500000000000181e-05  1.46575913989684747e+00 
 1.09500000000000188e-05  1.47102518672371407e+00 
 1.10500000000000196e-05  1.47629095841418723e+00 
 1.11500000000000203e-05  1.48155648117173300e+00 
 1.12500000000000210e-05  1.48682177870424947e+00 
 1.13500000000000218e-05  1.49208687246173954e+00 
 1.14500000000000225e-05  1.49735178185134821e+00 
 1.15500000000000232e-05  1.50261652443192162e+00 
 1.16500000000000240e-05  1.50788111609003450e+00 
 1.17500000000000247e-05  1.51314557119925452e+00 
 1.18500000000000255e-05  1.51840990276423748e+00 
 1.19500000000000262e-05  1.52367412255110168e+00 
 1.20500000000000269e-05  1.52893824120538269e+00 
 1.21500000000000277e-05  1.53420226835875462e+00 
 1.22500000000000284e-05  1.53946621272558981e+00 
 1.23500000000000291e-05  1.54473008219032071e+00 
 1.24500000000000299e-05  1.54999388388648085e+00 
 1.25500000000000306e-05  1.55525762426821967e+00 
 1.26500000000000314e-05  1.56052130917500564e+00 
 1.27500000000000321e-05  1.56578494389016787e+00 
 1.28500000000000328e-05  1.57104853319386129e+00 
 1.29500000000000336e-05  1.57631208141098722e+00 
 1.30500000000000343e-05  1.58157559245455248e+00 
 1.31500000000000350e-05  1.58683906986489598e+00 
 1.32500000000000358e-05  1.59210251684518189e+00 
 1.33500000000000365e-05  1.59736593629351087e+00 
 1.34500000000000372e-05  1.60262933083197368e+00 
 1.35500000000000380e-05  1.60789270283293839e+00 
 1.36500000000000387e-05  1.61315605444283383e+00 
 1.37500000000000395e-05  1.61841938760366655e+00 
 1.38500000000000402e-05  1.62368270407249060e+00 
 1.39500000000000409e-05  1.62894600543902057e+00 
 1.40500000000000417e-05  1.63420929314157015e+00 
 1.41500000000000424e-05  1.63947256848147060e+00 
