role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
LEFT	1	22822236	5.01430997312117044e-1	9.48827895628456019e1	-1.00980972225674748e0	-6.62273380668689349e0	3.71912654975152520e2	3.71966236911231192e2	6.62272237739027503e0	3.72071557124947617e2	3.73348443083029395e2	-6.58674781043060061e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.14924306578844693e0	3.03692156276939640e0
GROUP	1	22822237	5.01430997312117155e-1	9.48827895624152688e1	-1.00980972269162805e0	-6.62273379563720699e0	3.71912654975152691e2	3.71966236911231363e2	6.62272237722086476e0	3.72071557124945400e2	3.73348443083024506e2	-6.58674785078454533e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.14924306578844737e0	3.03692156276865877e0
GROUP	1	22822238	5.01430997312117155e-1	9.48827895614491297e1	-1.00980972365776722e0	-6.62273386579960022e0	3.71912654975152748e2	3.71966236911231420e2	6.62272237713491307e0	3.72071557124944150e2	3.73348443083022119e2	-6.58674787069836869e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.14924306578844782e0	3.03692156276828396e0
RIGHT	1	22822239	5.01430997312117266e-1	9.48827895627934339e1	-1.00980972232257216e0	-6.62273381003253370e0	3.71912654975152805e2	3.71966236911231476e2	6.62272237702014532e0	3.72071557124942501e2	3.73348443083019049e2	-6.58674789478085624e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.14924306578844915e0	3.03692156276778391e0
LEFT	2	22822640	5.01438749634096292e-1	9.53495931193184987e1	-1.01068525407761456e0	-6.65661230750303989e0	3.71906633030593980e2	3.71960214099083316e2	6.65660089500239760e0	3.72066035605528100e2	3.73343445112044378e2	-8.79780073837236648e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.14930046639549266e0	3.05020485561534738e0
GROUP	2	22822641	5.01438749634096403e-1	9.53495931209952516e1	-1.01068525240994234e0	-6.65661230663048809e0	3.71906633030594151e2	3.71960214099083487e2	6.65660089485789896e0	3.72066035605526110e2	3.73343445112040285e2	-8.79780076880851169e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.14930046639549266e0	3.05020485561470878e0
GROUP	2	22822642	5.01438749634096403e-1	9.53495931204996481e1	-1.01068525290554589e0	-6.65661224482503577e0	3.71906633030594151e2	3.71960214099083487e2	6.65660089478144812e0	3.72066035605525315e2	3.73343445112038012e2	-8.79780078627074133e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.14930046639549266e0	3.05020485561437127e0
RIGHT	2	22822643	5.01438749634096514e-1	9.53495931213002734e1	-1.01068525211401550e0	-6.65661226892644819e0	3.71906633030594094e2	3.71960214099083430e2	6.65660089468277416e0	3.72066035605524291e2	3.73343445112035170e2	-8.79780080692428789e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.14930046639549266e0	3.05020485561393517e0
LEFT	3	22823041	5.01446494918889263e-1	9.58147428161157251e1	-1.01196818547118994e0	-6.70632528476662060e0	3.71900657646952311e2	3.71954237854560461e2	6.70631394214120036e0	3.72060785392255241e2	3.73338961453565901e2	-8.52686784762137870e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.14935793454582003e0	3.06326328235092893e0
GROUP	3	22823042	5.01446494918889374e-1	9.58147428169771160e1	-1.01196818461886551e0	-6.70632525337957919e0	3.71900657646952538e2	3.71954237854560688e2	6.70631394198287634e0	3.72060785392253138e2	3.73338961453561467e2	-8.52686788321003041e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.14935793454582091e0	3.06326328235023260e0
