runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.007	LL09	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
15.021	LL09	10.084453	1.65104549712243726e-2	2.540070	1.637218700904e-3	250507	false	0	0
25.035	LL09	20.180250	2.50775195828340236e-2	3.858080	8.485773027450e-4	499544	false	0	0
35.059	LL09	30.224199	3.33532985561589973e-2	5.131277	8.239567208385e-4	742084	false	0	0
45.083	LL09	40.238995	4.16769717031107920e-2	6.411842	8.311375358372e-4	975514	false	0	0
55.106	LL09	50.313234	5.06592062146807853e-2	7.793724	8.916042923412e-4	1205604	false	0	0
65.128	LL09	60.403525	5.83956531054998507e-2	8.983947	7.667219027382e-4	1377232	false	0	0
75.153	LL09	70.447650	6.47125209220053010e-2	9.955772	6.289116878850e-4	1543529	false	0	0
85.179	LL09	80.541857	6.75718612157751863e-2	10.395671	2.832654843915e-4	1701424	false	0	0
95.204	LL09	90.605118	7.33906920470500795e-2	11.290876	5.782251584967e-4	1868152	false	0	0
105.231	LL09	100.636966	7.63128858179653591e-2	11.740444	2.912916774162e-4	2026390	false	0	0
115.255	LL09	110.703388	8.14727757358839205e-2	12.534273	5.125843064643e-4	2191184	false	0	0
125.280	LL09	120.808685	8.44915268034190786e-2	12.998696	2.987295554826e-4	2350547	false	0	0
135.305	LL09	130.825447	8.86086756192382002e-2	13.632104	4.110259199349e-4	2515833	false	0	0
145.328	LL09	140.932546	9.16844333612560902e-2	14.105297	3.043165866500e-4	2676987	false	0	0
155.353	LL09	150.936956	9.48589083195709171e-2	14.593678	3.173075565990e-4	2837595	false	0	0
165.377	LL09	160.963500	9.80944862300961173e-2	15.091459	3.227012223508e-4	2998141	false	0	0
175.402	LL09	170.996895	1.01206830761730884e-1	15.570282	3.101985476881e-4	3158286	false	0	0
185.423	LL09	181.057457	1.06400139931803861e-1	16.369252	5.162046739763e-4	3323042	false	0	0
195.440	LL09	191.089619	1.08871102336283804e-1	16.749400	2.463040752123e-4	3475190	false	0	0
205.456	LL09	201.146494	1.13350178564376347e-1	17.438489	4.453745439561e-4	3639449	false	0	0
215.481	LL09	211.167922	1.16438302212921840e-1	17.913585	3.081520579191e-4	3800041	false	0	0
225.506	LL09	221.276310	1.19606374670784027e-1	18.400981	3.134102443927e-4	3961191	false	0	0
235.530	LL09	231.373006	1.23595241928347893e-1	19.014653	3.950666126709e-4	4125793	false	0	0
245.555	LL09	241.390596	1.26739838518492853e-1	19.498437	3.139074865795e-4	4284021	false	0	0
255.579	LL09	251.482992	1.30163351877845501e-1	20.025131	3.392171125914e-4	4444986	false	0	0
265.598	LL09	261.484826	1.33300288013862039e-1	20.507737	3.136360875055e-4	4603631	false	0	0
275.623	LL09	271.492038	1.36498305568609340e-1	20.999739	3.195712766754e-4	4763554	false	0	0
285.647	LL09	281.527022	1.39775766503914600e-1	21.503964	3.266035228073e-4	4925237	false	0	0
295.672	LL09	291.593201	1.43009156737723991e-1	22.001409	3.212132528325e-4	5085139	false	0	0
305.697	LL09	301.600831	1.46203712199998531e-1	22.492879	3.192119967630e-4	5245867	false	0	0
315.721	LL09	311.710557	1.49404740371199413e-1	22.985345	3.166285562070e-4	5408460	false	0	0
325.746	LL09	321.714779	1.52654522366119594e-1	23.485311	3.248410529638e-4	5568203	false	0	0
335.762	LL09	331.734672	1.55870874964940120e-1	23.980135	3.209967184759e-4	5730120	false	0	0
345.787	LL09	341.804681	1.59125711009596577e-1	24.480879	3.232207775621e-4	5889226	false	0	0
355.813	LL09	351.878477	1.62337232526442249e-1	24.974959	3.187995306978e-4	6052289	false	0	0
365.831	LL09	361.913869	1.65416178884655096e-1	25.448643	3.068087807310e-4	6208766	false	0	0
375.877	LL09	371.940135	1.68639502404797997e-1	25.944539	3.214879091109e-4	6365811	false	0	0
385.893	LL09	381.949423	1.71726492893480714e-1	26.419460	3.084126029530e-4	6521717	false	0	0
395.907	LL09	391.975417	1.74894466148178107e-1	26.906841	3.159759840691e-4	6680224	false	0	0
405.921	LL09	402.012860	1.78141087342840870e-1	27.406321	3.234510110746e-4	6840189	false	0	0
415.936	LL09	412.041748	1.81380587768275370e-1	27.904706	3.230169354466e-4	7003494	false	0	0
425.950	LL09	422.063004	1.84637640694357036e-1	28.405791	3.250144148942e-4	7161079	false	0	0
435.965	LL09	432.131701	1.87865322768299370e-1	28.902357	3.205660243055e-4	7324514	false	0	0
445.979	LL09	442.151711	1.91029158082904937e-1	29.389101	3.157517122843e-4	7485292	false	0	0
455.994	LL09	452.217271	1.94311697152128315e-1	29.894107	3.261159113895e-4	7644117	false	0	0
466.008	LL09	462.232358	1.97549486723620965e-1	30.392229	3.232912077042e-4	7807989	false	0	0
476.023	LL09	472.281818	2.00819775641934151e-1	30.895350	3.254193649513e-4	7965689	false	0	0
486.038	LL09	482.300530	2.04009076741718087e-1	31.386012	3.183344266825e-4	8127821	false	0	0
496.052	LL09	492.399203	2.07231213524563584e-1	31.881725	3.190653751334e-4	8291553	false	0	0
506.067	LL09	502.444089	2.10546291300902966e-1	32.391737	3.300264032658e-4	8450132	false	0	0
516.077	LL09	512.499922	2.13791663384910957e-1	32.891025	3.227353045799e-4	8614545	false	0	0
