runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.005	LL01	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
15.020	LL01	10.040722	1.65203766186874379e-2	2.541596	1.645337593477e-3	234527	false	0	0
25.038	LL01	20.126330	2.53159818457716207e-2	3.894766	8.720946764626e-4	460416	false	0	0
35.053	LL01	30.200638	4.10422769908799917e-2	6.314196	1.561029730184e-3	679436	false	0	0
45.067	LL01	40.271257	5.71566143810557301e-2	8.793325	1.600133767804e-3	876899	false	0	0
55.084	LL01	50.309696	5.98960573957057416e-2	9.214778	2.728953282003e-4	1026522	false	0	0
65.101	LL01	60.379715	6.58988303100974254e-2	10.138282	5.961034101144e-4	1184979	false	0	0
75.112	LL01	70.452642	6.87414306257886770e-2	10.575605	2.822020321049e-4	1334234	false	0	0
85.121	LL01	80.492287	7.40859009498775617e-2	11.397831	5.323365707657e-4	1490864	false	0	0
95.137	LL01	90.535747	7.69962260320047193e-2	11.845573	2.897731492668e-4	1641374	false	0	0
105.148	LL01	100.579771	8.13588750737217481e-2	12.516750	4.343527134346e-4	1792362	false	0	0
115.168	LL01	110.638126	8.42818413746739409e-2	12.966437	2.906008337538e-4	1942392	false	0	0
125.183	LL01	120.693188	8.72609562941416977e-2	13.424763	2.962801008857e-4	2090678	false	0	0
135.199	LL01	130.755300	9.03049430762706551e-2	13.893068	3.025196667880e-4	2241220	false	0	0
145.214	LL01	140.826171	9.32639298946316975e-2	14.348297	2.938163757992e-4	2391046	false	0	0
155.226	LL01	150.880325	9.62681184488084485e-2	14.810480	2.988007460525e-4	2542033	false	0	0
165.241	LL01	160.943964	9.92453813020486436e-2	15.268520	2.958435517528e-4	2694042	false	0	0
175.255	LL01	170.975766	1.02248739401843647e-1	15.730575	2.993837285574e-4	2844206	false	0	0
185.271	LL01	181.052076	1.07309411672674632e-1	16.509140	5.022346576859e-4	3000784	false	0	0
195.286	LL01	191.113717	1.10334840756557223e-1	16.974591	3.006894373774e-4	3152543	false	0	0
205.301	LL01	201.180289	1.13525713813854554e-1	17.465494	3.169771125101e-4	3305713	false	0	0
215.317	LL01	211.182111	1.16485730817209157e-1	17.920882	2.959477934449e-4	3456492	false	0	0
225.332	LL01	221.274298	1.19536529177464435e-1	18.390235	3.022930755143e-4	3608486	false	0	0
235.343	LL01	231.335449	1.22565006422138634e-1	18.856155	3.010070525250e-4	3761335	false	0	0
245.359	LL01	241.410802	1.25626155156845998e-1	19.327101	3.038254537314e-4	3912876	false	0	0
255.374	LL01	251.496321	1.28652979958457092e-1	19.792766	3.001159176148e-4	4066219	false	0	0
265.390	LL01	261.575797	1.31660285838593766e-1	20.255429	2.983593472653e-4	4218117	false	0	0
275.405	LL01	271.615535	1.34680120872149367e-1	20.720019	3.007882310829e-4	4365723	false	0	0
285.420	LL01	281.702186	1.37707485136332214e-1	21.185767	3.001357005405e-4	4519183	false	0	0
295.451	LL01	291.761917	1.40684242181868396e-1	21.643730	2.959082213118e-4	4671176	false	0	0
305.483	LL01	301.838558	1.43528618661325214e-1	22.081326	2.822742778949e-4	4809224	false	0	0
315.560	LL01	311.898109	1.46490894248984954e-1	22.537061	2.944739345939e-4	4959255	false	0	0
