wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
10.031491	1.66070843374224036e-2	2.554936	1.655495155336e-3	242360	false	0	0
20.041813	2.55097643059197035e-2	3.924579	8.893499764534e-4	472014	false	0	0
30.041882	4.16474392622521242e-2	6.407298	1.613756394280e-3	695426	false	0	0
40.097202	5.74442137775545078e-2	8.837571	1.570986668291e-3	892230	false	0	0
50.194291	6.02819043023686552e-2	9.274139	2.810404668709e-4	1045930	false	0	0
60.217981	6.62641089018544682e-2	10.194478	5.968066374976e-4	1206110	false	0	0
70.303564	6.92830123156445710e-2	10.658925	2.993285912406e-4	1361021	false	0	0
80.373617	7.46374095654463304e-2	11.482678	5.317149245914e-4	1521048	false	0	0
90.478038	7.77029927385500530e-2	11.954307	3.033902743495e-4	1676868	false	0	0
100.566975	8.22419325198793377e-2	12.652605	4.498927779807e-4	1837886	false	0	0
110.603628	8.52548658188006930e-2	13.116133	3.001930298881e-4	1992342	false	0	0
120.657757	8.84918357025935992e-2	13.614129	3.219542833589e-4	2148845	false	0	0
130.691970	9.15065356370015626e-2	14.077929	3.004420871724e-4	2304288	false	0	0
140.738320	9.46257725100038277e-2	14.557811	3.104845912199e-4	2460692	false	0	0
150.744737	9.77483814370047888e-2	15.038213	3.120606550800e-4	2616795	false	0	0
160.814056	1.00854330369272618e-1	15.516051	3.084566818109e-4	2773233	false	0	0
170.848570	1.06050135178376109e-1	16.315405	5.177933903431e-4	2933740	false	0	0
180.885388	1.09136715749027946e-1	16.790264	3.075258213201e-4	3088833	false	0	0
190.926426	1.12289938732176617e-1	17.275375	3.140335373997e-4	3244370	false	0	0
200.953751	1.15524571186808381e-1	17.773011	3.225818014327e-4	3400484	false	0	0
211.017458	1.18650847103495535e-1	18.253976	3.106485494164e-4	3555339	false	0	0
221.043983	1.21745259123438629e-1	18.730040	3.086225908800e-4	3710367	false	0	0
231.146202	1.24803558010322363e-1	19.200547	3.027353481220e-4	3865657	false	0	0
241.226167	1.27909646729402249e-1	19.678407	3.081447997206e-4	4019740	false	0	0
251.271782	1.30982132864695733e-1	20.151097	3.058534528194e-4	4174339	false	0	0
261.293817	1.34100030392346498e-1	20.630774	3.111042345842e-4	4327102	false	0	0
271.342104	1.37142213944088903e-1	21.098802	3.027564489753e-4	4481602	false	0	0
281.378831	1.40197164457891960e-1	21.568795	3.043771502019e-4	4636674	false	0	0
291.399384	1.43354181526220481e-1	22.054489	3.150541864862e-4	4790586	false	0	0
301.399971	1.46436679287102661e-1	22.528720	3.082316623306e-4	4946369	false	0	0
311.433477	1.49503902565140567e-1	23.000600	3.056980812773e-4	5101845	false	0	0
321.460513	1.52630500583492340e-1	23.481615	3.118167545690e-4	5254896	false	0	0
331.470785	1.55728500310238938e-1	23.958231	3.094820868802e-4	5411218	false	0	0
341.579135	1.58937937751227304e-1	24.451990	3.175035848197e-4	5567283	false	0	0
351.644716	1.62042625493855397e-1	24.929635	3.084459637636e-4	5724686	false	0	0
361.673017	1.65151833123867053e-1	25.407974	3.100432862435e-4	5882428	false	0	0
371.700625	1.68357793155613278e-1	25.901199	3.197133425749e-4	6036787	false	0	0
381.740567	1.71470329119299963e-1	26.380051	3.100153305622e-4	6194242	false	0	0
391.827600	1.74608180525124362e-1	26.862797	3.110777569825e-4	6351603	false	0	0
401.870617	1.77818759036052765e-1	27.356732	3.196826695001e-4	6507590	false	0	0
411.925714	1.80931790256369490e-1	27.835660	3.095973207633e-4	6664904	false	0	0
422.031379	1.84188544724635694e-1	28.336699	3.222701975723e-4	6820850	false	0	0
432.046051	1.87263449383711811e-1	28.809761	3.070399602670e-4	6976904	false	0	0
442.077325	1.90340717679672256e-1	29.283187	3.067674527336e-4	7133634	false	0	0
452.121673	1.93575873387239999e-1	29.780904	3.220871678272e-4	7287304	false	0	0
462.197840	1.96685789765720737e-1	30.259352	3.086408146514e-4	7444965	false	0	0
472.221465	1.99804399509775743e-1	30.739138	3.111259432536e-4	7600141	false	0	0
482.269367	2.03009908596653105e-1	31.232294	3.190227233903e-4	7755244	false	0	0
492.315617	2.06141180641546906e-1	31.714028	3.116856764073e-4	7913779	false	0	0
502.399243	2.09425073821855989e-1	32.219242	3.256658827975e-4	8068453	false	0	0
512.507140	2.12561090499820332e-1	32.701706	3.102541342765e-4	8227891	false	0	0
522.602157	2.15689319198603707e-1	33.182972	3.098784948122e-4	8386714	false	0	0
532.657437	2.18984549201523410e-1	33.689931	3.277114129774e-4	8541917	false	0	0
542.767412	2.22168358423195156e-1	34.179747	3.149176234759e-4	8702976	false	0	0
552.875441	2.25449584661988500e-1	34.684551	3.246158141069e-4	8860238	false	0	0
562.919095	2.28616927087109262e-1	35.171835	3.153575883797e-4	9017599	false	0	0
572.934252	2.31753746600191435e-1	35.654423	3.132072035743e-4	9177134	false	0	0
582.945785	2.35076352734668897e-1	36.165593	3.318778738958e-4	9331655	false	0	0
