role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
LEFT	1	22307583	5.01895756088211464e-1	9.89969244088755431e1	-1.10230377200856822e0	-1.03763869279502146e1	3.69370032394304474e2	3.69417926449750610e2	1.03763763227366805e1	3.69578785478240661e2	3.70909467495308945e2	-8.81481127340997284e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44903349447255847e0	3.68450592861403869e0
GROUP	1	22307584	5.01895756088211575e-1	9.89969244077633448e1	-1.10230377312403505e0	-1.03763870362676549e1	3.69370032394304701e2	3.69417926449750837e2	1.03763763226306978e1	3.69578785478239524e2	3.70909467495306387e2	-8.81481129388412798e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44903349447255891e0	3.68450592861356618e0
GROUP	1	22307585	5.01895756088211575e-1	9.89969244078436219e1	-1.10230377304375793e0	-1.03763869883914310e1	3.69370032394304815e2	3.69417926449750951e2	1.03763763225736199e1	3.69578785478238899e2	3.70909467495304966e2	-8.81481130375839254e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44903349447255980e0	3.68450592861331172e0
GROUP	1	22307586	5.01895756088211575e-1	9.89969244085462918e1	-1.10230377234108801e0	-1.03763869376752798e1	3.69370032394304928e2	3.69417926449751064e2	1.03763763225022334e1	3.69578785478237990e2	3.70909467495303261e2	-8.81481131527150322e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44903349447256069e0	3.68450592861299420e0
RIGHT	1	22307587	5.01895756088211686e-1	9.89969244060278726e1	-1.10230377486607267e0	-1.03763869775512916e1	3.69370032394305326e2	3.69417926449751462e2	1.03763763223594605e1	3.69578785478236227e2	3.70909467495299680e2	-8.81481134242570916e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44903349447256202e0	3.68450592861235693e0
LEFT	2	22307982	5.01903512379013539e-1	9.93321893549230310e1	-1.10393186550906819e0	-1.04450054581487262e1	3.69368552412190240e2	3.69416446275735723e2	1.04449948554756151e1	3.69578334839866216e2	3.70909941714121146e2	-1.16593844175243712e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44909130527591534e0	3.69956668234909980e0
GROUP	2	22307983	5.01903512379013650e-1	9.93321893545207075e1	-1.10393186591464598e0	-1.04450054826766046e1	3.69368552412190581e2	3.69416446275736064e2	1.04449948553589014e1	3.69578334839864567e2	3.70909941714118304e2	-1.16593844378722016e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44909130527591623e0	3.69956668234858332e0
GROUP	2	22307984	5.01903512379013650e-1	9.93321893548702946e1	-1.10393186556505896e0	-1.04450054833638681e1	3.69368552412190695e2	3.69416446275736178e2	1.04449948552964962e1	3.69578334839863771e2	3.70909941714116712e2	-1.16593844487734953e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44909130527591712e0	3.69956668234830710e0
GROUP	2	22307985	5.01903512379013650e-1	9.93321893552357125e1	-1.10393186519964104e0	-1.04450054648571538e1	3.69368552412190695e2	3.69416446275736178e2	1.04449948552175513e1	3.69578334839862919e2	3.70909941714114609e2	-1.16593844631126467e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44909130527591801e0	3.69956668234795893e0
RIGHT	2	22307986	5.01903512379013761e-1	9.93321893544542576e1	-1.10393186598763293e0	-1.04450054693844727e1	3.69368552412190979e2	3.69416446275736462e2	1.04449948550596563e1	3.69578334839861100e2	3.70909941714110460e2	-1.16593844929425874e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44909130527591756e0	3.69956668234726083e0
LEFT	3	22540902	5.06473357504230726e-1	9.74412541102847882e1	-1.09282979321680784e0	-9.97852958684948099e0	3.74012163996723132e2	3.74060659970269967e2	9.97852042253711957e0	3.74215770456974951e2	3.75541058193602851e2	-1.11672515596695608e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44805790802946355e0	3.69389164097530909e0
GROUP	3	22540903	5.06473357504230837e-1	9.74412541080611163e1	-1.09282979543382908e0	-9.97852956948468162e0	3.74012163996723416e2	3.74060659970270251e2	9.97852042239204629e0	3.74215770456973019e2	3.75541058193599156e2	-1.11672515858420336e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44805790802946266e0	3.69389164097433254e0
GROUP	3	22540904	5.06473357504230837e-1	9.74412541105954375e1	-1.09282979289950788e0	-9.97852958962593917e0	3.74012163996723530e2	3.74060659970270365e2	9.97852042231528991e0	3.74215770456971939e2	3.75541058193597109e2	-1.11672516015046214e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44805790802946222e0	3.69389164097381562e0
RIGHT	3	22540905	5.06473357504230948e-1	9.74412541102330749e1	-1.09282979325855933e0	-9.97852960184297899e0	3.74012163996723530e2	3.74060659970270365e2	9.97852042221622781e0	3.74215770456970688e2	3.75541058193594495e2	-1.11672516216203902e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44805790802946133e0	3.69389164097314726e0
LEFT	4	22543238	5.06519812357156374e-1	9.53888895817673728e1	-1.08640286593471558e0	-9.71008488548890014e0	3.73999033426465360e2	3.74047527697447833e2	9.71007556931424887e0	3.74198670362839437e2	3.75520286157467069e2	-6.36930186115121065e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44777252129264777e0	3.62029276118777510e0
GROUP	4	22543239	5.06519812357156485e-1	9.53888895825442233e1	-1.08640286515112905e0	-9.71008486953058814e0	3.73999033426465701e2	3.74047527697448174e2	9.71007556915484571e0	3.74198670362837504e2	3.75520286157463090e2	-6.36930189287061162e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44777252129264689e0	3.62029276118672527e0
GROUP	4	22543240	5.06519812357156485e-1	9.53888895844649056e1	-1.08640286323044677e0	-9.71008492933077427e0	3.73999033426465871e2	3.74047527697448345e2	9.71007556907099811e0	3.74198670362836538e2	3.75520286157461044e2	-6.36930190824587745e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44777252129264644e0	3.62029276118617327e0
RIGHT	4	22543241	5.06519812357156596e-1	9.53888895836964963e1	-1.08640286399212016e0	-9.71008492645049159e0	3.73999033426466099e2	3.74047527697448572e2	9.71007556896186053e0	3.74198670362835230e2	3.75520286157458145e2	-6.36930193050276674e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.44777252129264555e0	3.62029276118545518e0
LEFT	5	22709675	5.10198920931927646e-1	-4.16122802559847482e0	9.46195255297943731e1	1.02174763055219842e1	3.70028688207227503e2	3.70076667666727189e2	1.02174655013076716e1	3.70235168231655223e2	3.71563702295071209e2	-1.32165062562270572e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45238988117946777e0	3.63690411487412657e0
GROUP	5	22709676	5.10198920931927757e-1	-4.16122802616343979e0	9.46195255292360429e1	1.02174763049180797e1	3.70028688207227731e2	3.70076667666727417e2	1.02174655011786406e1	3.70235168231653802e2	3.71563702295068083e2	-1.32165065413947935e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45238988117946732e0	3.63690411487356213e0
GROUP	5	22709677	5.10198920931927757e-1	-4.16122802577680861e0	9.46195255296226776e1	1.02174763057981295e1	3.70028688207227844e2	3.70076667666727531e2	1.02174655011059734e1	3.70235168231653006e2	3.71563702295066207e2	-1.32165067165299494e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45238988117946644e0	3.63690411487324283e0
RIGHT	5	22709678	5.10198920931927868e-1	-4.16122802538353742e0	9.46195255300192457e1	1.02174763057451514e1	3.70028688207227901e2	3.70076667666727587e2	1.02174655010183830e1	3.70235168231652040e2	3.71563702295063877e2	-1.32165069377931431e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45238988117946555e0	3.63690411487285736e0
LEFT	6	22712005	5.10245433004327120e-1	-4.25700408695388077e0	9.65511027623361571e1	1.05135434097452958e1	3.70019338717600760e2	3.70067316964806707e2	1.05135327980695692e1	3.70230234745732787e2	3.71562763831270843e2	-1.23306195135844317e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45273637124117183e0	3.72007776954922065e0
GROUP	6	22712006	5.10245433004327231e-1	-4.25700408722986445e0	9.65511027620634508e1	1.05135434116360216e1	3.70019338717601158e2	3.70067316964807105e2	1.05135327979330704e1	3.70230234745731138e2	3.71562763831267432e2	-1.23306195376434945e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45273637124117272e0	3.72007776954859448e0
GROUP	6	22712007	5.10245433004327231e-1	-4.25700408642548478e0	9.65511027628678278e1	1.05135434115863973e1	3.70019338717601272e2	3.70067316964807219e2	1.05135327978671747e1	3.70230234745730286e2	3.71562763831265784e2	-1.23306195492925472e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45273637124117405e0	3.72007776954829117e0
RIGHT	6	22712008	5.10245433004327342e-1	-4.25700408748230785e0	9.65511027618175035e1	1.05135434076830165e1	3.70019338717601329e2	3.70067316964807276e2	1.05135327977819806e1	3.70230234745729263e2	3.71562763831263567e2	-1.23306195644374201e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45273637124117583e0	3.72007776954789859e0
LEFT	7	22944294	5.14799781739096685e-1	-4.08743658415520894e0	9.47502791880403663e1	9.98943727851599306e0	3.74659752419980236e2	3.74708332362536794e2	9.98942811343260928e0	3.74863608707877177e2	3.76189045082620225e2	-1.04194710337135391e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45159909329131365e0	3.69209344531559491e0
GROUP	7	22944295	5.14799781739096796e-1	-4.08743658426980883e0	9.47502791879191335e1	9.98943727886938859e0	3.74659752419980578e2	3.74708332362537135e2	9.98942811327722957e0	3.74863608707875414e2	3.76189045082616246e2	-1.04194710634509770e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45159909329131365e0	3.69209344531454864e0
GROUP	7	22944296	5.14799781739096796e-1	-4.08743658251061959e0	9.47502791896783236e1	9.98943727903912304e0	3.74659752419980634e2	3.74708332362537192e2	9.98942811319538748e0	3.74863608707874619e2	3.76189045082614200e2	-1.04194710784024773e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45159909329131365e0	3.69209344531399752e0
RIGHT	7	22944297	5.14799781739096907e-1	-4.08743658336057614e0	9.47502791888250613e1	9.98943728033071920e0	3.74659752419980748e2	3.74708332362537305e2	9.98942811308906364e0	3.74863608707873652e2	3.76189045082611813e2	-1.04194710968981380e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45159909329131320e0	3.69209344531328343e0
LEFT	8	22945459	5.14823000330537628e-1	-4.05470586311234005e0	9.37599823338001386e1	9.88830881287697139e0	3.74653449608363189e2	3.74702028733671000e2	9.88829957125566317e0	3.74855795927663905e2	3.76179852567313958e2	-5.19303688588933457e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45145512315490244e0	3.65522336143237547e0
GROUP	8	22945460	5.14823000330537739e-1	-4.05470586232047836e0	9.37599823345886705e1	9.88830881505276693e0	3.74653449608363530e2	3.74702028733671341e2	9.88829957112379887e0	3.74855795927662257e2	3.76179852567310490e2	-5.19303691404826981e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45145512315490111e0	3.65522336143152327e0
GROUP	8	22945461	5.14823000330537739e-1	-4.05470586402963207e0	9.37599823328795168e1	9.88830881581299082e0	3.74653449608363644e2	3.74702028733671455e2	9.88829957105831525e0	3.74855795927661632e2	3.76179852567308842e2	-5.19303692764254638e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45145512315490066e0	3.65522336143110049e0
GROUP	8	22945462	5.14823000330537739e-1	-4.05470586254529941e0	9.37599823343638406e1	9.88830881196429345e0	3.74653449608363701e2	3.74702028733671511e2	9.88829957097461687e0	3.74855795927660722e2	3.76179852567306739e2	-5.19303694518580489e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45145512315490066e0	3.65522336143056004e0
RIGHT	8	22945463	5.14823000330537850e-1	-4.05470586286329659e0	9.37599823340425189e1	9.88830881298946451e0	3.74653449608363985e2	3.74702028733671796e2	9.88829957080721833e0	3.74855795927658903e2	3.76179852567302476e2	-5.19303698123004428e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45145512315490111e0	3.65522336142947868e0
LEFT	9	22946640	5.14846222915610330e-1	-4.00387737883632600e0	9.27801109788363618e1	9.73128843957812251e0	3.74646650145542196e2	3.74695228389203351e2	9.73127911739339702e0	3.74846663498064743e2	3.76168570313652651e2	-7.93440349482584354e-7	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45131213745953236e0	3.61906407023595778e0
GROUP	9	22946641	5.14846222915610441e-1	-4.00387737910759700e0	9.27801109785650908e1	9.73128843942782851e0	3.74646650145542594e2	3.74695228389203749e2	9.73127911722099093e0	3.74846663498062526e2	3.76168570313648047e2	-7.93440390127886174e-7	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.45131213745953236e0	3.61906407023483290e0
