role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
LEFT	1	22754976	5.01593657417198857e-1	9.49873628227447142e1	-9.46919993027918849e-1	-4.31107415584545350e0	3.76748177780060814e2	3.76778332555665372e2	4.31106267475385962e0	3.76849268741259834e2	3.78087492085453391e2	-1.39152505122812730e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88729589441563350e0	2.62773130630978979e0
GROUP	1	22754977	5.01593657417198968e-1	9.49873628215045471e1	-9.46919994272064969e-1	-4.31107415106370162e0	3.76748177780060928e2	3.76778332555665486e2	4.31106267459886716e0	3.76849268741257731e2	3.78087492085448559e2	-1.39152505469678058e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88729589441563439e0	2.62773130630908502e0
GROUP	1	22754978	5.01593657417198968e-1	9.49873628234643519e1	-9.46919992312260206e-1	-4.31107410063217689e0	3.76748177780060928e2	3.76778332555665486e2	4.31106267451710412e0	3.76849268741256708e2	3.78087492085446002e2	-1.39152505642753757e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88729589441563528e0	2.62773130630871332e0
RIGHT	1	22754979	5.01593657417199079e-1	9.49873628245534007e1	-9.46919991227204605e-1	-4.31107417796317449e0	3.76748177780060871e2	3.76778332555665429e2	4.31106267441097124e0	3.76849268741255344e2	3.78087492085442250e2	-1.39152505907717149e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88729589441563661e0	2.62773130630823060e0
LEFT	2	23021482	5.06767646928139470e-1	9.35155422842855444e1	-9.37286624537023272e-1	-3.98296487252508813e0	3.79525619508215073e2	3.79555996589160429e2	3.98295534072411739e0	3.79622151971697747e2	3.80854227811514022e2	-1.09272674837681982e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88612134853685776e0	2.60999971121055552e0
GROUP	2	23021483	5.06767646928139581e-1	9.35155422831277292e1	-9.37286625686837738e-1	-3.98296486589503029e0	3.79525619508215129e2	3.79555996589160486e2	3.98295534055768830e0	3.79622151971695530e2	3.80854227811508508e2	-1.09272675262148725e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88612134853685776e0	2.60999971120956520e0
GROUP	2	23021484	5.06767646928139581e-1	9.35155422853416383e1	-9.37286623472928682e-1	-3.98296492097896060e0	3.79525619508215186e2	3.79555996589160543e2	3.98295534047029598e0	3.79622151971694279e2	3.80854227811505723e2	-1.09272675469548740e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88612134853685776e0	2.60999971120904473e0
RIGHT	2	23021485	5.06767646928139692e-1	9.35155422834719303e1	-9.37286625338614954e-1	-3.98296487314366665e0	3.79525619508215243e2	3.79555996589160600e2	3.98295534035628185e0	3.79622151971692574e2	3.80854227811502085e2	-1.09272675754441614e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88612134853685776e0	2.60999971120836616e0
LEFT	3	23022302	5.06783134672872615e-1	9.26926187449658840e1	-9.35390588988553873e-1	-3.91938097108768790e0	3.79519837160692475e2	3.79550213778821046e2	3.91937135648491841e0	3.79615441791749447e2	3.80846299064031371e2	-1.00953649056998838e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88606642776913036e0	2.59404792385258043e0
GROUP	3	23022303	5.06783134672872726e-1	9.26926187437301508e1	-9.35390590220251283e-1	-3.91938095180704638e0	3.79519837160692532e2	3.79550213778821103e2	3.91937135633022748e0	3.79615441791747230e2	3.80846299064026198e2	-1.00953649467226077e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88606642776913036e0	2.59404792385164829e0
GROUP	3	23022304	5.06783134672872726e-1	9.26926187455397468e1	-9.35390588410655255e-1	-3.91938096552048343e0	3.79519837160692475e2	3.79550213778821046e2	3.91937135624857458e0	3.79615441791746150e2	3.80846299064023469e2	-1.00953649672931026e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88606642776912992e0	2.59404792385115623e0
