runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.008	LL05	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
15.022	LL05	10.077474	1.65164727566941318e-2	2.540996	1.638949595625e-3	245162	false	0	0
25.036	LL05	20.162377	2.51737306357224452e-2	3.872882	8.584374146625e-4	487624	false	0	0
35.051	LL05	30.254550	3.36674196463597614e-2	5.179603	8.416115673646e-4	720881	false	0	0
45.065	LL05	40.327065	4.81693476052258984e-2	7.410669	1.439752407261e-3	951843	false	0	0
55.080	LL05	50.419058	5.74983212346028560e-2	8.845896	9.243936080466e-4	1142802	false	0	0
65.092	LL05	60.497391	6.03289507652889009e-2	9.281377	2.808628606694e-4	1297713	false	0	0
75.107	LL05	70.589079	6.64110746299247379e-2	10.217088	6.026864498105e-4	1460675	false	0	0
85.122	LL05	80.674081	6.97277880090306085e-2	10.727352	3.288758411993e-4	1618514	false	0	0
95.136	LL05	90.730780	7.49388945980564436e-2	11.529061	5.181726437449e-4	1778415	false	0	0
105.151	LL05	100.815814	7.80514008777706408e-2	12.007908	3.086262848184e-4	1935329	false	0	0
115.166	LL05	110.899639	8.28462056642457478e-2	12.745570	4.754946388933e-4	2097029	false	0	0
125.181	LL05	120.907508	8.58810623603891571e-2	13.212471	3.032470280919e-4	2252289	false	0	0
135.195	LL05	130.990867	8.93911441574244542e-2	13.752484	3.481064196942e-4	2412749	false	0	0
145.220	LL05	141.031587	9.24429547992099282e-2	14.221993	3.039433927626e-4	2569540	false	0	0
155.245	LL05	151.033297	9.55643626388564260e-2	14.702210	3.120874274071e-4	2727341	false	0	0
165.270	LL05	161.078533	9.87200864700586295e-2	15.187706	3.141512792516e-4	2886237	false	0	0
175.294	LL05	171.086641	1.01789614122975089e-1	15.659941	3.067040985336e-4	3041671	false	0	0
185.308	LL05	181.144580	1.06830804268806007e-1	16.435508	5.012150207145e-4	3199804	false	0	0
195.323	LL05	191.166220	1.09501853783399258e-1	16.846439	2.665281700535e-4	3352531	false	0	0
205.338	LL05	201.182889	1.13642372891721688e-1	17.483442	4.133628986208e-4	3517051	false	0	0
215.353	LL05	211.253828	1.16717410146530684e-1	17.956525	3.053376815856e-4	3677687	false	0	0
225.366	LL05	221.319154	1.19892946321043345e-1	18.445069	3.154926224585e-4	3838732	false	0	0
235.376	LL05	231.406495	1.23324064235617745e-1	18.972933	3.401409831040e-4	4000804	false	0	0
245.391	LL05	241.480562	1.26484414246589738e-1	19.459141	3.137114398149e-4	4158971	false	0	0
255.404	LL05	251.493951	1.29660052140551096e-1	19.947700	3.171391519644e-4	4318070	false	0	0
265.418	LL05	261.596555	1.32804845898113311e-1	20.431515	3.112854611037e-4	4477181	false	0	0
275.433	LL05	271.639776	1.36011223415266724e-1	20.924804	3.192579123775e-4	4635889	false	0	0
285.448	LL05	281.656168	1.39186887351955335e-1	21.413367	3.170466907334e-4	4795712	false	0	0
295.462	LL05	291.724903	1.42387764514713688e-1	21.905810	3.179025942605e-4	4953011	false	0	0
305.477	LL05	301.771964	1.45545163698417468e-1	22.391564	3.142609943462e-4	5113344	false	0	0
315.492	LL05	311.794143	1.48693923719584370e-1	22.875988	3.141791827876e-4	5273418	false	0	0
325.503	LL05	321.894968	1.51951484320945823e-1	23.377151	3.225044014460e-4	5432518	false	0	0
335.518	LL05	331.908195	1.55140724664509067e-1	23.867804	3.185027507679e-4	5593607	false	0	0
345.531	LL05	341.931629	1.58325689325860386e-1	24.357798	3.177518477896e-4	5752756	false	0	0
355.551	LL05	351.975931	1.61461164367495441e-1	24.840179	3.121645592262e-4	5908096	false	0	0
365.566	LL05	362.046823	1.64638635279231754e-1	25.329021	3.155103502105e-4	6068808	false	0	0
375.581	LL05	372.087676	1.67922900569093009e-1	25.834292	3.270902711899e-4	6228449	false	0	0
385.595	LL05	382.175210	1.71129575022923697e-1	26.327627	3.178848693294e-4	6391414	false	0	0
395.610	LL05	392.201992	1.74299021232353135e-1	26.815234	3.160980681805e-4	6552468	false	0	0
405.624	LL05	402.236795	1.77593814008094208e-1	27.322125	3.283365487088e-4	6712347	false	0	0
415.639	LL05	412.256828	1.80788033732246195e-1	27.813544	3.187833457690e-4	6873903	false	0	0
425.651	LL05	422.318528	1.84103167860847017e-1	28.323564	3.294805344366e-4	7033787	false	0	0
435.665	LL05	432.365040	1.87278352611867649e-1	28.812054	3.160484730988e-4	7194691	false	0	0
445.682	LL05	442.459316	1.90384886295512090e-1	29.289983	3.077520118983e-4	7352859	false	0	0
455.692	LL05	452.563175	1.93679206856194192e-1	29.796801	3.260457718415e-4	7510821	false	0	0
465.701	LL05	462.656853	1.96805752479628948e-1	30.277808	3.097528531231e-4	7669498	false	0	0
475.718	LL05	472.729115	1.99889234377577912e-1	30.752190	3.061359797835e-4	7822805	false	0	0
485.734	LL05	482.801757	2.03050243287464072e-1	31.238499	3.138212424872e-4	7977273	false	0	0
495.746	LL05	492.903350	2.06208805751972341e-1	31.724432	3.126796388823e-4	8137204	false	0	0
505.760	LL05	502.978623	2.09549736326106795e-1	32.238421	3.315970229973e-4	8296558	false	0	0
515.775	LL05	513.016117	2.12758405053097149e-1	32.732062	3.196683229298e-4	8459539	false	0	0
525.790	LL05	523.095378	2.15969577328607276e-1	33.226089	3.185920273185e-4	8622084	false	0	0
535.805	LL05	533.164164	2.19314419065228638e-1	33.740680	3.321990951468e-4	8781602	false	0	0
545.822	LL05	543.222482	2.22517162522640144e-1	34.233410	3.184173978232e-4	8944170	false	0	0
555.838	LL05	553.305423	2.25682357586370813e-1	34.720363	3.139158659556e-4	9094672	false	0	0
565.853	LL05	563.389463	2.28810213888137354e-1	35.201571	3.101788855200e-4	9252140	false	0	0
575.868	LL05	573.494240	2.31947311863959449e-1	35.684202	3.104569192388e-4	9411616	false	0	0
585.883	LL05	583.537395	2.35319470213829429e-1	36.202995	3.357668443512e-4	9569862	false	0	0
595.897	LL05	593.558784	2.38530973976353283e-1	36.697073	3.204649338055e-4	9733248	false	0	0
605.912	LL05	603.608553	2.41752966799444247e-1	37.192764	3.206036619289e-4	9890524	false	0	0
615.927	LL05	613.634025	2.45025740603486586e-1	37.696268	3.264458724618e-4	10050341	false	0	0
625.941	LL05	623.667021	2.48246239458809165e-1	38.191729	3.209907524702e-4	10214824	false	0	0
635.952	LL05	633.681446	2.51654133984237249e-1	38.716021	3.402985676053e-4	10373942	false	0	0
645.966	LL05	643.737166	2.54885662598079599e-1	39.213179	3.213622296907e-4	10539158	false	0	0
655.981	LL05	653.786254	2.58158214911673622e-1	39.716648	3.256566480057e-4	10700991	false	0	0
665.996	LL05	663.789366	2.61497415085960805e-1	40.230372	3.338161088194e-4	10861640	false	0	0
676.010	LL05	673.795068	2.64718714253128651e-1	40.725956	3.219463496047e-4	11026111	false	0	0
686.025	LL05	683.842527	2.68159608229136759e-1	41.255324	3.424640972417e-4	11185461	false	0	0
696.039	LL05	693.942316	2.71348571040051334e-1	41.745934	3.157454923447e-4	11347700	false	0	0
706.054	LL05	704.023768	2.74370461758319140e-1	42.210840	2.997475741505e-4	11499355	false	0	0
716.069	LL05	714.031685	2.77601284401734982e-1	42.707890	3.228266676511e-4	11650954	false	0	0
726.083	LL05	724.051844	2.80658681141571054e-1	43.178259	3.051245923881e-4	11807832	false	0	0
736.099	LL05	734.083396	2.83881787019555909e-1	43.674121	3.212968187101e-4	11960464	false	0	0
746.116	LL05	744.167228	2.86982791895722678e-1	44.151199	3.075224767219e-4	12114530	false	0	0
